Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated
Female,16-49 years,Asian,97093,63520,34184
Female,16-49 years,Black,72912,48593,24859
Female,16-49 years,Hispanic,306254,209934,97792
Female,16-49 years,White,407302,268477,141916
Female,16-49 years,Other,117280,75249,42452
Female,16-49 years,Unknown,353601,208481,145199
Female,50-64 years,Asian,54279,36144,18423
Female,50-64 years,Black,74193,51724,22909
Female,50-64 years,Hispanic,204314,142693,62461
Female,50-64 years,White,356479,243791,114493
Female,50-64 years,Other,79261,51674,27779
Female,50-64 years,Unknown,232615,138893,93815
Female,65-79 years,Asian,59014,36334,22767
Female,65-79 years,Black,77425,50820,26750
Female,65-79 years,Hispanic,188821,126119,63053
Female,65-79 years,White,604332,384291,220896
Female,65-79 years,Other,94194,59172,35096
Female,65-79 years,Unknown,248549,149715,98921
Female,80+ years,Asian,12136,7399,4752
Female,80+ years,Black,16626,11024,5636
Female,80+ years,Hispanic,47645,32182,15532
Female,80+ years,White,172038,110548,61732
Female,80+ years,Other,62738,39496,23261
Female,80+ years,Unknown,89154,55248,33934
Female,Unknown,Asian,37,32,5
Female,Unknown,Black,55,44,11
Female,Unknown,Hispanic,303,256,47
Female,Unknown,White,344,294,51
Female,Unknown,Other,61,50,11
Female,Unknown,Unknown,929,806,123
Male,16-49 years,Asian,72963,49294,24200
Male,16-49 years,Black,38428,26887,11945
Male,16-49 years,Hispanic,197451,139205,59405
Male,16-49 years,White,254587,174458,82410
Male,16-49 years,Other,65656,43491,22476
Male,16-49 years,Unknown,217754,129552,88266
Male,50-64 years,Asian,44748,30481,14582
Male,50-64 years,Black,46968,33575,13788
Male,50-64 years,Hispanic,147178,104823,43059
Male,50-64 years,White,266617,186774,81288
Male,50-64 years,Other,49255,32788,16627
Male,50-64 years,Unknown,160161,96841,63390
Male,65-79 years,Asian,51630,31732,19959
Male,65-79 years,Black,50175,32940,17353
Male,65-79 years,Hispanic,141371,94496,47153
Male,65-79 years,White,517038,327980,189749
Male,65-79 years,Other,71711,44982,26792
Male,65-79 years,Unknown,206965,124125,82909
Male,80+ years,Asian,10295,6189,4121
Male,80+ years,Black,8121,5297,2841
Male,80+ years,Hispanic,28982,19482,9554
Male,80+ years,White,131671,82909,48922
Male,80+ years,Other,28556,17978,10587
Male,80+ years,Unknown,57321,35283,22056
Male,Unknown,Asian,54,42,12
Male,Unknown,Black,41,36,5
Male,Unknown,Hispanic,215,180,37
Male,Unknown,White,289,250,40
Male,Unknown,Other,54,45,9
Male,Unknown,Unknown,641,559,82
Unknown,16-49 years,Asian,1120,688,432
Unknown,16-49 years,Black,646,393,253
Unknown,16-49 years,Hispanic,1744,1111,633
Unknown,16-49 years,White,4523,3284,1239
Unknown,16-49 years,Other,5602,4578,1024
Unknown,16-49 years,Unknown,2936,2133,803
Unknown,50-64 years,Asian,720,420,300
Unknown,50-64 years,Black,722,436,286
Unknown,50-64 years,Hispanic,949,647,302
Unknown,50-64 years,White,5303,4225,1079
Unknown,50-64 years,Other,8186,7522,664
Unknown,50-64 years,Unknown,2224,1836,389
Unknown,65-79 years,Asian,1920,1034,886
Unknown,65-79 years,Black,1363,776,587
Unknown,65-79 years,Hispanic,1817,1110,707
Unknown,65-79 years,White,13970,8190,5780
Unknown,65-79 years,Other,10442,7858,2584
Unknown,65-79 years,Unknown,3313,2816,497
Unknown,80+ years,Asian,325,180,145
Unknown,80+ years,Black,213,121,92
Unknown,80+ years,Hispanic,365,237,128
Unknown,80+ years,White,2729,1611,1118
Unknown,80+ years,Other,1921,1476,445
Unknown,80+ years,Unknown,825,672,153
Unknown,Unknown,Asian,1,1,0
Unknown,Unknown,Hispanic,5,5,0
Unknown,Unknown,White,10,10,0
Unknown,Unknown,Other,10,10,0
Unknown,Unknown,Unknown,15,13,2
Grand Total,Total,Total,6970799,4529070,2463005
