Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,,,,,,
Female,2021-05-11 00:00:00,Asian,11531,11491,40,,,,,,
Female,2021-05-11 00:00:00,Black,6089,6058,32,,,,,,
Female,2021-05-11 00:00:00,Hispanic,55128,54928,207,,,,,,
Female,2021-05-11 00:00:00,Other,27785,27583,203,,,,,,
Female,2021-05-11 00:00:00,Unknown,6789,6756,33,,,,,,
Female,2021-05-11 00:00:00,White,31518,31330,194,,,,,,
Female,2021-12-15 00:00:00,Asian,44984,23940,21015,,,,,,
Female,2021-12-15 00:00:00,Black,62045,34072,27919,,,,,,
Female,2021-12-15 00:00:00,Hispanic,423667,236160,187139,,,,,,
Female,2021-12-15 00:00:00,Other,195815,105700,89896,,,,,,
Female,2021-12-15 00:00:00,Unknown,19239,11815,7417,,,,,,
Female,2021-12-15 00:00:00,White,172639,94162,78327,,,,,,
Female,16-49,Asian,601644,307176,277929,,,,,,
Female,16-49,Black,775804,418311,354630,,,,,,
Female,16-49,Hispanic,3516793,1912440,1628902,,,,,,
Female,16-49,Other,1275712,661477,581415,,,,,,
Female,16-49,Unknown,476587,266658,210280,,,,,,
Female,16-49,White,2604047,1379772,1216384,,,,,,
Female,50-64,Asian,202827,98927,90705,,,,,,
Female,50-64,Black,411089,204568,184471,,,,,,
Female,50-64,Hispanic,1281821,645192,575879,,,,,,
Female,50-64,Other,682034,316849,292562,,,,,,
Female,50-64,Unknown,220821,118849,97073,,,,,,
Female,50-64,White,1572902,788259,718353,,,,,,
Female,65-79,Asian,103150,46810,41998,,,,,,
Female,65-79,Black,234405,107282,98251,,,,,,
Female,65-79,Hispanic,689272,319082,286932,,,,,,
Female,65-79,Other,694651,285143,267677,,,,,,
Female,65-79,Unknown,141397,74357,59751,,,,,,
Female,65-79,White,1405347,634452,583602,,,,,,
Female,80+,Asian,19571,9029,7959,,,,,,
Female,80+,Black,50753,23799,21365,,,,,,
Female,80+,Hispanic,168570,79478,69773,,,,,,
Female,80+,Other,239639,100087,92096,,,,,,
Female,80+,Unknown,50875,27349,20887,,,,,,
Female,80+,White,414405,187291,171079,,,,,,
Female,Unknown,Asian,92,72,26,,,,,,
Female,Unknown,Black,161,130,41,,,,,,
Female,Unknown,Hispanic,844,700,203,,,,,,
Female,Unknown,Other,157,123,37,,,,,,
Female,Unknown,Unknown,788,685,114,,,,,,
Female,Unknown,White,641,520,159,,,,,,
Male,2021-05-11 00:00:00,Asian,12031,11992,38,,,,,,
Male,2021-05-11 00:00:00,Black,5946,5909,39,,,,,,
Male,2021-05-11 00:00:00,Hispanic,55466,55251,226,,,,,,
Male,2021-05-11 00:00:00,Other,28311,28112,200,,,,,,
Male,2021-05-11 00:00:00,Unknown,6875,6843,35,,,,,,
Male,2021-05-11 00:00:00,White,32533,32342,199,,,,,,
Male,2021-12-15 00:00:00,Asian,46396,24709,21658,,,,,,
Male,2021-12-15 00:00:00,Black,61037,33654,27317,,,,,,
Male,2021-12-15 00:00:00,Hispanic,418156,234942,182837,,,,,,
