Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,,,,,,
Female,12-15 years,Asian,2002,1988,18,,,,,,
Female,12-15 years,Black,1206,1196,10,,,,,,
Female,12-15 years,Hispanic,10412,10314,109,,,,,,
Female,12-15 years,Other,4416,4384,35,,,,,,
Female,12-15 years,Unknown,932,916,17,,,,,,
Female,12-15 years,White,7342,7296,48,,,,,,
Female,16-49 years,Asian,453061,259312,206397,,,,,,
Female,16-49 years,Black,377207,225495,167224,,,,,,
Female,16-49 years,Hispanic,1854494,1109205,816972,,,,,,
Female,16-49 years,Other,443922,261707,199019,,,,,,
Female,16-49 years,Unknown,462547,267517,206466,,,,,,
Female,16-49 years,White,1650097,956133,766038,,,,,,
Female,50-64 years,Asian,166047,93056,78141,,,,,,
Female,50-64 years,Black,276893,158741,128606,,,,,,
Female,50-64 years,Hispanic,865311,496517,399069,,,,,,
Female,50-64 years,Other,225383,127470,105357,,,,,,
Female,50-64 years,Unknown,274483,155851,125128,,,,,,
Female,50-64 years,White,1181589,668642,563830,,,,,,
Female,65-79 years,Asian,86003,46801,40993,,,,,,
Female,65-79 years,Black,175118,97364,82601,,,,,,
Female,65-79 years,Hispanic,470070,260452,220988,,,,,,
Female,65-79 years,Other,200480,110519,93013,,,,,,
Female,65-79 years,Unknown,247781,136880,114582,,,,,,
Female,65-79 years,White,1101805,601653,529551,,,,,,
Female,80+ years,Asian,15697,8670,7447,,,,,,
Female,80+ years,Black,37437,21081,17647,,,,,,
Female,80+ years,Hispanic,114025,63960,53027,,,,,,
Female,80+ years,Other,98833,55670,43924,,,,,,
Female,80+ years,Unknown,89574,50544,40073,,,,,,
Female,80+ years,White,311874,171031,149478,,,,,,
Female,Unknown,Asian,77,65,17,,,,,,
Female,Unknown,Black,122,102,31,,,,,,
Female,Unknown,Hispanic,681,569,147,,,,,,
Female,Unknown,Other,124,98,28,,,,,,
Female,Unknown,Unknown,826,717,119,,,,,,
Female,Unknown,White,552,449,141,,,,,,
Male,12-15 years,Asian,1920,1895,25,,,,,,
Male,12-15 years,Black,1183,1174,11,,,,,,
Male,12-15 years,Hispanic,9908,9824,90,,,,,,
Male,12-15 years,Other,4612,4584,31,,,,,,
Male,12-15 years,Unknown,896,879,19,,,,,,
Male,12-15 years,White,7265,7220,51,,,,,,
Male,16-49 years,Asian,423466,245548,191574,,,,,,
Male,16-49 years,Black,279313,174424,118776,,,,,,
Male,16-49 years,Hispanic,1510830,927881,652624,,,,,,
Male,16-49 years,Other,372702,228871,162041,,,,,,
Male,16-49 years,Unknown,326057,193880,143659,,,,,,
Male,16-49 years,White,1434662,850299,657525,,,,,,
Male,50-64 years,Asian,151299,85243,71041,,,,,,
Male,50-64 years,Black,212638,126266,96636,,,,,,
Male,50-64 years,Hispanic,736981,431745,335692,,,,,,
Male,50-64 years,Other,179974,104715,82622,,,,,,
Male,50-64 years,Unknown,206682,120027,92933,,,,,,
Male,50-64 years,White,1048395,601309,497314,,,,,,
Male,65-79 years,Asian,72832,39643,34615,,,,,,
Male,65-79 years,Black,114541,64269,53974,,,,,,
Male,65-79 years,Hispanic,362214,202121,169941,,,,,,
Male,65-79 years,Other,159303,87993,73963,,,,,,
Male,65-79 years,Unknown,207593,114877,96015,,,,,,
Male,65-79 years,White,941086,514382,452869,,,,,,
Male,80+ years,Asian,12610,6898,6011,,,,,,
Male,80+ years,Black,17183,9715,8068,,,,,,
Male,80+ years,Hispanic,68522,38394,31936,,,,,,
Male,80+ years,Other,51221,28774,22919,,,,,,
Male,80+ years,Unknown,56332,31687,25362,,,,,,
Male,80+ years,White,224618,122524,107889,,,,,,
Male,Unknown,Asian,76,58,19,,,,,,
Male,Unknown,Black,79,63,23,,,,,,
Male,Unknown,Hispanic,632,526,152,,,,,,
Male,Unknown,Other,99,81,22,,,,,,
Male,Unknown,Unknown,562,487,82,,,,,,
Male,Unknown,White,493,409,116,,,,,,
Unknown,12-15 years,Asian,11,10,1,,,,,,
Unknown,12-15 years,Hispanic,10,10,0,,,,,,
Unknown,12-15 years,Other,6,5,1,,,,,,
Unknown,12-15 years,Unknown,5,4,1,,,,,,
Unknown,12-15 years,White,34,34,1,,,,,,
Unknown,16-49 years,Asian,2083,1206,961,,,,,,
Unknown,16-49 years,Black,1568,937,699,,,,,,
Unknown,16-49 years,Hispanic,16766,9411,8195,,,,,,
Unknown,16-49 years,Other,21655,12439,10286,,,,,,
Unknown,16-49 years,Unknown,6624,4248,2680,,,,,,
