Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated
Female,16-49 years,Asian,107859,73087,36739
Female,16-49 years,Black,83300,57753,27656
Female,16-49 years,Hispanic,354866,251679,110630
Female,16-49 years,White,465683,318983,157706
Female,16-49 years,Other,124999,81624,44620
Female,16-49 years,Unknown,363833,216374,148335
Female,50-64 years,Asian,59519,40696,19849
Female,50-64 years,Black,85409,61303,25713
Female,50-64 years,Hispanic,236131,168441,72052
Female,50-64 years,White,411483,289045,130196
Female,50-64 years,Other,84184,55350,29450
Female,50-64 years,Unknown,239219,143735,96293
Female,65-79 years,Asian,62311,38672,24015
Female,65-79 years,Black,85563,56597,29724
Female,65-79 years,Hispanic,211575,140972,72680
Female,65-79 years,White,663152,420202,247766
Female,65-79 years,Other,98812,61780,37359
Female,65-79 years,Unknown,253315,151854,102146
Female,80+ years,Asian,12726,7839,4970
Female,80+ years,Black,18315,12216,6274
Female,80+ years,Hispanic,52803,35454,17828
Female,80+ years,White,188008,120265,69183
Female,80+ years,Other,64070,40178,23969
Female,80+ years,Unknown,90259,55624,34854
Female,Unknown,Asian,41,36,5
Female,Unknown,Black,67,56,12
Female,Unknown,Hispanic,331,284,49
Female,Unknown,White,377,321,59
Female,Unknown,Other,64,53,12
Female,Unknown,Unknown,930,807,124
Male,16-49 years,Asian,82404,57768,26447
Male,16-49 years,Black,45189,32918,13618
Male,16-49 years,Hispanic,231872,168619,68628
Male,16-49 years,White,297374,211433,93755
Male,16-49 years,Other,71783,48666,24096
Male,16-49 years,Unknown,225271,135130,90743
Male,50-64 years,Asian,49504,34617,15808
Male,50-64 years,Black,54843,40267,15817
Male,50-64 years,Hispanic,171366,124359,50328
Male,50-64 years,White,311413,224052,93512
Male,50-64 years,Other,53078,35716,17863
Male,50-64 years,Unknown,165532,100738,65368
Male,65-79 years,Asian,54225,33550,20978
Male,65-79 years,Black,55665,36832,19357
Male,65-79 years,Hispanic,158445,105611,54458
Male,65-79 years,White,566159,357596,212328
Male,65-79 years,Other,75431,47068,28622
Male,65-79 years,Unknown,210783,125846,85459
Male,80+ years,Asian,10738,6503,4311
Male,80+ years,Black,8855,5825,3108
Male,80+ years,Hispanic,32124,21400,11023
Male,80+ years,White,143193,89662,54524
Male,80+ years,Other,29469,18455,11059
Male,80+ years,Unknown,57977,35451,22678
Male,Unknown,Asian,58,45,14
Male,Unknown,Black,45,39,6
Male,Unknown,Hispanic,250,216,38
Male,Unknown,White,317,274,46
Male,Unknown,Other,55,46,9
Male,Unknown,Unknown,632,556,76
Unknown,16-49 years,Asian,1112,669,447
Unknown,16-49 years,Black,664,404,263
Unknown,16-49 years,Hispanic,1966,1319,820
Unknown,16-49 years,White,4580,3314,1270
Unknown,16-49 years,Other,6461,5405,1499
Unknown,16-49 years,Unknown,3077,2256,840
Unknown,50-64 years,Asian,725,427,300
Unknown,50-64 years,Black,743,456,287
Unknown,50-64 years,Hispanic,1113,805,381
Unknown,50-64 years,White,5418,4325,1096
Unknown,50-64 years,Other,9033,8352,937
Unknown,50-64 years,Unknown,2393,1989,417
Unknown,65-79 years,Asian,1919,1036,884
Unknown,65-79 years,Black,1383,793,591
Unknown,65-79 years,Hispanic,1894,1180,736
Unknown,65-79 years,White,13931,8169,5764
Unknown,65-79 years,Other,10782,8205,2673
Unknown,65-79 years,Unknown,3467,2956,514
Unknown,80+ years,Asian,325,180,145
Unknown,80+ years,Black,220,124,96
Unknown,80+ years,Hispanic,375,245,135
Unknown,80+ years,White,2731,1609,1122
Unknown,80+ years,Other,1997,1550,464
Unknown,80+ years,Unknown,856,701,157
Unknown,Unknown,Asian,1,1,0
Unknown,Unknown,Hispanic,5,5,0
Unknown,Unknown,White,10,10,0
Unknown,Unknown,Other,10,10,0
Unknown,Unknown,Unknown,15,13,2
Grand Total,Total,Total,7660460,5057046,2696185
