Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,,,,,,
Female,16-49 years,Asian,366243,234245,143215,,,,,,
Female,16-49 years,Black,297235,194812,115927,,,,,,
Female,16-49 years,Hispanic,1435434,952142,544039,,,,,,
Female,16-49 years,Other,355621,225216,142744,,,,,,
Female,16-49 years,Unknown,444741,268717,185984,,,,,,
Female,16-49 years,White,1379885,871519,569901,,,,,,
Female,50-64 years,Asian,147391,87450,64600,,,,,,
Female,50-64 years,Black,242647,146265,105584,,,,,,
Female,50-64 years,Hispanic,747454,454703,319799,,,,,,
Female,50-64 years,Other,200905,116818,90014,,,,,,
Female,50-64 years,Unknown,270463,157384,118789,,,,,,
Female,50-64 years,White,1068330,630507,481648,,,,,,
Female,65-79 years,Asian,81104,45211,37503,,,,,,
Female,65-79 years,Black,161754,92615,73459,,,,,,
Female,65-79 years,Hispanic,431415,246711,195277,,,,,,
Female,65-79 years,Other,188383,105531,85369,,,,,,
Female,65-79 years,Unknown,250508,139907,113984,,,,,,
Female,65-79 years,White,1048066,581264,492252,,,,,,
Female,80+ years,Asian,14831,8367,6849,,,,,,
Female,80+ years,Black,34472,19963,15671,,,,,,
Female,80+ years,Hispanic,105586,60890,47492,,,,,,
Female,80+ years,Other,94435,54040,41029,,,,,,
Female,80+ years,Unknown,89855,51269,39560,,,,,,
Female,80+ years,White,296323,165308,138575,,,,,,
Female,Unknown,Asian,118,99,28,,,,,,
Female,Unknown,Black,144,116,39,,,,,,
Female,Unknown,Hispanic,860,712,192,,,,,,
Female,Unknown,Other,185,140,49,,,,,,
Female,Unknown,Unknown,889,770,131,,,,,,
Female,Unknown,White,686,566,159,,,,,,
Male,16-49 years,Asian,333374,218215,126703,,,,,,
Male,16-49 years,Black,205019,140757,75399,,,,,,
Male,16-49 years,Hispanic,1119768,770171,404125,,,,,,
Male,16-49 years,Other,276560,182324,106454,,,,,,
Male,16-49 years,Unknown,304026,191687,121729,,,,,,
Male,16-49 years,White,1133559,747367,442353,,,,,,
Male,50-64 years,Asian,133306,79697,58006,,,,,,
Male,50-64 years,Black,178647,111257,75942,,,,,,
Male,50-64 years,Hispanic,615920,385674,256197,,,,,,
Male,50-64 years,Other,152927,91141,67222,,,,,,
Male,50-64 years,Unknown,199833,119526,85520,,,,,,
Male,50-64 years,White,923840,555137,408880,,,,,,
Male,65-79 years,Asian,68819,38303,31786,,,,,,
Male,65-79 years,Black,105176,60724,47633,,,,,,
Male,65-79 years,Hispanic,329427,189970,148326,,,,,,
Male,65-79 years,Other,148766,83420,67409,,,,,,
Male,65-79 years,Unknown,209318,116826,95371,,,,,,
Male,65-79 years,White,892520,495073,419018,,,,,,
Male,80+ years,Asian,12021,6688,5610,,,,,,
Male,80+ years,Black,15892,9213,7207,,,,,,
Male,80+ years,Hispanic,63327,36432,28569,,,,,,
Male,80+ years,Other,48880,27883,21384,,,,,,
Male,80+ years,Unknown,56778,32262,25166,,,,,,
Male,80+ years,White,214518,118629,100876,,,,,,
Male,Unknown,Asian,134,99,36,,,,,,
Male,Unknown,Black,93,75,25,,,,,,
Male,Unknown,Hispanic,773,656,164,,,,,,
Male,Unknown,Other,164,128,41,,,,,,
Male,Unknown,Unknown,615,529,95,,,,,,
Male,Unknown,White,589,493,132,,,,,,
Unknown,16-49 years,Asian,1847,1109,820,,,,,,
Unknown,16-49 years,Black,1273,769,562,,,,,,
Unknown,16-49 years,Hispanic,5417,3655,2540,,,,,,
Unknown,16-49 years,Other,29933,16769,14219,,,,,,
Unknown,16-49 years,Unknown,6209,4134,2333,,,,,,
Unknown,16-49 years,White,13081,7175,6127,,,,,,
Unknown,50-64 years,Asian,1000,571,453,,,,,,
Unknown,50-64 years,Black,1134,662,518,,,,,,
Unknown,50-64 years,Hispanic,5087,3112,2377,,,,,,
Unknown,50-64 years,Other,28126,15294,13636,,,,,,
Unknown,50-64 years,Unknown,3448,2140,1425,,,,,,
Unknown,50-64 years,White,13411,7114,6489,,,,,,
Unknown,65-79 years,Asian,1946,1019,932,,,,,,
Unknown,65-79 years,Black,1601,875,756,,,,,,
Unknown,65-79 years,Hispanic,4439,2593,1999,,,,,,
Unknown,65-79 years,Other,18923,10262,9028,,,,,,
Unknown,65-79 years,Unknown,3410,2038,1401,,,,,,
Unknown,65-79 years,White,16371,8575,7894,,,,,,
Unknown,80+ years,Asian,333,179,155,,,,,,
Unknown,80+ years,Black,266,151,124,,,,,,
Unknown,80+ years,Hispanic,968,563,435,,,,,,
Unknown,80+ years,Other,3659,2050,1678,,,,,,
Unknown,80+ years,Unknown,717,440,286,,,,,,
Unknown,80+ years,White,3239,1712,1558,,,,,,
Unknown,Unknown,Asian,2,2,0,,,,,,
Unknown,Unknown,Hispanic,6,6,0,,,,,,
Unknown,Unknown,Other,79,73,7,,,,,,
Unknown,Unknown,Unknown,18,16,3,,,,,,
Unknown,Unknown,White,15,15,1,,,,,,
Grand Total,Total,Total,17666510,10816686,7474996,,,,,,
