Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,,,,,,
Female,12-15 years,Asian,14437,12989,1455,,,,,,
Female,12-15 years,Black,9096,8399,699,,,,,,
Female,12-15 years,Hispanic,68372,60895,7503,,,,,,
Female,12-15 years,Other,30081,26511,3577,,,,,,
Female,12-15 years,Unknown,5265,4743,524,,,,,,
Female,12-15 years,White,41335,36081,5256,,,,,,
Female,16-49 years,Asian,496378,276747,232967,,,,,,
Female,16-49 years,Black,435713,254432,198092,,,,,,
Female,16-49 years,Hispanic,2127599,1239540,970786,,,,,,
Female,16-49 years,Other,516958,300482,238323,,,,,,
Female,16-49 years,Unknown,481360,276722,217543,,,,,,
Female,16-49 years,White,1810563,1030841,861734,,,,,,
Female,50-64 years,Asian,175835,96717,84487,,,,,,
Female,50-64 years,Black,299275,168331,142047,,,,,,
Female,50-64 years,Hispanic,934173,524811,442101,,,,,,
Female,50-64 years,Other,246380,137852,117101,,,,,,
Female,50-64 years,Unknown,277580,156855,127886,,,,,,
Female,50-64 years,White,1247275,695898,607087,,,,,,
Female,65-79 years,Asian,88582,47828,42610,,,,,,
Female,65-79 years,Black,183926,101021,88012,,,,,,
Female,65-79 years,Hispanic,492370,269095,235255,,,,,,
Female,65-79 years,Other,211700,115920,99176,,,,,,
Female,65-79 years,Unknown,244597,134544,114024,,,,,,
Female,65-79 years,White,1135529,615037,552188,,,,,,
Female,80+ years,Asian,16203,8870,7771,,,,,,
Female,80+ years,Black,39259,21814,18810,,,,,,
Female,80+ years,Hispanic,119047,65918,56211,,,,,,
Female,80+ years,Other,102363,57133,46067,,,,,,
Female,80+ years,Unknown,88749,49996,39866,,,,,,
Female,80+ years,White,321430,174751,155969,,,,,,
Female,Unknown,Asian,85,71,20,,,,,,
Female,Unknown,Black,135,111,35,,,,,,
Female,Unknown,Hispanic,766,628,175,,,,,,
Female,Unknown,Other,149,121,31,,,,,,
Female,Unknown,Unknown,826,717,119,,,,,,
Female,Unknown,White,581,475,145,,,,,,
Male,12-15 years,Asian,14543,13126,1417,,,,,,
