Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with Booster Doses,,,,,
Female,2022-05-11 00:00:00,Asian,52719,28869,23797,53,,,,,
Female,2022-05-11 00:00:00,Black,40794,23174,17590,31,,,,,
Female,2022-05-11 00:00:00,Hispanic,401526,247931,153211,404,,,,,
Female,2022-05-11 00:00:00,Other,153980,86538,67268,180,,,,,
Female,2022-05-11 00:00:00,Unknown,30047,19132,10903,14,,,,,
Female,2022-05-11 00:00:00,White,127744,71827,55800,124,,,,,
Female,2022-12-15 00:00:00,Asian,51332,24764,21881,4695,,,,,
Female,2022-12-15 00:00:00,Black,72153,37753,31281,3123,,,,,
Female,2022-12-15 00:00:00,Hispanic,544930,294328,225328,25403,,,,,
Female,2022-12-15 00:00:00,Other,239585,119726,103353,16522,,,,,
Female,2022-12-15 00:00:00,Unknown,22388,13459,8362,569,,,,,
Female,2022-12-15 00:00:00,White,194712,99041,83502,12198,,,,,
Female,16-49,Asian,706932,319909,277548,123745,,,,,
Female,16-49,Black,921891,456858,386770,100978,,,,,
Female,16-49,Hispanic,4205671,2122100,1754093,475250,,,,,
Female,16-49,Other,1715902,798930,699318,268466,,,,,
Female,16-49,Unknown,446385,249861,180803,31378,,,,,
Female,16-49,White,3001494,1453424,1259956,403836,,,,,
Female,50-64,Asian,233489,101942,89084,47891,,,,,
Female,50-64,Black,480903,211008,190074,92553,,,,,
Female,50-64,Hispanic,1536093,699605,598068,279059,,,,,
Female,50-64,Other,941661,392458,359530,211942,,,,,
Female,50-64,Unknown,197916,105339,77145,22264,,,,,
Female,50-64,White,1789970,804080,723837,331679,,,,,
Female,65-79,Asian,113213,48313,41264,25496,,,,,
Female,65-79,Black,264444,108554,99119,62217,,,,,
Female,65-79,Hispanic,795683,341784,292931,175059,,,,,
Female,65-79,Other,873719,336711,314748,232514,,,,,
Female,65-79,Unknown,123392,64420,46247,15823,,,,,
Female,65-79,White,1526811,636062,578665,348604,,,,,
Female,80+,Asian,21172,9144,7770,4690,,,,,
Female,80+,Black,57555,24193,21673,13172,,,,,
Female,80+,Hispanic,194007,84644,71709,41252,,,,,
Female,80+,Other,286766,111931,103546,73768,,,,,
Female,80+,Unknown,45189,24013,16919,5148,,,,,
Female,80+,White,454445,188484,170647,105665,,,,,
Female,Unknown,Asian,125,93,37,,,,,,
Female,Unknown,Black,186,149,44,6,,,,,
Female,Unknown,Hispanic,1289,1088,263,6,,,,,
Female,Unknown,Other,222,180,45,0,,,,,
Female,Unknown,Unknown,806,701,117,,,,,,
Female,Unknown,White,736,579,193,10,,,,,
Male,2022-05-11 00:00:00,Asian,55226,30297,24875,54,,,,,
Male,2022-05-11 00:00:00,Black,41261,23526,17704,31,,,,,
Male,2022-05-11 00:00:00,Hispanic,403940,249574,153991,399,,,,,
Male,2022-05-11 00:00:00,Other,157154,88452,68493,215,,,,,
Male,2022-05-11 00:00:00,Unknown,31225,19928,11282,17,,,,,
Male,2022-05-11 00:00:00,White,132931,74611,58199,128,,,,,
Male,2022-12-15 00:00:00,Asian,52521,25454,22463,4607,,,,,
Male,2022-12-15 00:00:00,Black,71020,37230,30685,3112,,,,,
Male,2022-12-15 00:00:00,Hispanic,539632,294534,221078,24129,,,,,
Male,2022-12-15 00:00:00,Other,240064,120395,103455,16240,,,,,
Male,2022-12-15 00:00:00,Unknown,23069,13996,8572,509,,,,,
Male,2022-12-15 00:00:00,White,196296,100585,83972,11768,,,,,
Male,16-49,Asian,687788,327153,282410,113906,,,,,
Male,16-49,Black,735041,375931,312370,74737,,,,,
Male,16-49,Hispanic,3731034,1966153,1584273,357321,,,,,
Male,16-49,Other,1526992,741683,635104,218017,,,,,
Male,16-49,Unknown,393268,233244,162528,22087,,,,,
Male,16-49,White,2729319,1363308,1170576,342761,,,,,
Male,50-64,Asian,215883,94607,83882,45215,,,,,
Male,50-64,Black,401558,182960,161163,72754,,,,,
Male,50-64,Hispanic,1386210,644702,552274,234972,,,,,
Male,50-64,Other,778910,333290,302102,167539,,,,,
Male,50-64,Unknown,174222,96340,69511,17112,,,,,
Male,50-64,White,1666375,768084,684233,294293,,,,,
Male,65-79,Asian,96424,40839,34875,22179,,,,,
Male,65-79,Black,181735,76538,67850,42156,,,,,
Male,65-79,Hispanic,630343,270514,232823,140131,,,,,
Male,65-79,Other,688207,267327,247459,182460,,,,,
Male,65-79,Unknown,110942,58388,41482,14232,,,,,
Male,65-79,White,1332293,562129,505046,300623,,,,,
Male,80+,Asian,16887,7096,6135,3960,,,,,
Male,80+,Black,26458,11347,9758,6065,,,,,
Male,80+,Hispanic,117063,50730,42814,25840,,,,,
Male,80+,Other,172103,66652,61002,46068,,,,,
Male,80+,Unknown,30097,16191,10945,3543,,,,,
Male,80+,White,323683,134372,119454,76970,,,,,
Male,Unknown,Asian,139,100,42,,,,,,
Male,Unknown,Black,141,113,36,,,,,,
Male,Unknown,Hispanic,1237,1045,258,10,,,,,
Male,Unknown,Other,206,162,57,,,,,,
Male,Unknown,Unknown,579,502,87,0,,,,,
Male,Unknown,White,667,523,180,6,,,,,
Unknown,2022-05-11 00:00:00,Asian,37,24,13,0,,,,,
Unknown,2022-05-11 00:00:00,Black,9,6,3,0,,,,,
Unknown,2022-05-11 00:00:00,Hispanic,717,649,68,0,,,,,
Unknown,2022-05-11 00:00:00,Other,75,55,20,0,,,,,
Unknown,2022-05-11 00:00:00,Unknown,139,93,46,0,,,,,
Unknown,2022-05-11 00:00:00,White,43,33,10,0,,,,,
Unknown,2022-12-15 00:00:00,Asian,32,17,12,,,,,,
Unknown,2022-12-15 00:00:00,Black,32,20,12,0,,,,,
Unknown,2022-12-15 00:00:00,Hispanic,530,468,64,0,,,,,
Unknown,2022-12-15 00:00:00,Other,102,68,32,,,,,,
Unknown,2022-12-15 00:00:00,Unknown,143,118,24,,,,,,
Unknown,2022-12-15 00:00:00,White,124,77,44,,,,,,
Unknown,16-49,Asian,1507,840,658,103,,,,,
Unknown,16-49,Black,1629,929,730,66,,,,,
Unknown,16-49,Hispanic,13355,8209,6659,520,,,,,
Unknown,16-49,Other,11044,6707,4793,383,,,,,
Unknown,16-49,Unknown,5861,3607,2370,201,,,,,
Unknown,16-49,White,7708,4263,3545,254,,,,,
Unknown,50-64,Asian,642,334,273,60,,,,,
Unknown,50-64,Black,733,388,322,65,,,,,
Unknown,50-64,Hispanic,6610,3486,3065,425,,,,,
Unknown,50-64,Other,6948,3981,3040,348,,,,,
Unknown,50-64,Unknown,1960,1131,807,150,,,,,
Unknown,50-64,White,4344,2334,1985,176,,,,,
Unknown,65-79,Asian,499,241,202,61,,,,,
Unknown,65-79,Black,448,235,191,43,,,,,
Unknown,65-79,Hispanic,3295,1710,1441,259,,,,,
Unknown,65-79,Other,4247,2403,1754,268,,,,,
Unknown,65-79,Unknown,1230,675,474,103,,,,,
Unknown,65-79,White,3354,1786,1481,159,,,,,
Unknown,80+,Asian,117,61,48,8,,,,,
Unknown,80+,Black,102,58,39,11,,,,,
Unknown,80+,Hispanic,750,398,325,51,,,,,
Unknown,80+,Other,1040,646,383,46,,,,,
Unknown,80+,Unknown,394,244,134,21,,,,,
Unknown,80+,White,890,489,374,51,,,,,
Unknown,Unknown,Asian,1,1,0,0,,,,,
Unknown,Unknown,Hispanic,7,7,1,0,,,,,
Unknown,Unknown,Other,78,72,7,0,,,,,
Unknown,Unknown,Unknown,15,14,2,0,,,,,
Unknown,Unknown,White,18,17,1,0,,,,,
Grand Total,Total,Total,43050929,20580598,17385389,6445803,,,,,
