Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with Booster Doses,,,,,
Female,2021-05-11 00:00:00,Asian,35817,22019,13786,12,,,,,
Female,2021-05-11 00:00:00,Black,20587,13539,7047,,,,,,
Female,2021-05-11 00:00:00,Hispanic,181869,122192,59642,53,,,,,
Female,2021-05-11 00:00:00,Other,89944,56178,33733,42,,,,,
Female,2021-05-11 00:00:00,Unknown,17279,12420,4856,,,,,,
Female,2021-05-11 00:00:00,White,84379,51589,32767,34,,,,,
Female,2021-12-15 00:00:00,Asian,45365,24130,21165,78,,,,,
Female,2021-12-15 00:00:00,Black,64133,35184,28839,114,,,,,
Female,2021-12-15 00:00:00,Hispanic,449877,251450,197732,772,,,,,
Female,2021-12-15 00:00:00,Other,207052,111526,95100,440,,,,,
Female,2021-12-15 00:00:00,Unknown,20336,12431,7886,20,,,,,
Female,2021-12-15 00:00:00,White,175422,95400,79716,331,,,,,
Female,16-49,Asian,653829,311557,275049,81431,,,,,
Female,16-49,Black,835351,433693,364971,58705,,,,,
Female,16-49,Hispanic,3755842,1970191,1660643,262635,,,,,
Female,16-49,Other,1527036,743756,652029,178942,,,,,
Female,16-49,Unknown,454586,253971,193054,23593,,,,,
Female,16-49,White,2789758,1406460,1223432,272786,,,,,
Female,50-64,Asian,219139,99424,88739,36407,,,,,
Female,50-64,Black,447942,207705,186187,66736,,,,,
Female,50-64,Hispanic,1387260,658642,576803,190870,,,,,
Female,50-64,Other,855657,369951,339503,167153,,,,,
Female,50-64,Unknown,204593,109253,84583,18022,,,,,
Female,50-64,White,1689576,790972,713015,254219,,,,,
Female,65-79,Asian,107967,47031,41046,21749,,,,,
Female,65-79,Black,251250,107803,98171,50737,,,,,
Female,65-79,Hispanic,736810,326367,285000,139125,,,,,
Female,65-79,Other,822666,324263,302993,205043,,,,,
Female,65-79,Unknown,128744,67491,50618,13975,,,,,
Female,65-79,White,1467574,630224,573833,299753,,,,,
Female,80+,Asian,20302,8998,7759,3981,,,,,
Female,80+,Black,54566,23922,21435,10694,,,,,
Female,80+,Hispanic,179923,81024,69683,32738,,,,,
Female,80+,Other,273222,109187,100737,65639,,,,,
Female,80+,Unknown,46552,24841,18138,4524,,,,,
Female,80+,White,437005,186876,169345,91079,,,,,
Female,Unknown,Asian,105,80,31,0,,,,,
Female,Unknown,Black,173,141,42,,,,,,
Female,Unknown,Hispanic,972,806,229,,,,,,
Female,Unknown,Other,175,139,39,0,,,,,
Female,Unknown,Unknown,792,687,117,,,,,,
Female,Unknown,White,682,540,179,7,,,,,
Male,2021-05-11 00:00:00,Asian,37646,23222,14409,15,,,,,
Male,2021-05-11 00:00:00,Black,20763,13653,7105,10,,,,,
Male,2021-05-11 00:00:00,Hispanic,184143,123741,60365,56,,,,,
Male,2021-05-11 00:00:00,Other,91857,57428,34393,45,,,,,
Male,2021-05-11 00:00:00,Unknown,17737,12840,4895,,,,,,
Male,2021-05-11 00:00:00,White,87541,53471,34051,38,,,,,
Male,2021-12-15 00:00:00,Asian,46771,24878,21822,74,,,,,
Male,2021-12-15 00:00:00,Black,63143,34767,28234,150,,,,,
Male,2021-12-15 00:00:00,Hispanic,445056,250898,193444,780,,,,,
Male,2021-12-15 00:00:00,Other,208188,112344,95390,475,,,,,
Male,2021-12-15 00:00:00,Unknown,21172,13034,8126,18,,,,,
Male,2021-12-15 00:00:00,White,177251,96897,80062,319,,,,,
Male,16-49,Asian,633733,314898,277648,74505,,,,,
Male,16-49,Black,669151,357377,295904,42968,,,,,
Male,16-49,Hispanic,3355184,1829402,1499669,193007,,,,,
Male,16-49,Other,1361135,689415,591729,143211,,,,,
Male,16-49,Unknown,386851,228047,167565,15309,,,,,
Male,16-49,White,2544858,1318741,1138082,230994,,,,,
Male,50-64,Asian,202903,92655,83349,34453,,,,,
Male,50-64,Black,373386,179472,157752,51424,,,,,
Male,50-64,Hispanic,1253132,610024,532088,155024,,,,,
Male,50-64,Other,705588,312992,284523,130597,,,,,
Male,50-64,Unknown,176673,98176,74455,13064,,,,,
Male,50-64,White,1574613,754207,673686,225538,,,,,
Male,65-79,Asian,92045,39674,34700,19153,,,,,
Male,65-79,Black,172855,75796,67107,34750,,,,,
Male,65-79,Hispanic,583066,259119,225948,110795,,,,,
Male,65-79,Other,649554,257702,238573,161794,,,,,
Male,65-79,Unknown,115098,60875,45048,12500,,,,,
Male,65-79,White,1282406,556099,500603,260869,,,,,
Male,80+,Asian,16220,6975,6078,3474,,,,,
Male,80+,Black,25333,11244,9673,5127,,,,,
Male,80+,Hispanic,108864,48649,41629,20851,,,,,
Male,80+,Other,164502,64956,59355,41727,,,,,
Male,80+,Unknown,30946,16659,11678,3222,,,,,
Male,80+,White,312352,133036,118480,67905,,,,,
Male,Unknown,Asian,103,79,27,0,,,,,
Male,Unknown,Black,124,100,32,,,,,,
Male,Unknown,Hispanic,906,759,218,,,,,,
Male,Unknown,Other,166,134,45,,,,,,
Male,Unknown,Unknown,547,478,78,0,,,,,
Male,Unknown,White,618,494,162,,,,,,
