Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,,,,,,
Female,12-15 years,Asian,42459,23399,19067,,,,,,
Female,12-15 years,Black,45297,27823,17476,,,,,,
Female,12-15 years,Hispanic,292985,178162,114885,,,,,,
Female,12-15 years,Other,132777,79435,53353,,,,,,
Female,12-15 years,Unknown,14893,9675,5219,,,,,,
Female,12-15 years,White,137116,81415,55711,,,,,,
Female,16-49 years,Asian,563078,305595,271812,,,,,,
Female,16-49 years,Black,607490,352546,274665,,,,,,
Female,16-49 years,Hispanic,2846885,1642543,1321672,,,,,,
Female,16-49 years,Other,776572,452448,356009,,,,,,
Female,16-49 years,Unknown,524346,303521,237357,,,,,,
Female,16-49 years,White,2210136,1261168,1050991,,,,,,
Female,50-64 years,Asian,188585,101784,92429,,,,,,
Female,50-64 years,Black,347781,193241,166857,,,,,,
Female,50-64 years,Hispanic,1069052,590869,514323,,,,,,
Female,50-64 years,Other,353958,196357,169371,,,,,,
Female,50-64 years,Unknown,280114,157919,130431,,,,,,
Female,50-64 years,White,1380495,768832,676560,,,,,,
Female,65-79 years,Asian,91792,49016,44741,,,,,,
Female,65-79 years,Black,199235,108142,96593,,,,,,
Female,65-79 years,Hispanic,536661,290052,259580,,,,,,
Female,65-79 years,Other,285759,153461,136988,,,,,,
Female,65-79 years,Unknown,232234,127239,109271,,,,,,
Female,65-79 years,White,1193061,643408,585453,,,,,,
Female,80+ years,Asian,16938,9171,8226,,,,,,
Female,80+ years,Black,42601,23439,20651,,,,,,
Female,80+ years,Hispanic,129596,71052,61909,,,,,,
Female,80+ years,Other,123539,66706,57902,,,,,,
Female,80+ years,Unknown,86917,48052,40095,,,,,,
Female,80+ years,White,339140,183309,166195,,,,,,
Female,Unknown,Asian,121,93,34,,,,,,
Female,Unknown,Black,181,145,47,,,,,,
Female,Unknown,Hispanic,1060,846,266,,,,,,
Female,Unknown,Other,263,193,73,,,,,,
Female,Unknown,Unknown,864,744,132,,,,,,
Female,Unknown,White,762,605,198,,,,,,
Male,12-15 years,Asian,43511,24018,19494,,,,,,
Male,12-15 years,Black,44460,27483,16985,,,,,,
Male,12-15 years,Hispanic,285340,175755,109633,,,,,,
Male,12-15 years,Other,132401,79950,52465,,,,,,
Male,12-15 years,Unknown,15449,10122,5332,,,,,,
Male,12-15 years,White,137199,82410,54805,,,,,,
Male,16-49 years,Asian,542662,301734,268405,,,,,,
Male,16-49 years,Black,486119,287993,220884,,,,,,
Male,16-49 years,Hispanic,2492852,1480218,1148658,,,,,,
Male,16-49 years,Other,717881,430906,330581,,,,,,
Male,16-49 years,Unknown,402728,242965,181702,,,,,,
Male,16-49 years,White,2004480,1162898,964210,,,,,,
Male,50-64 years,Asian,173091,94290,85804,,,,,,
Male,50-64 years,Black,286366,162473,138211,,,,,,
Male,50-64 years,Hispanic,961771,539319,462480,,,,,,
Male,50-64 years,Other,301577,170678,144542,,,,,,
Male,50-64 years,Unknown,222141,128465,103009,,,,,,
Male,50-64 years,White,1266905,714191,624635,,,,,,
Male,65-79 years,Asian,77374,41245,37682,,,,,,
Male,65-79 years,Black,132999,72931,64792,,,,,,
Male,65-79 years,Hispanic,419088,227791,203202,,,,,,
Male,65-79 years,Other,226017,121800,108652,,,,,,
Male,65-79 years,Unknown,196526,108078,92573,,,,,,
Male,65-79 years,White,1024993,554212,504737,,,,,,
Male,80+ years,Asian,13390,7186,6524,,,,,,
Male,80+ years,Black,19447,10733,9425,,,,,,
Male,80+ years,Hispanic,77764,42576,37303,,,,,,
Male,80+ years,Other,65071,35156,30633,,,,,,
Male,80+ years,Unknown,53805,29837,24811,,,,,,
Male,80+ years,White,242127,130415,118739,,,,,,
Male,Unknown,Asian,109,82,30,,,,,,
Male,Unknown,Black,137,107,42,,,,,,
Male,Unknown,Hispanic,1061,848,288,,,,,,
Male,Unknown,Other,237,187,62,,,,,,
Male,Unknown,Unknown,619,529,101,,,,,,
Male,Unknown,White,659,532,167,,,,,,
Unknown,12-15 years,Asian,64,36,28,,,,,,
Unknown,12-15 years,Black,23,17,6,,,,,,
Unknown,12-15 years,Hispanic,138,100,39,,,,,,
Unknown,12-15 years,Other,80,61,19,,,,,,
Unknown,12-15 years,Unknown,82,52,30,,,,,,
Unknown,12-15 years,White,141,87,55,,,,,,
Unknown,16-49 years,Asian,2451,1375,1194,,,,,,
Unknown,16-49 years,Black,1951,1132,936,,,,,,
Unknown,16-49 years,Hispanic,19080,11023,9917,,,,,,
Unknown,16-49 years,Other,21588,12374,10413,,,,,,
Unknown,16-49 years,Unknown,7438,4593,3258,,,,,,
Unknown,16-49 years,White,14777,7933,7243,,,,,,
Unknown,50-64 years,Asian,1190,653,566,,,,,,
Unknown,50-64 years,Black,1331,752,638,,,,,,
Unknown,50-64 years,Hispanic,13763,7419,6828,,,,,,
Unknown,50-64 years,Other,18727,10352,9180,,,,,,
Unknown,50-64 years,Unknown,3275,1960,1478,,,,,,
Unknown,50-64 years,White,12664,6689,6220,,,,,,
Unknown,65-79 years,Asian,1759,917,847,,,,,,
Unknown,65-79 years,Black,1524,826,728,,,,,,
Unknown,65-79 years,Hispanic,7767,4198,3729,,,,,,
Unknown,65-79 years,Other,13932,7602,6679,,,,,,
Unknown,65-79 years,Unknown,2586,1505,1116,,,,,,
Unknown,65-79 years,White,14808,7742,7178,,,,,,
Unknown,80+ years,Asian,324,170,154,,,,,,
Unknown,80+ years,Black,258,145,121,,,,,,
Unknown,80+ years,Hispanic,1449,794,690,,,,,,
Unknown,80+ years,Other,2890,1628,1323,,,,,,
Unknown,80+ years,Unknown,696,420,284,,,,,,
Unknown,80+ years,White,2993,1577,1451,,,,,,
Unknown,Unknown,Asian,1,1,0,,,,,,
Unknown,Unknown,Hispanic,10,9,2,,,,,,
Unknown,Unknown,Other,79,74,7,,,,,,
Unknown,Unknown,Unknown,14,12,3,,,,,,
Unknown,Unknown,White,13,12,1,,,,,,
Grand Total,Total,Total,28332965,16096758,13370501,,,,,,
