Gender ,Agegrp,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with Booster Doses,,,,,
Female,2022-05-11 00:00:00,Asian,54010,29475,24478,57,,,,,
Female,2022-05-11 00:00:00,Black,42375,23956,18380,40,,,,,
Female,2022-05-11 00:00:00,Hispanic,435729,271701,163558,490,,,,,
Female,2022-05-11 00:00:00,Other,158810,88858,69751,206,,,,,
Female,2022-05-11 00:00:00,Unknown,30819,19462,11345,15,,,,,
Female,2022-05-11 00:00:00,White,130924,73335,57445,151,,,,,
Female,2022-12-15 00:00:00,Asian,51700,24843,21939,4926,,,,,
Female,2022-12-15 00:00:00,Black,72814,37965,31498,3355,,,,,
Female,2022-12-15 00:00:00,Hispanic,559511,303711,228442,27487,,,,,
Female,2022-12-15 00:00:00,Other,241757,120354,103946,17473,,,,,
Female,2022-12-15 00:00:00,Unknown,22528,13544,8377,609,,,,,
Female,2022-12-15 00:00:00,White,195963,99369,83794,12828,,,,,
Female,16-49,Asian,711223,320721,277990,126804,,,,,
Female,16-49,Black,932445,460161,389833,105299,,,,,
Female,16-49,Hispanic,4255438,2142810,1765316,493709,,,,,
Female,16-49,Other,1733615,804628,704015,276117,,,,,
Female,16-49,Unknown,448166,250769,179771,33326,,,,,
Female,16-49,White,3018695,1458197,1264020,412566,,,,,
Female,50-64,Asian,235022,102285,89197,48963,,,,,
Female,50-64,Black,484421,211383,190612,95163,,,,,
Female,50-64,Hispanic,1552331,704493,601106,287550,,,,,
Female,50-64,Other,952733,395304,362344,217515,,,,,
Female,50-64,Unknown,196983,104645,76175,22994,,,,,
Female,50-64,White,1799083,805323,725229,338241,,,,,
Female,65-79,Asian,114086,48532,41367,26050,,,,,
Female,65-79,Black,266193,108593,99266,63767,,,,,
Female,65-79,Hispanic,805131,344359,294992,179929,,,,,
Female,65-79,Other,886520,339524,318033,239293,,,,,
Female,65-79,Unknown,121353,63445,45272,15725,,,,,
Female,65-79,White,1535858,636980,579881,355536,,,,,
Female,80+,Asian,21373,9197,7803,4806,,,,,
Female,80+,Black,57877,24215,21699,13447,,,,,
Female,80+,Hispanic,196269,85233,72210,42444,,,,,
Female,80+,Other,290067,112580,104384,75601,,,,,
Female,80+,Unknown,44667,23736,16689,5128,,,,,
Female,80+,White,456983,188757,170941,107641,,,,,
Female,Unknown,Asian,127,95,37,,,,,,
Female,Unknown,Black,192,154,45,6,,,,,
Female,Unknown,Hispanic,1431,1222,271,7,,,,,
Female,Unknown,Other,225,182,46,0,,,,,
Female,Unknown,Unknown,808,702,119,,,,,,
Female,Unknown,White,741,581,195,10,,,,,
Male,2022-05-11 00:00:00,Asian,56716,31012,25647,58,,,,,
Male,2022-05-11 00:00:00,Black,42853,24299,18517,37,,,,,
Male,2022-05-11 00:00:00,Hispanic,438636,273744,164433,483,,,,,
