Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,,,,,,
Female,12-15 years,Asian,8601,8575,32,,,,,,
Female,12-15 years,Black,5293,5282,11,,,,,,
Female,12-15 years,Hispanic,41286,41157,149,,,,,,
Female,12-15 years,Other,17545,17497,54,,,,,,
Female,12-15 years,Unknown,3412,3392,21,,,,,,
Female,12-15 years,White,25566,25498,70,,,,,,
Female,16-49 years,Asian,476706,269018,220701,,,,,,
Female,16-49 years,Black,405947,240285,181803,,,,,,
Female,16-49 years,Hispanic,2002332,1179858,899603,,,,,,
Female,16-49 years,Other,480535,280902,218861,,,,,,
Female,16-49 years,Unknown,473135,273177,212125,,,,,,
Female,16-49 years,White,1735510,996328,816381,,,,,,
Female,50-64 years,Asian,171478,95157,81578,,,,,,
Female,50-64 years,Black,287783,163680,134873,,,,,,
Female,50-64 years,Hispanic,903643,512275,422980,,,,,,
Female,50-64 years,Other,235885,132579,111325,,,,,,
Female,50-64 years,Unknown,276477,156905,126438,,,,,,
Female,50-64 years,White,1216993,683781,586803,,,,,,
Female,65-79 years,Asian,87335,47350,41808,,,,,,
Female,65-79 years,Black,179615,99325,85274,,,,,,
Female,65-79 years,Hispanic,482784,265370,229099,,,,,,
Female,65-79 years,Other,206140,113146,96219,,,,,,
Female,65-79 years,Unknown,246626,136036,114446,,,,,,
Female,65-79 years,White,1121067,608944,542767,,,,,,
Female,80+ years,Asian,15969,8780,7617,,,,,,
Female,80+ years,Black,38292,21440,18175,,,,,,
Female,80+ years,Hispanic,116778,65002,54791,,,,,,
Female,80+ years,Other,100959,56478,45287,,,,,,
Female,80+ years,Unknown,89180,50291,39971,,,,,,
Female,80+ years,White,317005,173022,152969,,,,,,
Female,Unknown,Asian,84,70,19,,,,,,
Female,Unknown,Black,130,107,34,,,,,,
Female,Unknown,Hispanic,739,616,160,,,,,,
Female,Unknown,Other,140,114,29,,,,,,
Female,Unknown,Unknown,830,720,120,,,,,,
Female,Unknown,White,566,462,143,,,,,,
Male,12-15 years,Asian,8546,8511,35,,,,,,
Male,12-15 years,Black,5332,5321,16,,,,,,
Male,12-15 years,Hispanic,39491,39379,125,,,,,,
Male,12-15 years,Other,17608,17563,50,,,,,,
Male,12-15 years,Unknown,3460,3439,24,,,,,,
Male,12-15 years,White,25413,25353,69,,,,,,
Male,16-49 years,Asian,448768,256023,207459,,,,,,
Male,16-49 years,Black,308335,188207,135103,,,,,,
Male,16-49 years,Hispanic,1653556,997542,733187,,,,,,
Male,16-49 years,Other,414868,250111,186511,,,,,,
Male,16-49 years,Unknown,338508,201043,150300,,,,,,
Male,16-49 years,White,1530278,894807,717176,,,,,,
Male,50-64 years,Asian,156477,87199,74463,,,,,,
Male,50-64 years,Black,225460,131669,104624,,,,,,
Male,50-64 years,Hispanic,778935,449563,361743,,,,,,
Male,50-64 years,Other,192540,110583,90194,,,,,,
Male,50-64 years,Unknown,210076,122008,94987,,,,,,
Male,50-64 years,White,1088880,618545,524630,,,,,,
Male,65-79 years,Asian,74009,40124,35341,,,,,,
Male,65-79 years,Black,117904,65772,55980,,,,,,
Male,65-79 years,Hispanic,373024,206364,176907,,,,,,
Male,65-79 years,Other,164035,90235,76686,,,,,,
Male,65-79 years,Unknown,206717,114283,95928,,,,,,
Male,65-79 years,White,958802,521358,465190,,,,,,
Male,80+ years,Asian,12808,6979,6131,,,,,,
Male,80+ years,Black,17613,9908,8323,,,,,,
Male,80+ years,Hispanic,70228,39036,33068,,,,,,
Male,80+ years,Other,52274,29184,23591,,,,,,
Male,80+ years,Unknown,56153,31578,25322,,,,,,
Male,80+ years,White,228093,123890,110262,,,,,,
Male,Unknown,Asian,80,62,20,,,,,,
Male,Unknown,Black,88,71,26,,,,,,
Male,Unknown,Hispanic,678,564,160,,,,,,
Male,Unknown,Other,108,90,23,,,,,,
Male,Unknown,Unknown,568,492,83,,,,,,
Male,Unknown,White,504,417,120,,,,,,
Unknown,12-15 years,Asian,24,23,1,,,,,,
Unknown,12-15 years,Black,5,5,0,,,,,,
Unknown,12-15 years,Hispanic,37,37,0,,,,,,
Unknown,12-15 years,Other,17,16,1,,,,,,
Unknown,12-15 years,Unknown,48,47,1,,,,,,
Unknown,12-15 years,White,58,58,1,,,,,,
Unknown,16-49 years,Asian,2135,1231,991,,,,,,
Unknown,16-49 years,Black,1638,973,745,,,,,,
Unknown,16-49 years,Hispanic,17303,9790,8530,,,,,,
Unknown,16-49 years,Other,21711,12438,10396,,,,,,
Unknown,16-49 years,Unknown,6713,4269,2776,,,,,,
Unknown,16-49 years,White,14120,7621,6786,,,,,,
Unknown,50-64 years,Asian,1116,624,515,,,,,,
Unknown,50-64 years,Black,1259,720,593,,,,,,
Unknown,50-64 years,Hispanic,14261,7720,6990,,,,,,
Unknown,50-64 years,Other,19802,10956,9666,,,,,,
Unknown,50-64 years,Unknown,3146,1890,1392,,,,,,
Unknown,50-64 years,White,13431,7123,6546,,,,,,
