Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with Booster Doses,,,,,
Unknown,50-64,Black,747,398,331,60,,,,,
Unknown,50-64,Hispanic,6994,3706,3300,366,,,,,
Unknown,50-64,Other,7445,4265,3298,329,,,,,
Unknown,50-64,Unknown,2057,1198,860,129,,,,,
Unknown,50-64,White,4598,2472,2119,168,,,,,
Unknown,65-79,Asian,518,251,212,60,,,,,
Unknown,65-79,Black,494,258,213,45,,,,,
Unknown,65-79,Hispanic,3508,1848,1562,218,,,,,
Unknown,65-79,Other,4507,2550,1883,261,,,,,
Unknown,65-79,Unknown,1315,727,514,98,,,,,
Unknown,65-79,White,3576,1906,1597,146,,,,,
Unknown,80+,Asian,115,60,48,7,,,,,
Unknown,80+,Black,107,60,41,12,,,,,
Unknown,80+,Hispanic,781,414,344,48,,,,,
Unknown,80+,Other,1088,674,406,44,,,,,
Unknown,80+,Unknown,406,249,140,22,,,,,
Unknown,80+,White,950,522,403,50,,,,,
Unknown,Unknown,Asian,1,1,0,0,,,,,
Unknown,Unknown,Hispanic,7,7,1,0,,,,,
Unknown,Unknown,Other,75,70,6,0,,,,,
Unknown,Unknown,Unknown,15,14,2,0,,,,,
Unknown,Unknown,White,18,17,1,0,,,,,
Grand Total,Total,Total,41069939,19894724,16811293,5695954,,,,,
