Gender ,Agegrp,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with Booster Doses,,,,,
Female,2022-05-11 00:00:00,Asian,54527,29762,24705,60,,,,,
Female,2022-05-11 00:00:00,Black,42983,24271,18671,42,,,,,
Female,2022-05-11 00:00:00,Hispanic,449173,279774,168887,531,,,,,
Female,2022-05-11 00:00:00,Other,160776,89901,70654,226,,,,,
Female,2022-05-11 00:00:00,Unknown,31402,19851,11537,17,,,,,
Female,2022-05-11 00:00:00,White,132426,74172,58103,157,,,,,
Female,2022-12-15 00:00:00,Asian,51950,24885,21975,5098,,,,,
Female,2022-12-15 00:00:00,Black,73070,38047,31562,3465,,,,,
Female,2022-12-15 00:00:00,Hispanic,567241,308238,230454,28683,,,,,
Female,2022-12-15 00:00:00,Other,242965,120754,104242,17985,,,,,
Female,2022-12-15 00:00:00,Unknown,22856,13815,8406,637,,,,,
Female,2022-12-15 00:00:00,White,196777,99670,83977,13158,,,,,
Female,16-49,Asian,712727,321038,278112,127891,,,,,
Female,16-49,Black,936067,461408,391003,106571,,,,,
Female,16-49,Hispanic,4281287,2157124,1770116,500797,,,,,
Female,16-49,Other,1741912,807897,706251,279097,,,,,
Female,16-49,Unknown,449952,252729,179384,33529,,,,,
Female,16-49,White,3026250,1460645,1265706,416190,,,,,
Female,50-64,Asian,235686,102428,89253,49417,,,,,
Female,50-64,Black,485836,211515,190867,96191,,,,,
Female,50-64,Hispanic,1561166,707928,602811,291325,,,,,
Female,50-64,Other,958911,397036,364025,220391,,,,,
Female,50-64,Unknown,196082,104383,75635,22885,,,,,
Female,50-64,White,1803491,806005,725880,341367,,,,,
Female,65-79,Asian,114577,48660,41453,26326,,,,,
Female,65-79,Black,266748,108502,99254,64426,,,,,
Female,65-79,Hispanic,810258,345966,296213,182250,,,,,
Female,65-79,Other,894981,341562,320329,243458,,,,,
Female,65-79,Unknown,120208,62924,44757,15600,,,,,
Female,65-79,White,1540851,637472,580696,359232,,,,,
Female,80+,Asian,21486,9212,7826,4881,,,,,
Female,80+,Black,57985,24208,21698,13562,,,,,
Female,80+,Hispanic,197421,85603,72451,42995,,,,,
Female,80+,Other,292407,113064,104950,76902,,,,,
Female,80+,Unknown,44458,23619,16584,5140,,,,,
Female,80+,White,458510,188922,171210,108731,,,,,
Female,Unknown,Asian,129,96,38,,,,,,
Female,Unknown,Black,189,152,43,6,,,,,
Female,Unknown,Hispanic,1476,1258,279,8,,,,,
Female,Unknown,Other,229,185,47,0,,,,,
Female,Unknown,Unknown,813,707,119,,,,,,
Female,Unknown,White,740,580,194,10,,,,,
Male,2022-05-11 00:00:00,Asian,57265,31277,25930,59,,,,,
Male,2022-05-11 00:00:00,Black,43425,24583,18805,37,,,,,
Male,2022-05-11 00:00:00,Hispanic,452372,282122,169746,528,,,,,
Male,2022-05-11 00:00:00,Other,163918,91733,71936,256,,,,,
Male,2022-05-11 00:00:00,Unknown,32663,20717,11916,32,,,,,
Male,2022-05-11 00:00:00,White,137738,77101,60493,151,,,,,
Male,2022-12-15 00:00:00,Asian,53099,25560,22561,4981,,,,,
Male,2022-12-15 00:00:00,Black,71962,37529,30966,3474,,,,,
Male,2022-12-15 00:00:00,Hispanic,561817,308501,226143,27284,,,,,
Male,2022-12-15 00:00:00,Other,243476,121420,104416,17667,,,,,
Male,2022-12-15 00:00:00,Unknown,23613,14414,8641,567,,,,,
Male,2022-12-15 00:00:00,White,198337,101210,84420,12738,,,,,
Male,16-49,Asian,693992,329349,283286,117518,,,,,
Male,16-49,Black,745379,379295,315283,78998,,,,,
Male,16-49,Hispanic,3790593,1995409,1597010,375999,,,,,
Male,16-49,Other,1549481,750082,641152,226743,,,,,
Male,16-49,Unknown,399743,239146,162009,23331,,,,,
Male,16-49,White,2751244,1370344,1175785,353293,,,,,
Male,50-64,Asian,217829,94971,84023,46687,,,,,
Male,50-64,Black,405681,183423,161825,75760,,,,,
Male,50-64,Hispanic,1407527,651255,556484,245873,,,,,
Male,50-64,Other,793879,337345,306099,174676,,,,,
Male,50-64,Unknown,172813,95712,68414,17398,,,,,
Male,50-64,White,1679693,770262,686611,303228,,,,,
Male,65-79,Asian,97547,41101,35019,22891,,,,,
