Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,,,,,,
Female,12-15 years,Asian,44901,24075,20833,,,,,,
Female,12-15 years,Black,56517,32092,24427,,,,,,
Female,12-15 years,Hispanic,368463,209219,159311,,,,,,
Female,12-15 years,Other,171704,95147,76568,,,,,,
Female,12-15 years,Unknown,17279,10501,6779,,,,,,
Female,12-15 years,White,164042,91369,72688,,,,,,
Female,16-49 years,Asian,573330,309114,278622,,,,,,
Female,16-49 years,Black,685993,389046,317370,,,,,,
Female,16-49 years,Hispanic,3139296,1779682,1485333,,,,,,
Female,16-49 years,Other,953234,538727,449065,,,,,,
Female,16-49 years,Unknown,522199,299058,239900,,,,,,
Female,16-49 years,White,2391170,1342946,1154459,,,,,,
Female,50-64 years,Asian,189000,101608,93000,,,,,,
Female,50-64 years,Black,364810,200338,176971,,,,,,
Female,50-64 years,Hispanic,1117663,612720,541790,,,,,,
Female,50-64 years,Other,425862,232476,206531,,,,,,
Female,50-64 years,Unknown,266895,149626,125530,,,,,,
Female,50-64 years,White,1428472,788687,706457,,,,,,
Female,65-79 years,Asian,90526,48304,44173,,,,,,
Female,65-79 years,Black,201338,108596,98266,,,,,,
Female,65-79 years,Hispanic,555910,299211,269890,,,,,,
Female,65-79 years,Other,362659,192594,175489,,,,,,
Female,65-79 years,Unknown,207395,113681,97892,,,,,,
Female,65-79 years,White,1193962,641656,588587,,,,,,
Female,80+ years,Asian,16930,9144,8245,,,,,,
Female,80+ years,Black,43360,23720,21141,,,,,,
Female,80+ years,Hispanic,134609,73529,64497,,,,,,
Female,80+ years,Other,142063,76012,67325,,,,,,
Female,80+ years,Unknown,80159,44336,37026,,,,,,
Female,80+ years,White,340655,183597,167466,,,,,,
Female,Unknown,Asian,127,96,37,,,,,,
Female,Unknown,Black,207,163,55,,,,,,
Female,Unknown,Hispanic,1222,955,321,,,,,,
Female,Unknown,Other,362,261,106,,,,,,
Female,Unknown,Unknown,883,753,142,,,,,,
Female,Unknown,White,871,670,244,,,,,,
Male,12-15 years,Asian,46221,24807,21416,,,,,,
Male,12-15 years,Black,55561,31649,23921,,,,,,
Male,12-15 years,Hispanic,362715,207671,155096,,,,,,
Male,12-15 years,Other,172629,95981,76669,,,,,,
Male,12-15 years,Unknown,17975,11023,6956,,,,,,
Male,12-15 years,White,165971,92965,73025,,,,,,
Male,16-49 years,Asian,554729,307649,276634,,,,,,
Male,16-49 years,Black,552976,320411,256950,,,,,,
Male,16-49 years,Hispanic,2802810,1631419,1319187,,,,,,
Male,16-49 years,Other,889875,516627,421013,,,,,,
Male,16-49 years,Unknown,411732,245145,189461,,,,,,
Male,16-49 years,White,2176171,1244410,1061589,,,,,,
Male,50-64 years,Asian,173607,94352,86498,,,,,,
Male,50-64 years,Black,304204,170588,148383,,,,,,
Male,50-64 years,Hispanic,1017541,564498,494090,,,,,,
Male,50-64 years,Other,367167,203414,178855,,,,,,
Male,50-64 years,Unknown,215757,123664,101539,,,,,,
Male,50-64 years,White,1320221,737414,657498,,,,,,
Male,65-79 years,Asian,76441,40722,37260,,,,,,
Male,65-79 years,Black,135639,74000,66420,,,,,,
Male,65-79 years,Hispanic,435584,235558,212147,,,,,,
Male,65-79 years,Other,286243,152537,138805,,,,,,
Male,65-79 years,Unknown,176604,97204,83459,,,,,,
Male,65-79 years,White,1029018,554637,508964,,,,,,
Male,80+ years,Asian,13223,7093,6448,,,,,,
Male,80+ years,Black,19732,10859,9586,,,,,,
Male,80+ years,Hispanic,80714,44084,38795,,,,,,
Male,80+ years,Other,78757,42143,37467,,,,,,
Male,80+ years,Unknown,48679,27076,22416,,,,,,
Male,80+ years,White,241782,130050,118804,,,,,,
Male,Unknown,Asian,116,88,31,,,,,,
Male,Unknown,Black,162,128,46,,,,,,
Male,Unknown,Hispanic,1249,976,351,,,,,,
Male,Unknown,Other,323,242,94,,,,,,
Male,Unknown,Unknown,639,541,110,,,,,,
Male,Unknown,White,754,595,200,,,,,,
Unknown,12-15 years,Asian,65,35,30,,,,,,
Unknown,12-15 years,Black,30,19,11,,,,,,
Unknown,12-15 years,Hispanic,148,103,47,,,,,,
Unknown,12-15 years,Other,84,57,27,,,,,,
Unknown,12-15 years,Unknown,85,55,30,,,,,,
Unknown,12-15 years,White,145,89,57,,,,,,
Unknown,16-49 years,Asian,2343,1315,1146,,,,,,
Unknown,16-49 years,Black,1965,1143,943,,,,,,
Unknown,16-49 years,Hispanic,18936,11085,9996,,,,,,
Unknown,16-49 years,Other,20872,11974,10079,,,,,,
Unknown,16-49 years,Unknown,7306,4524,3198,,,,,,
Unknown,16-49 years,White,14124,7615,6919,,,,,,
Unknown,50-64 years,Asian,1063,585,505,,,,,,
Unknown,50-64 years,Black,1248,709,601,,,,,,
Unknown,50-64 years,Hispanic,13160,7100,6540,,,,,,
Unknown,50-64 years,Other,17512,9707,8589,,,,,,
Unknown,50-64 years,Unknown,3109,1865,1406,,,,,,
Unknown,50-64 years,White,11586,6147,5687,,,,,,
Unknown,65-79 years,Asian,1328,695,638,,,,,,
Unknown,65-79 years,Black,1318,719,632,,,,,,
Unknown,65-79 years,Hispanic,7184,3887,3452,,,,,,
Unknown,65-79 years,Other,12092,6643,5779,,,,,,
Unknown,65-79 years,Unknown,2314,1350,997,,,,,,
Unknown,65-79 years,White,12098,6358,5848,,,,,,
Unknown,80+ years,Asian,250,133,117,,,,,,
Unknown,80+ years,Black,226,128,106,,,,,,
Unknown,80+ years,Hispanic,1353,742,644,,,,,,
Unknown,80+ years,Other,2557,1451,1163,,,,,,
Unknown,80+ years,Unknown,625,382,251,,,,,,
Unknown,80+ years,White,2511,1331,1214,,,,,,
Unknown,Unknown,Asian,1,1,0,,,,,,
Unknown,Unknown,Hispanic,10,9,2,,,,,,
Unknown,Unknown,Other,79,74,7,,,,,,
Unknown,Unknown,Unknown,12,11,2,,,,,,
Unknown,Unknown,White,15,14,1,,,,,,
Grand Total,Total,Total,30645343,17153984,14683383,,,,,,
