Gender ,Agegrp,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with Booster Doses,,,,,
Female,2022-05-11 00:00:00,Asian,54441,29716,24665,60,,,,,
Female,2022-05-11 00:00:00,Black,42885,24210,18634,42,,,,,
Female,2022-05-11 00:00:00,Hispanic,447683,278968,168210,525,,,,,
Female,2022-05-11 00:00:00,Other,160474,89748,70508,223,,,,,
Female,2022-05-11 00:00:00,Unknown,31234,19706,11514,17,,,,,
Female,2022-05-11 00:00:00,White,132214,74070,57994,156,,,,,
Female,2022-12-15 00:00:00,Asian,51914,24877,21968,5077,,,,,
Female,2022-12-15 00:00:00,Black,73034,38032,31553,3453,,,,,
Female,2022-12-15 00:00:00,Hispanic,566406,307789,230212,28539,,,,,
Female,2022-12-15 00:00:00,Other,242773,120698,104179,17912,,,,,
Female,2022-12-15 00:00:00,Unknown,22815,13784,8402,631,,,,,
Female,2022-12-15 00:00:00,White,196633,99609,83945,13107,,,,,
Female,16-49,Asian,712523,320983,278106,127750,,,,,
Female,16-49,Black,935668,461274,390866,106443,,,,,
Female,16-49,Hispanic,4277969,2155140,1769598,499959,,,,,
Female,16-49,Other,1740859,807498,705995,278689,,,,,
Female,16-49,Unknown,449702,252459,179418,33516,,,,,
Female,16-49,White,3025356,1460367,1265522,415746,,,,,
Female,50-64,Asian,235585,102406,89252,49342,,,,,
Female,50-64,Black,485685,211493,190845,96086,,,,,
Female,50-64,Hispanic,1560151,707467,602669,290904,,,,,
Female,50-64,Other,957946,396753,363733,219980,,,,,
Female,50-64,Unknown,196163,104390,75704,22897,,,,,
Female,50-64,White,1802883,805892,725775,340971,,,,,
Female,65-79,Asian,114534,48654,41445,26297,,,,,
Female,65-79,Black,266653,108500,99248,64337,,,,,
Female,65-79,Hispanic,809735,345772,296084,182044,,,,,
Female,65-79,Other,893924,341276,320031,242976,,,,,
Female,65-79,Unknown,120338,62972,44823,15621,,,,,
Female,65-79,White,1540387,637433,580621,358878,,,,,
Female,80+,Asian,21477,9214,7823,4873,,,,,
Female,80+,Black,57965,24208,21697,13543,,,,,
Female,80+,Hispanic,197340,85576,72444,42946,,,,,
Female,80+,Other,292091,113003,104880,76717,,,,,
Female,80+,Unknown,44449,23613,16584,5138,,,,,
Female,80+,White,458339,188894,171166,108631,,,,,
Female,Unknown,Asian,127,95,37,,,,,,
Female,Unknown,Black,189,152,43,6,,,,,
Female,Unknown,Hispanic,1473,1255,279,8,,,,,
Female,Unknown,Other,227,184,46,0,,,,,
Female,Unknown,Unknown,811,705,119,,,,,,
Female,Unknown,White,740,580,194,10,,,,,
Male,2022-05-11 00:00:00,Asian,57152,31234,25860,59,,,,,
Male,2022-05-11 00:00:00,Black,43325,24535,18753,37,,,,,
Male,2022-05-11 00:00:00,Hispanic,450814,281283,169032,523,,,,,
