Gender,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,,,,,,,,,
Female,16-49 years,Asian,30983,22255,8728,,,,,,,,,
Female,16-49 years,Black,20115,15363,4752,,,,,,,,,
Female,16-49 years,Hispanic,54522,40776,13746,,,,,,,,,
Female,16-49 years,White,115102,85373,29729,,,,,,,,,
Female,16-49 years,Other,34666,29285,5381,,,,,,,,,
Female,16-49 years,Unknown,193424,155376,38048,,,,,,,,,
Female,50-64 years,Asian,12884,9787,3097,,,,,,,,,
Female,50-64 years,Black,14834,11648,3186,,,,,,,,,
Female,50-64 years,Hispanic,22532,18169,4363,,,,,,,,,
Female,50-64 years,White,65713,52465,13248,,,,,,,,,
Female,50-64 years,Other,19055,16799,2256,,,,,,,,,
Female,50-64 years,Unknown,111101,94655,16446,,,,,,,,,
Female,65-79 years,Asian,8773,8273,500,,,,,,,,,
Female,65-79 years,Black,8659,8169,490,,,,,,,,,
Female,65-79 years,Hispanic,12824,12094,730,,,,,,,,,
Female,65-79 years,White,76383,72999,3384,,,,,,,,,
Female,65-79 years,Other,18475,17268,1207,,,,,,,,,
Female,65-79 years,Unknown,104777,99815,4962,,,,,,,,,
Female,80+ years,Asian,1756,1730,26,,,,,,,,,
Female,80+ years,Black,1782,1768,14,,,,,,,,,
Female,80+ years,Hispanic,2660,2610,50,,,,,,,,,
Female,80+ years,White,22166,21759,407,,,,,,,,,
Female,80+ years,Other,20812,18704,2108,,,,,,,,,
Female,80+ years,Unknown,38659,37062,1597,,,,,,,,,
Female,Unknown,Asian,12,12,0,,,,,,,,,
Female,Unknown,Black,14,11,3,,,,,,,,,
Female,Unknown,Hispanic,30,27,3,,,,,,,,,
Female,Unknown,White,102,98,4,,,,,,,,,
Female,Unknown,Other,13,12,1,,,,,,,,,
Female,Unknown,Unknown,660,632,28,,,,,,,,,
Male,16-49 years,Asian,20046,14427,5619,,,,,,,,,
Male,16-49 years,Black,8511,6581,1930,,,,,,,,,
Male,16-49 years,Hispanic,27757,21070,6687,,,,,,,,,
Male,16-49 years,White,56780,43251,13529,,,,,,,,,
Male,16-49 years,Other,16573,13802,2771,,,,,,,,,
Male,16-49 years,Unknown,112990,91938,21052,,,,,,,,,
Male,50-64 years,Asian,8839,6871,1968,,,,,,,,,
Male,50-64 years,Black,7403,6085,1318,,,,,,,,,
Male,50-64 years,Hispanic,13978,11467,2511,,,,,,,,,
Male,50-64 years,White,40338,33020,7318,,,,,,,,,
Male,50-64 years,Other,10366,9082,1284,,,,,,,,,
Male,50-64 years,Unknown,72757,62767,9990,,,,,,,,,
