Gender ,Agegrp_v2,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with at least One Booster Doses,,,,,
Female, 6mo-4yr,Asian,2246,2140,6,0,,,,,
Female, 6mo-4yr,Black,1022,974,1,0,,,,,
Female, 6mo-4yr,Hispanic,8814,8494,20,0,,,,,
Female, 6mo-4yr,Other,1177,1129,7,0,,,,,
Female, 6mo-4yr,Unknown,598,582,7,0,,,,,
Female, 6mo-4yr,White,6586,6322,18,0,,,,,
Female,2022-05-11 00:00:00,Asian,60162,31531,26376,2241,,,,,
Female,2022-05-11 00:00:00,Black,47294,26023,20189,1078,,,,,
Female,2022-05-11 00:00:00,Hispanic,513878,311554,192484,9727,,,,,
Female,2022-05-11 00:00:00,Other,178230,95286,75860,7035,,,,,
Female,2022-05-11 00:00:00,Unknown,33374,21094,11910,365,,,,,
Female,2022-05-11 00:00:00,White,145886,78031,61943,5875,,,,,
Female,2022-12-15 00:00:00,Asian,53979,25146,22216,6578,,,,,
Female,2022-12-15 00:00:00,Black,75387,38667,32105,4577,,,,,
Female,2022-12-15 00:00:00,Hispanic,601184,322670,241009,37342,,,,,
Female,2022-12-15 00:00:00,Other,252124,122633,106267,23000,,,,,
Female,2022-12-15 00:00:00,Unknown,23214,14024,8351,835,,,,,
Female,2022-12-15 00:00:00,White,202603,100641,85168,16673,,,,,
Female,16-49,Asian,724945,322913,278779,134403,,,,,
Female,16-49,Black,962319,469223,397897,115145,,,,,
Female,16-49,Hispanic,4411002,2208524,1798441,539669,,,,,
Female,16-49,Other,1804130,824524,720435,298482,,,,,
Female,16-49,Unknown,457562,263087,175671,34111,,,,,
Female,16-49,White,3083757,1473346,1275725,437775,,,,,
Female,50-64,Asian,247056,103156,89359,51800,,,,,
Female,50-64,Black,507455,212021,191610,101242,,,,,
Female,50-64,Hispanic,1652110,723079,613381,310770,,,,,
Female,50-64,Other,1053844,407599,374409,236612,,,,,
Female,50-64,Unknown,191591,101864,72242,22122,,,,,
Female,50-64,White,1892318,809689,729658,357747,,,,,
Female,65-79,Asian,123888,49264,41600,27433,,,,,
Female,65-79,Black,286642,108149,99210,67249,,,,,
Female,65-79,Hispanic,885316,354340,302782,193633,,,,,
