Gender,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated
Female,16-49 years,Asian,87998,56051,31959
Female,16-49 years,Black,65183,42225,22988
Female,16-49 years,Hispanic,275062,184779,90376
Female,16-49 years,White,365625,234670,131006
Female,16-49 years,Other,108629,69088,39546
Female,16-49 years,Unknown,348319,205126,143194
Female,50-64 years,Asian,49503,32533,16981
Female,50-64 years,Black,65342,44504,20858
Female,50-64 years,Hispanic,183586,126914,56712
Female,50-64 years,White,318815,214846,104030
Female,50-64 years,Other,73510,47820,25700
Female,50-64 years,Unknown,228946,136529,92425
Female,65-79 years,Asian,56785,35190,21611
Female,65-79 years,Black,71480,46755,24735
Female,65-79 years,Hispanic,175395,117421,58002
Female,65-79 years,White,557855,357751,200165
Female,65-79 years,Other,88031,55742,32298
Female,65-79 years,Unknown,247662,149628,98061
Female,80+ years,Asian,11752,7213,4542
Female,80+ years,Black,15365,10139,5232
Female,80+ years,Hispanic,44612,30238,14380
Female,80+ years,White,160118,102920,57214
Female,80+ years,Other,61312,38729,22584
Female,80+ years,Unknown,88756,55229,33531
Female,Unknown,Asian,35,30,5
Female,Unknown,Black,44,35,9
Female,Unknown,Hispanic,279,240,39
Female,Unknown,White,308,265,44
Female,Unknown,Other,43,37,6
Female,Unknown,Unknown,950,817,133
Male,16-49 years,Asian,65014,42694,22335
Male,16-49 years,Black,33379,22669,10733
Male,16-49 years,Hispanic,175598,121606,54048
Male,16-49 years,White,223980,149747,74283
Male,16-49 years,Other,59665,39054,20614
Male,16-49 years,Unknown,214750,127545,87206
Male,50-64 years,Asian,40275,26934,13349
Male,50-64 years,Black,41051,28789,12284
Male,50-64 years,Hispanic,131642,92863,38816
Male,50-64 years,White,235474,162763,72757
Male,50-64 years,Other,44988,29816,15176
Male,50-64 years,Unknown,157404,94967,62448
Male,65-79 years,Asian,49779,30847,18936
Male,65-79 years,Black,46452,30533,15928
Male,65-79 years,Hispanic,131490,88016,43489
Male,65-79 years,White,478080,306032,172097
Male,65-79 years,Other,66915,42281,24638
Male,65-79 years,Unknown,206005,123982,82041
Male,80+ years,Asian,10004,6023,3986
Male,80+ years,Black,7606,4935,2674
Male,80+ years,Hispanic,27196,18340,8861
Male,80+ years,White,123253,77753,45515
Male,80+ years,Other,27699,17485,10216
Male,80+ years,Unknown,57123,35302,21825
Male,Unknown,Asian,50,38,12
Male,Unknown,Black,36,32,4
Male,Unknown,Hispanic,201,169,32
Male,Unknown,White,250,222,28
Male,Unknown,Other,51,42,9
Male,Unknown,Unknown,649,564,85
Unknown,16-49 years,Asian,1101,671,430
Unknown,16-49 years,Black,641,389,252
Unknown,16-49 years,Hispanic,1658,1030,628
Unknown,16-49 years,White,3536,2319,1217
Unknown,16-49 years,Other,3371,2354,1017
Unknown,16-49 years,Unknown,15159,10570,4589
Unknown,50-64 years,Asian,713,413,300
Unknown,50-64 years,Black,718,431,287
Unknown,50-64 years,Hispanic,854,554,300
Unknown,50-64 years,White,4023,2952,1071
Unknown,50-64 years,Other,4169,3498,671
Unknown,50-64 years,Unknown,15489,10833,4656
Unknown,65-79 years,Asian,1923,1035,888
Unknown,65-79 years,Black,1355,768,587
Unknown,65-79 years,Hispanic,1781,1073,708
Unknown,65-79 years,White,13567,7791,5776
Unknown,65-79 years,Other,8265,5687,2578
Unknown,65-79 years,Unknown,24588,16858,7730
Unknown,80+ years,Asian,326,181,145
Unknown,80+ years,Black,211,119,92
Unknown,80+ years,Hispanic,357,229,128
Unknown,80+ years,White,2645,1528,1117
Unknown,80+ years,Other,1465,1011,454
Unknown,80+ years,Unknown,5119,4021,1098
Unknown,Unknown,Asian,1,1,0
Unknown,Unknown,Black,1,1,0
Unknown,Unknown,Hispanic,5,5,0
Unknown,Unknown,White,10,10,0
Unknown,Unknown,Other,5,5,0
Unknown,Unknown,Unknown,54,44,10
Texas,Total,Total,6520469,4201888,2319520
