Gender ,Agegrp_v2,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with at least One Booster Doses,,,,,
Female, 6mo-4yr,Asian,4607,3339,488,0,,,,,
Female, 6mo-4yr,Black,2179,1620,130,0,,,,,
Female, 6mo-4yr,Hispanic,18391,14781,930,0,,,,,
Female, 6mo-4yr,Other,2443,1819,234,0,,,,,
Female, 6mo-4yr,Unknown,1412,1247,79,0,,,,,
Female, 6mo-4yr,White,12581,9061,1680,0,,,,,
Female,2022-05-11 00:00:00,Asian,61939,32104,26774,3039,,,,,
Female,2022-05-11 00:00:00,Black,48878,26726,20542,1599,,,,,
Female,2022-05-11 00:00:00,Hispanic,530359,318274,197313,14616,,,,,
Female,2022-05-11 00:00:00,Other,184157,97264,77296,9535,,,,,
Female,2022-05-11 00:00:00,Unknown,33956,21563,11844,544,,,,,
Female,2022-05-11 00:00:00,White,149826,79298,62880,7587,,,,,
Female,2022-12-15 00:00:00,Asian,54354,25188,22228,6885,,,,,
Female,2022-12-15 00:00:00,Black,76204,38859,32233,5063,,,,,
Female,2022-12-15 00:00:00,Hispanic,610100,326160,242927,40752,,,,,
Female,2022-12-15 00:00:00,Other,254749,123277,106715,24465,,,,,
Female,2022-12-15 00:00:00,Unknown,23405,14175,8318,908,,,,,
Female,2022-12-15 00:00:00,White,203874,100834,85290,17608,,,,,
Female,16-49,Asian,727091,323320,278862,135504,,,,,
Female,16-49,Black,968034,470787,399069,117339,,,,,
Female,16-49,Hispanic,4442367,2220999,1804135,549781,,,,,
Female,16-49,Other,1818556,828826,723758,303086,,,,,
Female,16-49,Unknown,459615,265751,174815,34226,,,,,
Female,16-49,White,3095363,1476182,1277191,442383,,,,,
Female,50-64,Asian,249017,103265,89298,52244,,,,,
Female,50-64,Black,512384,211993,191574,102567,,,,,
Female,50-64,Hispanic,1673093,726702,615776,315745,,,,,
Female,50-64,Other,1074948,410907,377549,241102,,,,,
Female,50-64,Unknown,190435,101393,71394,21903,,,,,
Female,50-64,White,1909935,810526,730297,361796,,,,,
Female,65-79,Asian,125212,49449,41613,27638,,,,,
Female,65-79,Black,289903,107923,99054,67849,,,,,
Female,65-79,Hispanic,899007,356066,304095,196186,,,,,
Female,65-79,Other,1055772,353670,333144,264637,,,,,
