Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with Booster Doses,,,,,
Female,2021-05-11 00:00:00,Asian,32735,20633,12089,13,,,,,
Female,2021-05-11 00:00:00,Black,18330,12126,6205,,,,,,
Female,2021-05-11 00:00:00,Hispanic,163715,111559,52131,40,,,,,
Female,2021-05-11 00:00:00,Other,82124,51976,30126,30,,,,,
Female,2021-05-11 00:00:00,Unknown,15802,11534,4266,,,,,,
Female,2021-05-11 00:00:00,White,78920,48704,30198,27,,,,,
Female,2021-12-15 00:00:00,Asian,45248,24069,21127,60,,,,,
Female,2021-12-15 00:00:00,Black,63637,34889,28661,91,,,,,
Female,2021-12-15 00:00:00,Hispanic,445220,248624,195982,690,,,,,
Female,2021-12-15 00:00:00,Other,205389,110616,94414,373,,,,,
Female,2021-12-15 00:00:00,Unknown,20136,12303,7818,17,,,,,
Female,2021-12-15 00:00:00,White,174682,95016,79416,274,,,,,
Female,16-49,Asian,642038,310037,274834,71385,,,,,
Female,16-49,Black,822809,431035,362880,50852,,,,,
Female,16-49,Hispanic,3705186,1957165,1652463,232732,,,,,
Female,16-49,Other,1490178,734080,643954,159405,,,,,
Female,16-49,Unknown,457449,255533,195641,22427,,,,,
Female,16-49,White,2750399,1399432,1219467,244118,,,,,
Female,50-64,Asian,215811,99014,88713,33520,,,,,
Female,50-64,Black,441580,207204,185735,61321,,,,,
Female,50-64,Hispanic,1365332,653831,574334,176077,,,,,
Female,50-64,Other,838021,365795,335824,157074,,,,,
Female,50-64,Unknown,205910,110014,86011,17230,,,,,
Female,50-64,White,1668480,788830,711630,236568,,,,,
Female,65-79,Asian,106938,46830,41042,20924,,,,,
Female,65-79,Black,248683,107655,98040,48449,,,,,
Female,65-79,Hispanic,727072,323802,283963,132975,,,,,
Female,65-79,Other,813658,322273,301231,199679,,,,,
Female,65-79,Unknown,129686,67957,51481,13597,,,,,
Female,65-79,White,1454827,628813,572973,289231,,,,,
Female,80+,Asian,20125,8982,7756,3821,,,,,
Female,80+,Black,53974,23883,21413,10163,,,,,
Female,80+,Hispanic,177627,80452,69399,31291,,,,,
Female,80+,Other,270696,108691,100274,64039,,,,,
Female,80+,Unknown,46776,24963,18359,4416,,,,,
Female,80+,White,433264,186590,169110,87852,,,,,
Female,Unknown,Asian,102,77,31,0,,,,,
Female,Unknown,Black,172,140,42,,,,,,
Female,Unknown,Hispanic,955,790,228,,,,,,
Female,Unknown,Other,171,136,38,0,,,,,
Female,Unknown,Unknown,788,683,117,,,,,,
Female,Unknown,White,676,535,178,7,,,,,
Male,2021-05-11 00:00:00,Asian,34408,21717,12678,13,,,,,
Male,2021-05-11 00:00:00,Black,18491,12271,6215,10,,,,,
Male,2021-05-11 00:00:00,Hispanic,165801,113108,52672,39,,,,,
Male,2021-05-11 00:00:00,Other,84009,53186,30791,41,,,,,
Male,2021-05-11 00:00:00,Unknown,16111,11854,4257,,,,,,
Male,2021-05-11 00:00:00,White,81874,50500,31359,31,,,,,
Male,2021-12-15 00:00:00,Asian,46604,24788,21763,56,,,,,
Male,2021-12-15 00:00:00,Black,62704,34505,28081,126,,,,,
Male,2021-12-15 00:00:00,Hispanic,440303,247982,191695,692,,,,,
Male,2021-12-15 00:00:00,Other,206626,111468,94776,403,,,,,
Male,2021-12-15 00:00:00,Unknown,21001,12934,8058,15,,,,,
Male,2021-12-15 00:00:00,White,176508,96462,79788,284,,,,,
Male,16-49,Asian,622129,313234,277466,64656,,,,,
Male,16-49,Black,659401,355081,294491,36850,,,,,
Male,16-49,Hispanic,3312480,1817023,1492455,169302,,,,,
Male,16-49,Other,1328008,680069,584273,126249,,,,,
Male,16-49,Unknown,388164,228629,169460,14223,,,,,
Male,16-49,White,2507504,1311449,1134506,203913,,,,,
Male,50-64,Asian,199693,92422,83331,31486,,,,,
Male,50-64,Black,367678,178833,157355,46743,,,,,
Male,50-64,Hispanic,1233034,605909,529877,141096,,,,,
Male,50-64,Other,689623,308895,281010,121948,,,,,
Male,50-64,Unknown,177623,98699,75681,12340,,,,,
Male,50-64,White,1551977,751327,672114,207170,,,,,
Male,65-79,Asian,91110,39442,34704,18449,,,,,
Male,65-79,Black,170869,75645,66996,33022,,,,,
Male,65-79,Hispanic,575135,257153,225069,105678,,,,,
Male,65-79,Other,641603,255850,236954,157200,,,,,
Male,65-79,Unknown,115864,61277,45826,12085,,,,,
Male,65-79,White,1270143,554528,499843,250905,,,,,
Male,80+,Asian,16052,6933,6063,3362,,,,,
Male,80+,Black,25098,11217,9656,4932,,,,,
Male,80+,Hispanic,107480,48312,41472,19953,,,,,
Male,80+,Other,162760,64571,59022,40679,,,,,
Male,80+,Unknown,31118,16739,11833,3159,,,,,
Male,80+,White,309710,132774,118333,65669,,,,,
Male,Unknown,Asian,100,76,27,0,,,,,
Male,Unknown,Black,124,100,32,,,,,,
Male,Unknown,Hispanic,880,735,215,,,,,,
Male,Unknown,Other,162,130,45,,,,,,
Male,Unknown,Unknown,543,475,77,0,,,,,
Male,Unknown,White,613,490,161,,,,,,
Unknown,2021-05-11 00:00:00,Asian,22,18,4,0,,,,,
Unknown,2021-05-11 00:00:00,Black,6,4,2,0,,,,,
Unknown,2021-05-11 00:00:00,Hispanic,90,64,27,0,,,,,
Unknown,2021-05-11 00:00:00,Other,53,41,12,0,,,,,
Unknown,2021-05-11 00:00:00,Unknown,67,52,14,,,,,,
Unknown,2021-05-11 00:00:00,White,38,29,9,0,,,,,
Unknown,2021-12-15 00:00:00,Asian,53,30,23,0,,,,,
Unknown,2021-12-15 00:00:00,Black,36,23,13,0,,,,,
Unknown,2021-12-15 00:00:00,Hispanic,166,117,51,0,,,,,
Unknown,2021-12-15 00:00:00,Other,91,64,27,0,,,,,
Unknown,2021-12-15 00:00:00,Unknown,83,56,27,0,,,,,
Unknown,2021-12-15 00:00:00,White,131,82,50,0,,,,,
Unknown,16-49,Asian,1685,946,771,70,,,,,
Unknown,16-49,Black,1762,1011,819,41,,,,,
Unknown,16-49,Hispanic,14468,8653,7597,299,,,,,
Unknown,16-49,Other,13224,7858,6020,274,,,,,
Unknown,16-49,Unknown,6400,3955,2658,131,,,,,
Unknown,16-49,White,9092,4991,4296,184,,,,,
Unknown,50-64,Asian,746,392,332,49,,,,,
Unknown,50-64,Black,848,463,384,48,,,,,
Unknown,50-64,Hispanic,7965,4267,3834,270,,,,,
Unknown,50-64,Other,8775,4986,4014,277,,,,,
Unknown,50-64,Unknown,2255,1317,961,110,,,,,
Unknown,50-64,White,5323,2866,2498,142,,,,,
Unknown,65-79,Asian,566,275,235,61,,,,,
Unknown,65-79,Black,545,292,244,34,,,,,
Unknown,65-79,Hispanic,3891,2073,1764,178,,,,,
Unknown,65-79,Other,5037,2848,2156,237,,,,,
Unknown,65-79,Unknown,1388,786,553,76,,,,,
Unknown,65-79,White,4055,2161,1835,135,,,,,
Unknown,80+,Asian,121,63,51,7,,,,,
Unknown,80+,Black,112,66,43,10,,,,,
Unknown,80+,Hispanic,844,450,374,46,,,,,
Unknown,80+,Other,1214,740,469,42,,,,,
Unknown,80+,Unknown,417,258,143,21,,,,,
