Gender,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,,,,,,,,,
Female,16-49 years,Asian,37235,25141,12094,,,,,,,,,
Female,16-49 years,Black,24985,17998,6987,,,,,,,,,
Female,16-49 years,Hispanic,71586,51264,20322,,,,,,,,,
Female,16-49 years,White,147279,100597,46682,,,,,,,,,
Female,16-49 years,Other,46065,35431,10634,,,,,,,,,
Female,16-49 years,Unknown,245085,181585,63500,,,,,,,,,
Female,50-64 years,Asian,16379,11999,4380,,,,,,,,,
Female,50-64 years,Black,19116,14313,4803,,,,,,,,,
Female,50-64 years,Hispanic,32054,25053,7001,,,,,,,,,
Female,50-64 years,White,88320,65638,22682,,,,,,,,,
Female,50-64 years,Other,26201,21117,5084,,,,,,,,,
Female,50-64 years,Unknown,149719,118792,30927,,,,,,,,,
Female,65-79 years,Asian,12663,11356,1307,,,,,,,,,
Female,65-79 years,Black,12646,11698,948,,,,,,,,,
Female,65-79 years,Hispanic,20136,18259,1877,,,,,,,,,
Female,65-79 years,White,109116,99174,9942,,,,,,,,,
Female,65-79 years,Other,25571,22206,3365,,,,,,,,,
Female,65-79 years,Unknown,153377,138477,14900,,,,,,,,,
Female,80+ years,Asian,2627,2441,186,,,,,,,,,
Female,80+ years,Black,2652,2582,70,,,,,,,,,
Female,80+ years,Hispanic,4222,3963,259,,,,,,,,,
Female,80+ years,White,31460,29380,2080,,,,,,,,,
Female,80+ years,Other,28455,23247,5208,,,,,,,,,
Female,80+ years,Unknown,55545,49694,5851,,,,,,,,,
Female,Unknown,Asian,16,15,1,,,,,,,,,
Female,Unknown,Black,18,15,3,,,,,,,,,
Female,Unknown,Hispanic,39,35,4,,,,,,,,,
Female,Unknown,White,142,130,12,,,,,,,,,
Female,Unknown,Other,18,15,3,,,,,,,,,
Female,Unknown,Unknown,808,764,44,,,,,,,,,
Male,16-49 years,Asian,24302,16625,7677,,,,,,,,,
Male,16-49 years,Black,10702,7823,2879,,,,,,,,,
Male,16-49 years,Hispanic,37291,27146,10145,,,,,,,,,
Male,16-49 years,White,74516,52164,22352,,,,,,,,,
Male,16-49 years,Other,21888,16736,5152,,,,,,,,,
Male,16-49 years,Unknown,146226,109573,36653,,,,,,,,,
Male,50-64 years,Asian,11548,8739,2809,,,,,,,,,
Male,50-64 years,Black,9914,7786,2128,,,,,,,,,
Male,50-64 years,Hispanic,20466,16388,4078,,,,,,,,,
Male,50-64 years,White,55467,42766,12701,,,,,,,,,
Male,50-64 years,Other,14160,11421,2739,,,,,,,,,
Male,50-64 years,Unknown,99560,80433,19127,,,,,,,,,
Male,65-79 years,Asian,11327,10183,1144,,,,,,,,,
Male,65-79 years,Black,8159,7583,576,,,,,,,,,
Male,65-79 years,Hispanic,15377,13935,1442,,,,,,,,,
Male,65-79 years,White,93849,85010,8839,,,,,,,,,
Male,65-79 years,Other,18189,15898,2291,,,,,,,,,
Male,65-79 years,Unknown,127637,114972,12665,,,,,,,,,
Male,80+ years,Asian,2376,2173,203,,,,,,,,,
Male,80+ years,Black,1435,1373,62,,,,,,,,,
Male,80+ years,Hispanic,2832,2627,205,,,,,,,,,
Male,80+ years,White,26144,24285,1859,,,,,,,,,
Male,80+ years,Other,11425,9502,1923,,,,,,,,,
Male,80+ years,Unknown,36710,33013,3697,,,,,,,,,
Male,Unknown,Asian,18,14,4,,,,,,,,,
Male,Unknown,Black,8,8,0,,,,,,,,,
Male,Unknown,Hispanic,27,27,0,,,,,,,,,
Male,Unknown,White,111,100,11,,,,,,,,,
Male,Unknown,Other,13,11,2,,,,,,,,,
Male,Unknown,Unknown,529,497,32,,,,,,,,,
Unknown,16-49 years,Asian,789,594,195,,,,,,,,,
Unknown,16-49 years,Black,429,352,77,,,,,,,,,
Unknown,16-49 years,Hispanic,1141,913,228,,,,,,,,,
Unknown,16-49 years,White,2395,1876,519,,,,,,,,,
Unknown,16-49 years,Other,1866,1382,484,,,,,,,,,
Unknown,16-49 years,Unknown,3207,2902,305,,,,,,,,,
Unknown,50-64 years,Asian,521,421,100,,,,,,,,,
Unknown,50-64 years,Black,417,373,44,,,,,,,,,
Unknown,50-64 years,Hispanic,477,427,50,,,,,,,,,
Unknown,50-64 years,White,1951,1657,294,,,,,,,,,
Unknown,50-64 years,Other,1047,851,196,,,,,,,,,
Unknown,50-64 years,Unknown,3294,3137,157,,,,,,,,,
Unknown,65-79 years,Asian,1463,1353,110,,,,,,,,,
Unknown,65-79 years,Black,865,827,38,,,,,,,,,
Unknown,65-79 years,Hispanic,958,911,47,,,,,,,,,
Unknown,65-79 years,White,9281,8602,679,,,,,,,,,
Unknown,65-79 years,Other,3723,3455,268,,,,,,,,,
Unknown,65-79 years,Unknown,7434,7310,124,,,,,,,,,
Unknown,80+ years,Asian,251,232,19,,,,,,,,,
Unknown,80+ years,Black,131,128,3,,,,,,,,,
Unknown,80+ years,Hispanic,166,159,7,,,,,,,,,
Unknown,80+ years,White,1654,1549,105,,,,,,,,,
Unknown,80+ years,Other,637,604,33,,,,,,,,,
Unknown,80+ years,Unknown,1064,1048,16,,,,,,,,,
Unknown,Unknown,Asian,1,1,0,,,,,,,,,
Unknown,Unknown,Hispanic,5,5,0,,,,,,,,,
Unknown,Unknown,White,7,7,0,,,,,,,,,
Unknown,Unknown,Other,1,1,0,,,,,,,,,
Unknown,Unknown,Unknown,20,20,0,,,,,,,,,
Texas,Total,Total,2290936,1842287,448649,,,,,,,,,
