Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,,,,,,
Female,12-15 years,Asian,5337,5313,28,,,,,,
Female,12-15 years,Black,3241,3231,10,,,,,,
Female,12-15 years,Hispanic,25614,25504,121,,,,,,
Female,12-15 years,Other,11315,11273,45,,,,,,
Female,12-15 years,Unknown,2073,2054,20,,,,,,
Female,12-15 years,White,17474,17421,55,,,,,,
Female,16-49 years,Asian,465524,264455,213949,,,,,,
Female,16-49 years,Black,391636,232964,174497,,,,,,
Female,16-49 years,Hispanic,1928427,1143921,858858,,,,,,
Female,16-49 years,Other,461799,270798,208840,,,,,,
Female,16-49 years,Unknown,467995,270351,209454,,,,,,
Female,16-49 years,White,1694316,976635,792225,,,,,,
Female,50-64 years,Asian,168905,94104,79995,,,,,,
Female,50-64 years,Black,282444,161250,131813,,,,,,
Female,50-64 years,Hispanic,885016,504513,411489,,,,,,
Female,50-64 years,Other,230675,129937,108451,,,,,,
Female,50-64 years,Unknown,275599,156436,125850,,,,,,
Female,50-64 years,White,1200103,676442,575989,,,,,,
Female,65-79 years,Asian,86704,47096,41414,,,,,,
Female,65-79 years,Black,177385,98327,83969,,,,,,
Female,65-79 years,Hispanic,477194,263166,225570,,,,,,
Female,65-79 years,Other,203482,111818,94804,,,,,,
Female,65-79 years,Unknown,247221,136456,114545,,,,,,
Female,65-79 years,White,1112208,605346,536962,,,,,,
Female,80+ years,Asian,15835,8728,7530,,,,,,
Female,80+ years,Black,37897,21257,17951,,,,,,
Female,80+ years,Hispanic,115567,64557,54000,,,,,,
Female,80+ years,Other,100314,56164,44930,,,,,,
Female,80+ years,Unknown,89364,50412,40011,,,,,,
Female,80+ years,White,314527,172026,151318,,,,,,
Female,Unknown,Asian,81,68,18,,,,,,
Female,Unknown,Black,128,106,33,,,,,,
Female,Unknown,Hispanic,707,590,153,,,,,,
Female,Unknown,Other,134,108,28,,,,,,
Female,Unknown,Unknown,823,715,118,,,,,,
Female,Unknown,White,561,458,141,,,,,,
Male,12-15 years,Asian,5263,5234,29,,,,,,
Male,12-15 years,Black,3260,3251,12,,,,,,
Male,12-15 years,Hispanic,24454,24358,103,,,,,,
Male,12-15 years,Other,11360,11325,38,,,,,,
Male,12-15 years,Unknown,2092,2071,23,,,,,,
Male,12-15 years,White,17409,17359,56,,,,,,
Male,16-49 years,Asian,436943,251106,200050,,,,,,
Male,16-49 years,Black,294357,181525,127231,,,,,,
Male,16-49 years,Hispanic,1581668,962331,692732,,,,,,
Male,16-49 years,Other,393626,239211,174160,,,,,,
Male,16-49 years,Unknown,332619,197520,147263,,,,,,
Male,16-49 years,White,1485064,873516,688821,,,,,,
Male,50-64 years,Asian,154008,86231,72863,,,,,,
Male,50-64 years,Black,219432,129115,100883,,,,,,
Male,50-64 years,Hispanic,757951,440579,348826,,,,,,
Male,50-64 years,Other,186117,107511,86335,,,,,,
Male,50-64 years,Unknown,208674,121174,94101,,,,,,
Male,50-64 years,White,1069648,610352,511597,,,,,,
Male,65-79 years,Asian,73473,39904,35008,,,,,,
Male,65-79 years,Black,116258,65027,55014,,,,,,
Male,65-79 years,Hispanic,368149,204504,173734,,,,,,
Male,65-79 years,Other,161710,89083,75386,,,,,,
Male,65-79 years,Unknown,207198,114611,95996,,,,,,
Male,65-79 years,White,950655,518032,459668,,,,,,
Male,80+ years,Asian,12707,6934,6074,,,,,,
Male,80+ years,Black,17413,9814,8212,,,,,,
Male,80+ years,Hispanic,69464,38752,32558,,,,,,
Male,80+ years,Other,51895,29000,23381,,,,,,
Male,80+ years,Unknown,56261,31648,25343,,,,,,
Male,80+ years,White,226522,123242,109204,,,,,,
Male,Unknown,Asian,78,60,20,,,,,,
Male,Unknown,Black,84,68,25,,,,,,
Male,Unknown,Hispanic,657,546,157,,,,,,
Male,Unknown,Other,100,82,22,,,,,,
Male,Unknown,Unknown,564,488,83,,,,,,
Male,Unknown,White,501,415,118,,,,,,
Unknown,12-15 years,Asian,15,14,1,,,,,,
Unknown,12-15 years,Black,3,3,0,,,,,,
Unknown,12-15 years,Hispanic,15,15,0,,,,,,
Unknown,12-15 years,Other,9,8,1,,,,,,
Unknown,12-15 years,Unknown,9,8,1,,,,,,
Unknown,12-15 years,White,42,42,1,,,,,,
Unknown,16-49 years,Asian,2110,1225,972,,,,,,
Unknown,16-49 years,Black,1600,946,726,,,,,,
Unknown,16-49 years,Hispanic,16948,9528,8307,,,,,,
Unknown,16-49 years,Other,21710,12452,10354,,,,,,
Unknown,16-49 years,Unknown,6663,4251,2736,,,,,,
Unknown,16-49 years,White,14045,7579,6731,,,,,,
Unknown,50-64 years,Asian,1105,620,508,,,,,,
Unknown,50-64 years,Black,1244,713,583,,,,,,
Unknown,50-64 years,Hispanic,14033,7596,6865,,,,,,
Unknown,50-64 years,Other,19863,11003,9678,,,,,,
Unknown,50-64 years,Unknown,3391,2041,1484,,,,,,
Unknown,50-64 years,White,13415,7119,6517,,,,,,
Unknown,65-79 years,Asian,1933,1009,930,,,,,,
Unknown,65-79 years,Black,1619,882,767,,,,,,
Unknown,65-79 years,Hispanic,8320,4521,3952,,,,,,
Unknown,65-79 years,Other,15368,8397,7340,,,,,,
