Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,,,,,,
Female,12-15 years,Asian,20711,15080,5638,,,,,,
Female,12-15 years,Black,13796,10399,3399,,,,,,
Female,12-15 years,Hispanic,99815,72379,27467,,,,,,
Female,12-15 years,Other,44600,31977,12631,,,,,,
Female,12-15 years,Unknown,6964,5267,1699,,,,,,
Female,12-15 years,White,59697,41737,17963,,,,,,
Female,16-49 years,Asian,507675,280614,240569,,,,,,
Female,16-49 years,Black,452483,261610,208077,,,,,,
Female,16-49 years,Hispanic,2206869,1274601,1018875,,,,,,
Female,16-49 years,Other,537908,310698,250533,,,,,,
Female,16-49 years,Unknown,487186,279550,221129,,,,,,
Female,16-49 years,White,1853245,1048629,889438,,,,,,
Female,50-64 years,Asian,178419,97595,86241,,,,,,
Female,50-64 years,Black,305355,170723,145957,,,,,,
Female,50-64 years,Hispanic,952021,531871,453569,,,,,,
Female,50-64 years,Other,251708,140404,120143,,,,,,
Female,50-64 years,Unknown,278869,157118,129080,,,,,,
Female,50-64 years,White,1264311,702425,618889,,,,,,
Female,65-79 years,Asian,89343,48115,43104,,,,,,
Female,65-79 years,Black,186172,101901,89457,,,,,,
Female,65-79 years,Hispanic,498108,271454,238832,,,,,,
Female,65-79 years,Other,214240,117078,100647,,,,,,
Female,65-79 years,Unknown,244157,134092,114076,,,,,,
Female,65-79 years,White,1144218,618594,558016,,,,,,
Female,80+ years,Asian,16330,8923,7848,,,,,,
Female,80+ years,Black,39740,22031,19110,,,,,,
Female,80+ years,Hispanic,120354,66471,57011,,,,,,
Female,80+ years,Other,103066,57463,46461,,,,,,
Female,80+ years,Unknown,89121,50122,40144,,,,,,
Female,80+ years,White,323911,175802,157595,,,,,,
Female,Unknown,Asian,87,71,22,,,,,,
Female,Unknown,Black,138,113,36,,,,,,
Female,Unknown,Hispanic,793,643,187,,,,,,
Female,Unknown,Other,158,125,36,,,,,,
Female,Unknown,Unknown,839,723,126,,,,,,
Female,Unknown,White,598,484,153,,,,,,
Male,12-15 years,Asian,20977,15341,5637,,,,,,
Male,12-15 years,Black,13592,10146,3451,,,,,,
Male,12-15 years,Hispanic,94657,68574,26102,,,,,,
Male,12-15 years,Other,44091,31543,12556,,,,,,
Male,12-15 years,Unknown,7053,5349,1708,,,,,,
Male,12-15 years,White,59092,41418,17683,,,,,,
Male,16-49 years,Asian,482296,269818,230413,,,,,,
Male,16-49 years,Black,351439,207624,161431,,,,,,
Male,16-49 years,Hispanic,1849989,1091088,849431,,,,,,
Male,16-49 years,Other,479135,282887,225324,,,,,,
Male,16-49 years,Unknown,354139,208993,160598,,,,,,
Male,16-49 years,White,1655085,950756,798990,,,,,,
Male,50-64 years,Asian,163210,89638,79265,,,,,,
Male,50-64 years,Black,243405,138872,116806,,,,,,
Male,50-64 years,Hispanic,831553,471336,395385,,,,,,
Male,50-64 years,Other,210802,119452,101338,,,,,,
Male,50-64 years,Unknown,213710,122913,98468,,,,,,
Male,50-64 years,White,1141283,640298,561378,,,,,,
Male,65-79 years,Asian,75542,40650,36390,,,,,,
Male,65-79 years,Black,122993,67921,59355,,,,,,
Male,65-79 years,Hispanic,386437,211725,185587,,,,,,
Male,65-79 years,Other,171170,93706,80805,,,,,,
Male,65-79 years,Unknown,205377,113042,96091,,,,,,
Male,65-79 years,White,979479,530162,479323,,,,,,
Male,80+ years,Asian,13069,7085,6293,,,,,,
Male,80+ years,Black,18249,10165,8739,,,,,,
Male,80+ years,Hispanic,72317,39912,34377,,,,,,
Male,80+ years,Other,53524,29752,24327,,,,,,
Male,80+ years,Unknown,55816,31324,25279,,,,,,
Male,80+ years,White,232410,125630,113199,,,,,,
Male,Unknown,Asian,84,65,22,,,,,,
Male,Unknown,Black,99,78,30,,,,,,
Male,Unknown,Hispanic,745,599,193,,,,,,
Male,Unknown,Other,131,108,33,,,,,,
Male,Unknown,Unknown,587,506,89,,,,,,
Male,Unknown,White,546,450,131,,,,,,
Unknown,12-15 years,Asian,45,33,12,,,,,,
Unknown,12-15 years,Black,15,14,1,,,,,,
Unknown,12-15 years,Hispanic,67,56,11,,,,,,
Unknown,12-15 years,Other,39,32,7,,,,,,
Unknown,12-15 years,Unknown,63,55,8,,,,,,
Unknown,12-15 years,White,99,77,23,,,,,,
Unknown,16-49 years,Asian,2216,1257,1051,,,,,,
Unknown,16-49 years,Black,1753,1020,832,,,,,,
Unknown,16-49 years,Hispanic,17769,10006,8830,,,,,,
Unknown,16-49 years,Other,22169,12768,10543,,,,,,
Unknown,16-49 years,Unknown,7130,4427,3078,,,,,,
Unknown,16-49 years,White,14266,7639,6935,,,,,,
Unknown,50-64 years,Asian,1124,621,528,,,,,,
Unknown,50-64 years,Black,1295,734,617,,,,,,
Unknown,50-64 years,Hispanic,14253,7685,7025,,,,,,
Unknown,50-64 years,Other,19664,10869,9611,,,,,,
Unknown,50-64 years,Unknown,3202,1915,1427,,,,,,
Unknown,50-64 years,White,13330,7052,6530,,,,,,
Unknown,65-79 years,Asian,1899,989,915,,,,,,
Unknown,65-79 years,Black,1607,870,768,,,,,,
Unknown,65-79 years,Hispanic,8266,4471,3955,,,,,,
Unknown,65-79 years,Other,15121,8249,7241,,,,,,
Unknown,65-79 years,Unknown,2677,1545,1162,,,,,,
Unknown,65-79 years,White,16140,8432,7820,,,,,,
Unknown,80+ years,Asian,341,180,162,,,,,,
Unknown,80+ years,Black,270,150,127,,,,,,
Unknown,80+ years,Hispanic,1508,827,715,,,,,,
Unknown,80+ years,Other,3076,1737,1402,,,,,,
Unknown,80+ years,Unknown,703,430,284,,,,,,
Unknown,80+ years,White,3196,1683,1548,,,,,,
Unknown,Unknown,Asian,1,1,0,,,,,,
Unknown,Unknown,Hispanic,7,7,1,,,,,,
Unknown,Unknown,Other,80,75,7,,,,,,
Unknown,Unknown,Unknown,14,12,3,,,,,,
Unknown,Unknown,White,11,11,0,,,,,,
Grand Total,Total,Total,23370504,13271737,11003564,,,,,,
