Gender,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated
Female,16-49 years,Asian,84075,53199,30879
Female,16-49 years,Black,62246,40060,22189
Female,16-49 years,Hispanic,260443,173962,86522
Female,16-49 years,White,350205,223179,127035
Female,16-49 years,Other,105466,66985,38481
Female,16-49 years,Unknown,345971,204128,141844
Female,50-64 years,Asian,47437,31016,16421
Female,50-64 years,Black,61468,41424,20048
Female,50-64 years,Hispanic,173066,119364,53720
Female,50-64 years,White,302036,202161,99884
Female,50-64 years,Other,71304,46349,24959
Female,50-64 years,Unknown,226976,135564,91418
Female,65-79 years,Asian,55135,34349,20789
Female,65-79 years,Black,68447,44923,23525
Female,65-79 years,Hispanic,166811,112572,54252
Female,65-79 years,White,536477,346582,189914
Female,65-79 years,Other,85788,54761,31032
Female,65-79 years,Unknown,246780,149838,96955
Female,80+ years,Asian,11504,7088,4416
Female,80+ years,Black,14694,9739,4957
Female,80+ years,Hispanic,42343,29037,13307
Female,80+ years,White,153817,99646,54177
Female,80+ years,Other,60706,38495,22211
Female,80+ years,Unknown,88478,55299,33181
Female,Unknown,Asian,33,28,5
Female,Unknown,Black,42,33,9
Female,Unknown,Hispanic,263,225,38
Female,Unknown,White,299,259,40
Female,Unknown,Other,41,36,5
Female,Unknown,Unknown,949,816,133
Male,16-49 years,Asian,61647,40151,21496
Male,16-49 years,Black,31509,21155,10357
Male,16-49 years,Hispanic,165333,113892,51469
Male,16-49 years,White,212712,141135,71580
Male,16-49 years,Other,57320,37482,19840
Male,16-49 years,Unknown,213166,127059,86107
Male,50-64 years,Asian,38310,25518,12792
Male,50-64 years,Black,38411,26661,11752
Male,50-64 years,Hispanic,123746,87107,36662
Male,50-64 years,White,221313,151834,69491
Male,50-64 years,Other,43367,28703,14665
Male,50-64 years,Unknown,155898,94305,61603
Male,65-79 years,Asian,48506,30225,18281
Male,65-79 years,Black,44704,29503,15203
Male,65-79 years,Hispanic,125240,84471,40776
Male,65-79 years,White,460387,296921,163486
Male,65-79 years,Other,65080,41486,23596
Male,65-79 years,Unknown,205227,124159,81078
Male,80+ years,Asian,9761,5903,3859
Male,80+ years,Black,7310,4757,2554
Male,80+ years,Hispanic,25881,17637,8245
Male,80+ years,White,118886,75691,43200
Male,80+ years,Other,27337,17347,9990
Male,80+ years,Unknown,56930,35351,21582
Male,Unknown,Asian,47,37,10
Male,Unknown,Black,35,31,4
Male,Unknown,Hispanic,196,165,31
Male,Unknown,White,244,217,27
Male,Unknown,Other,50,41,9
Male,Unknown,Unknown,646,563,83
Unknown,16-49 years,Asian,1081,654,427
Unknown,16-49 years,Black,635,387,248
Unknown,16-49 years,Hispanic,1621,1002,619
Unknown,16-49 years,White,3417,2215,1202
Unknown,16-49 years,Other,3101,2094,1007
Unknown,16-49 years,Unknown,15156,10566,4590
Unknown,50-64 years,Asian,700,402,298
Unknown,50-64 years,Black,710,428,282
Unknown,50-64 years,Hispanic,830,543,287
Unknown,50-64 years,White,3537,2485,1052
Unknown,50-64 years,Other,3291,2627,664
Unknown,50-64 years,Unknown,15498,10836,4662
Unknown,65-79 years,Asian,1927,1037,890
Unknown,65-79 years,Black,1346,762,584
Unknown,65-79 years,Hispanic,1765,1068,697
Unknown,65-79 years,White,13284,7521,5763
Unknown,65-79 years,Other,7365,4792,2573
Unknown,65-79 years,Unknown,24592,16859,7733
Unknown,80+ years,Asian,328,182,146
Unknown,80+ years,Black,209,118,91
Unknown,80+ years,Hispanic,353,227,126
Unknown,80+ years,White,2576,1462,1114
Unknown,80+ years,Other,1313,860,453
Unknown,80+ years,Unknown,5117,4019,1098
Unknown,Unknown,Asian,1,1,0
Unknown,Unknown,Black,1,1,0
Unknown,Unknown,Hispanic,5,5,0
Unknown,Unknown,White,10,10,0
Unknown,Unknown,Other,5,5,0
Unknown,Unknown,Unknown,54,44,10
Texas,Total,Total,6292327,4053836,2238790
