Gender ,Agegrp,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with Booster Doses,,,,,
Female,2022-05-11 00:00:00,Asian,53542,29245,24241,56,,,,,
Female,2022-05-11 00:00:00,Black,41851,23694,18123,35,,,,,
Female,2022-05-11 00:00:00,Hispanic,416470,256839,159194,457,,,,,
Female,2022-05-11 00:00:00,Other,157156,88022,68940,200,,,,,
Female,2022-05-11 00:00:00,Unknown,30404,19252,11140,14,,,,,
Female,2022-05-11 00:00:00,White,129669,72696,56839,141,,,,,
Female,2022-12-15 00:00:00,Asian,51524,24802,21910,4820,,,,,
Female,2022-12-15 00:00:00,Black,72560,37881,31423,3260,,,,,
Female,2022-12-15 00:00:00,Hispanic,552576,299232,226881,26592,,,,,
Female,2022-12-15 00:00:00,Other,240714,120031,103660,17039,,,,,
Female,2022-12-15 00:00:00,Unknown,22440,13486,8366,590,,,,,
Female,2022-12-15 00:00:00,White,195367,99194,83637,12565,,,,,
Female,16-49,Asian,709651,320403,277850,125681,,,,,
Female,16-49,Black,928712,458813,388754,103951,,,,,
Female,16-49,Hispanic,4234337,2133010,1760879,486577,,,,,
Female,16-49,Other,1726353,802138,702050,273155,,,,,
Female,16-49,Unknown,447643,250019,180164,33119,,,,,
Female,16-49,White,3011693,1455966,1262434,409243,,,,,
Female,50-64,Asian,234398,102120,89149,48554,,,,,
Female,50-64,Black,483162,211294,190428,94175,,,,,
Female,50-64,Hispanic,1544608,701888,599687,283768,,,,,
Female,50-64,Other,946856,393713,360777,214713,,,,,
Female,50-64,Unknown,197843,104990,76663,23009,,,,,
Female,50-64,White,1794749,804710,724515,335203,,,,,
Female,65-79,Asian,113662,48427,41318,25777,,,,,
Female,65-79,Black,265471,108618,99204,63084,,,,,
Female,65-79,Hispanic,800091,342905,293808,177492,,,,,
Female,65-79,Other,878353,337742,315886,235025,,,,,
Female,65-79,Unknown,122697,64038,45847,15895,,,,,
Female,65-79,White,1530611,636409,579106,351633,,,,,
Female,80+,Asian,21264,9162,7788,4747,,,,,
Female,80+,Black,57748,24200,21686,13344,,,,,
Female,80+,Hispanic,195110,84941,71935,41848,,,,,
Female,80+,Other,287895,112151,103808,74425,,,,,
Female,80+,Unknown,44969,23888,16812,5157,,,,,
Female,80+,White,455561,188601,170783,106534,,,,,
Female,Unknown,Asian,126,94,37,,,,,,
Female,Unknown,Black,187,150,44,6,,,,,
Female,Unknown,Hispanic,1334,1131,266,6,,,,,
Female,Unknown,Other,223,180,46,0,,,,,
Female,Unknown,Unknown,807,702,117,,,,,,
Female,Unknown,White,740,580,195,10,,,,,
Male,2022-05-11 00:00:00,Asian,56201,30764,25381,57,,,,,
Male,2022-05-11 00:00:00,Black,42317,24024,18257,36,,,,,
Male,2022-05-11 00:00:00,Hispanic,419079,258606,160057,440,,,,,
Male,2022-05-11 00:00:00,Other,160235,89891,70112,238,,,,,
Male,2022-05-11 00:00:00,Unknown,31611,20051,11542,20,,,,,
Male,2022-05-11 00:00:00,White,134971,75552,59288,138,,,,,
Male,2022-12-15 00:00:00,Asian,52702,25478,22493,4734,,,,,
Male,2022-12-15 00:00:00,Black,71428,37358,30811,3266,,,,,
Male,2022-12-15 00:00:00,Hispanic,547112,299235,222637,25349,,,,,
Male,2022-12-15 00:00:00,Other,241194,120685,103740,16795,,,,,
Male,2022-12-15 00:00:00,Unknown,23162,14045,8601,525,,,,,
Male,2022-12-15 00:00:00,White,196950,100718,84131,12131,,,,,
Male,16-49,Asian,690596,328052,282810,115631,,,,,
Male,16-49,Black,739797,377408,313714,76765,,,,,
Male,16-49,Hispanic,3753220,1975598,1589384,365393,,,,,
Male,16-49,Other,1535804,744764,637435,221685,,,,,
Male,16-49,Unknown,394639,234097,162238,22907,,,,,
Male,16-49,White,2738511,1365982,1172730,347463,,,,,
Male,50-64,Asian,216633,94720,83931,45821,,,,,
Male,50-64,Black,403349,183135,161429,74111,,,,,
Male,50-64,Hispanic,1393568,646506,553686,239238,,,,,
Male,50-64,Other,783459,334457,303239,169846,,,,,
Male,50-64,Unknown,174052,96116,69199,17464,,,,,
Male,50-64,White,1671025,768762,684977,297597,,,,,
Male,65-79,Asian,96822,40927,34918,22444,,,,,
Male,65-79,Black,182471,76593,67968,42721,,,,,
Male,65-79,Hispanic,633938,271417,233551,142116,,,,,
Male,65-79,Other,691947,268147,248450,184426,,,,,
Male,65-79,Unknown,110358,58060,41188,14263,,,,,
Male,65-79,White,1335857,562543,505603,303234,,,,,
Male,80+,Asian,16955,7112,6142,4005,,,,,
Male,80+,Black,26538,11354,9765,6131,,,,,
Male,80+,Hispanic,117760,50912,42970,26211,,,,,
