Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,,,,,,
Female,12-15 years,Asian,32447,18552,13902,,,,,,
Female,12-15 years,Black,23453,14188,9267,,,,,,
Female,12-15 years,Hispanic,162675,97289,65420,,,,,,
Female,12-15 years,Other,74056,43593,30472,,,,,,
Female,12-15 years,Unknown,9563,6088,3477,,,,,,
Female,12-15 years,White,88737,51442,37300,,,,,,
Female,16-49 years,Asian,532683,289464,257124,,,,,,
Female,16-49 years,Black,498405,281372,235260,,,,,,
Female,16-49 years,Hispanic,2426673,1373818,1148341,,,,,,
Female,16-49 years,Other,610186,345897,290955,,,,,,
Female,16-49 years,Unknown,498367,283420,229833,,,,,,
Female,16-49 years,White,1963994,1095134,959523,,,,,,
Female,50-64 years,Asian,183686,99431,89791,,,,,,
Female,50-64 years,Black,321141,177106,155809,,,,,,
Female,50-64 years,Hispanic,1002220,552950,484123,,,,,,
Female,50-64 years,Other,275483,151693,133278,,,,,,
Female,50-64 years,Unknown,280523,156819,131503,,,,,,
Female,50-64 years,White,1308735,720795,647801,,,,,,
Female,65-79 years,Asian,90736,48572,44088,,,,,,
Female,65-79 years,Black,192310,104248,93410,,,,,,
Female,65-79 years,Hispanic,516218,279237,249598,,,,,,
Female,65-79 years,Other,229465,123442,109766,,,,,,
Female,65-79 years,Unknown,241841,131952,114061,,,,,,
Female,65-79 years,White,1170090,628392,575441,,,,,,
Female,80+ years,Asian,16633,9042,8039,,,,,,
Female,80+ years,Black,40975,22510,19914,,,,,,
Female,80+ years,Hispanic,124544,68307,59479,,,,,,
Female,80+ years,Other,113535,61416,53018,,,,,,
Female,80+ years,Unknown,89587,49433,41340,,,,,,
Female,80+ years,White,330745,178413,162210,,,,,,
Female,Unknown,Asian,96,76,26,,,,,,
Female,Unknown,Black,153,122,41,,,,,,
Female,Unknown,Hispanic,865,689,215,,,,,,
Female,Unknown,Other,172,131,44,,,,,,
Female,Unknown,Unknown,844,728,127,,,,,,
Female,Unknown,White,620,500,159,,,,,,
Male,12-15 years,Asian,32957,18847,14111,,,,,,
Male,12-15 years,Black,22718,13695,9030,,,,,,
Male,12-15 years,Hispanic,153883,92407,61500,,,,,,
Male,12-15 years,Other,72403,42434,29978,,,,,,
Male,12-15 years,Unknown,9832,6254,3582,,,,,,
Male,12-15 years,White,87247,50577,36681,,,,,,
Male,16-49 years,Asian,508863,280776,249019,,,,,,
Male,16-49 years,Black,391902,225525,185886,,,,,,
Male,16-49 years,Hispanic,2058084,1188389,973851,,,,,,
Male,16-49 years,Other,548084,317375,265224,,,,,,
Male,16-49 years,Unknown,367331,215311,170109,,,,,,
Male,16-49 years,White,1766211,999077,871057,,,,,,
Male,50-64 years,Asian,168028,91481,82674,,,,,,
Male,50-64 years,Black,258692,145191,126668,,,,,,
Male,50-64 years,Hispanic,883847,493058,428314,,,,,,
Male,50-64 years,Other,232116,129699,113375,,,,,,
Male,50-64 years,Unknown,216902,123628,101711,,,,,,
Male,50-64 years,White,1187106,659464,592032,,,,,,
Male,65-79 years,Asian,76679,41016,37192,,,,,,
Male,65-79 years,Black,127372,69644,62249,,,,,,
Male,65-79 years,Hispanic,401028,217843,194590,,,,,,
Male,65-79 years,Other,182427,98415,87583,,,,,,
Male,65-79 years,Unknown,203872,111594,96248,,,,,,
Male,65-79 years,White,1001397,538659,494276,,,,,,
Male,80+ years,Asian,13236,7137,6417,,,,,,
Male,80+ years,Black,18757,10367,9075,,,,,,
Male,80+ years,Hispanic,74719,40952,35809,,,,,,
Male,80+ years,Other,58199,31539,27252,,,,,,
Male,80+ years,Unknown,55866,30921,25772,,,,,,
Male,80+ years,White,236875,127385,116194,,,,,,
Male,Unknown,Asian,89,67,25,,,,,,
Male,Unknown,Black,111,84,37,,,,,,
