Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with Booster Doses,,,,,
Female,2022-05-11 00:00:00,Asian,42481,25257,17206,18,,,,,
Female,2022-05-11 00:00:00,Black,27720,18103,9610,8,,,,,
Female,2022-05-11 00:00:00,Hispanic,234913,154751,80102,84,,,,,
Female,2022-05-11 00:00:00,Other,112068,69180,42814,86,,,,,
Female,2022-05-11 00:00:00,Unknown,21518,15048,6465,6,,,,,
Female,2022-05-11 00:00:00,White,99597,60105,39448,59,,,,,
Female,2022-12-15 00:00:00,Asian,46402,24264,21264,882,,,,,
Female,2022-12-15 00:00:00,Black,66053,36197,29220,640,,,,,
Female,2022-12-15 00:00:00,Hispanic,466465,259144,202312,5086,,,,,
Female,2022-12-15 00:00:00,Other,216216,114657,97268,4306,,,,,
Female,2022-12-15 00:00:00,Unknown,21126,12875,8053,199,,,,,
Female,2022-12-15 00:00:00,White,181064,96894,80647,3549,,,,,
Female,16-49,Asian,677755,314871,275448,101644,,,,,
Female,16-49,Black,865174,441287,370284,75815,,,,,
Female,16-49,Hispanic,3896435,2009005,1683173,343716,,,,,
Female,16-49,Other,1607142,766270,670036,219770,,,,,
Female,16-49,Unknown,449173,250999,187108,26845,,,,,
Female,16-49,White,2882730,1425431,1234410,336694,,,,,
Female,50-64,Asian,225865,100458,88762,42067,,,,,
Female,50-64,Black,461251,208977,187325,77641,,,,,
Female,50-64,Hispanic,1440152,670851,582837,225987,,,,,
Female,50-64,Other,891540,378798,347281,186945,,,,,
Female,50-64,Unknown,201746,107552,81303,19961,,,,,
Female,50-64,White,1737103,797009,716939,292161,,,,,
Female,65-79,Asian,110195,47561,41075,23422,,,,,
Female,65-79,Black,256604,108135,98450,55469,,,,,
Female,65-79,Hispanic,757702,331506,287232,152728,,,,,
Female,65-79,Other,841844,328578,306890,216249,,,,,
Female,65-79,Unknown,127032,66536,48892,14858,,,,,
Female,65-79,White,1494808,633104,575761,322284,,,,,
Female,80+,Asian,20717,9070,7759,4321,,,,,
Female,80+,Black,55763,24033,21511,11706,,,,,
Female,80+,Hispanic,184728,82166,70223,35870,,,,,
Female,80+,Other,278408,110182,101726,68896,,,,,
Female,80+,Unknown,46158,24585,17692,4821,,,,,
Female,80+,White,444582,187558,169735,97586,,,,,
Female,Unknown,Asian,111,86,31,0,,,,,
Female,Unknown,Black,173,141,42,,,,,,
Female,Unknown,Hispanic,1032,856,237,,,,,,
Female,Unknown,Other,192,153,42,0,,,,,
Female,Unknown,Unknown,802,696,118,,,,,,
Female,Unknown,White,700,558,180,6,,,,,
Male,2022-05-11 00:00:00,Asian,44755,26640,18090,25,,,,,
Male,2022-05-11 00:00:00,Black,27995,18353,9632,15,,,,,
Male,2022-05-11 00:00:00,Hispanic,237780,156693,81021,91,,,,,
Male,2022-05-11 00:00:00,Other,114555,70725,43768,75,,,,,
Male,2022-05-11 00:00:00,Unknown,22365,15716,6644,8,,,,,
Male,2022-05-11 00:00:00,White,103784,62509,41224,72,,,,,
Male,2022-12-15 00:00:00,Asian,47780,25000,21914,869,,,,,
Male,2022-12-15 00:00:00,Black,65209,35811,28740,666,,,,,
Male,2022-12-15 00:00:00,Hispanic,461868,258800,198179,4955,,,,,
Male,2022-12-15 00:00:00,Other,217204,115347,97546,4335,,,,,
Male,2022-12-15 00:00:00,Unknown,21915,13477,8285,159,,,,,
Male,2022-12-15 00:00:00,White,182607,98299,80992,3343,,,,,
Male,16-49,Asian,657087,318850,278508,93515,,,,,
Male,16-49,Black,692217,364028,299887,55730,,,,,
Male,16-49,Hispanic,3472005,1866020,1519523,255537,,,,,
Male,16-49,Other,1430598,710536,608143,176686,,,,,
Male,16-49,Unknown,386289,228346,163833,18019,,,,,
Male,16-49,White,2625285,1336988,1147883,284896,,,,,
Male,50-64,Asian,208992,93319,83357,39887,,,,,
Male,50-64,Black,384507,180846,158694,60242,,,,,
Male,50-64,Hispanic,1299667,620665,537665,185887,,,,,
Male,50-64,Other,735818,321144,291383,146411,,,,,
Male,50-64,Unknown,175261,97316,72070,14740,,,,,
Male,50-64,White,1617581,760821,677550,258652,,,,,
Male,65-79,Asian,93994,40180,34745,20546,,,,,
Male,65-79,Black,176299,76067,67275,37752,,,,,
Male,65-79,Hispanic,599992,263005,227935,121916,,,,,
Male,65-79,Other,664432,261252,241667,170242,,,,,
Male,65-79,Unknown,113960,60155,43728,13346,,,,,
Male,65-79,White,1304874,558772,502073,279320,,,,,
Male,80+,Asian,16524,7037,6101,3693,,,,,
Male,80+,Black,25747,11276,9690,5492,,,,,
Male,80+,Hispanic,111684,49315,41953,22700,,,,,
Male,80+,Other,167442,65588,59934,43484,,,,,
Male,80+,Unknown,30759,16548,11416,3393,,,,,
Male,80+,White,317369,133606,118790,72056,,,,,
Male,Unknown,Asian,114,88,30,0,,,,,
Male,Unknown,Black,126,102,32,,,,,,
Male,Unknown,Hispanic,977,816,232,,,,,,
Male,Unknown,Other,181,143,51,,,,,,
Male,Unknown,Unknown,560,486,83,0,,,,,
Male,Unknown,White,637,508,167,,,,,,
Unknown,2022-05-11 00:00:00,Asian,30,21,9,0,,,,,
Unknown,2022-05-11 00:00:00,Black,7,5,2,0,,,,,
Unknown,2022-05-11 00:00:00,Hispanic,102,74,29,0,,,,,
Unknown,2022-05-11 00:00:00,Other,64,51,13,0,,,,,
Unknown,2022-05-11 00:00:00,Unknown,111,85,25,,,,,,
Unknown,2022-05-11 00:00:00,White,38,29,9,0,,,,,
Unknown,2022-12-15 00:00:00,Asian,43,25,18,0,,,,,
Unknown,2022-12-15 00:00:00,Black,34,21,13,0,,,,,
Unknown,2022-12-15 00:00:00,Hispanic,179,129,52,0,,,,,
Unknown,2022-12-15 00:00:00,Other,96,65,31,0,,,,,
Unknown,2022-12-15 00:00:00,Unknown,85,59,26,0,,,,,
Unknown,2022-12-15 00:00:00,White,121,76,46,0,,,,,
Unknown,16-49,Asian,1553,875,689,88,,,,,
Unknown,16-49,Black,1668,954,762,53,,,,,
Unknown,16-49,Hispanic,13403,8062,7017,373,,,,,
Unknown,16-49,Other,11764,7104,5214,333,,,,,
Unknown,16-49,Unknown,6088,3766,2489,161,,,,,
Unknown,16-49,White,8175,4520,3802,219,,,,,
Unknown,50-64,Asian,677,355,294,54,,,,,
Unknown,50-64,Black,763,409,340,58,,,,,
Unknown,50-64,Hispanic,7108,3794,3369,329,,,,,
Unknown,50-64,Other,7636,4372,3398,320,,,,,
Unknown,50-64,Unknown,2075,1211,870,122,,,,,
Unknown,50-64,White,4685,2525,2169,158,,,,,
Unknown,65-79,Asian,532,257,218,62,,,,,
Unknown,65-79,Black,507,266,221,42,,,,,
Unknown,65-79,Hispanic,3561,1891,1588,202,,,,,
Unknown,65-79,Other,4563,2586,1916,252,,,,,
Unknown,65-79,Unknown,1320,740,515,90,,,,,
Unknown,65-79,White,3640,1941,1631,143,,,,,
Unknown,80+,Asian,115,60,48,7,,,,,
Unknown,80+,Black,113,64,43,13,,,,,
Unknown,80+,Hispanic,790,421,347,47,,,,,
Unknown,80+,Other,1110,685,415,46,,,,,
Unknown,80+,Unknown,407,251,140,21,,,,,
Unknown,80+,White,974,534,415,50,,,,,
Unknown,Unknown,Asian,1,1,0,0,,,,,
Unknown,Unknown,Hispanic,7,7,1,0,,,,,
Unknown,Unknown,Other,75,70,6,0,,,,,
Unknown,Unknown,Unknown,15,14,2,0,,,,,
Unknown,Unknown,White,18,17,1,0,,,,,
Grand Total,Total,Total,40436288,19703072,16685537,5374402,,,,,
