Gender ,Agegrp_v2,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with at least One Booster Doses,,,,,
Female, 6mo-4yr,Asian,3855,2976,294,0,,,,,
Female, 6mo-4yr,Black,1792,1412,81,0,,,,,
Female, 6mo-4yr,Hispanic,14816,12462,577,0,,,,,
Female, 6mo-4yr,Other,1969,1574,133,0,,,,,
Female, 6mo-4yr,Unknown,1131,1036,42,0,,,,,
Female, 6mo-4yr,White,10744,8292,1070,0,,,,,
Female,2022-05-11 00:00:00,Asian,61257,31886,26613,2741,,,,,
Female,2022-05-11 00:00:00,Black,48284,26477,20415,1385,,,,,
Female,2022-05-11 00:00:00,Hispanic,523962,315691,195323,12811,,,,,
Female,2022-05-11 00:00:00,Other,182064,96584,76797,8627,,,,,
Female,2022-05-11 00:00:00,Unknown,33794,21449,11864,476,,,,,
Female,2022-05-11 00:00:00,White,148423,78830,62545,6995,,,,,
Female,2022-12-15 00:00:00,Asian,54232,25171,22227,6785,,,,,
Female,2022-12-15 00:00:00,Black,75884,38785,32176,4878,,,,,
Female,2022-12-15 00:00:00,Hispanic,606824,324917,242201,39480,,,,,
Female,2022-12-15 00:00:00,Other,253852,123056,106569,23961,,,,,
Female,2022-12-15 00:00:00,Unknown,23332,14121,8329,878,,,,,
Female,2022-12-15 00:00:00,White,203472,100781,85257,17299,,,,,
Female,16-49,Asian,726488,323204,278843,135187,,,,,
Female,16-49,Black,966301,470258,398706,116690,,,,,
Female,16-49,Hispanic,4431995,2216863,1802123,546465,,,,,
Female,16-49,Other,1813847,827339,722565,301614,,,,,
Female,16-49,Unknown,459049,264942,175124,34200,,,,,
Female,16-49,White,3091872,1475215,1276730,440997,,,,,
Female,50-64,Asian,248454,103225,89314,52108,,,,,
Female,50-64,Black,511124,212010,191607,102179,,,,,
Female,50-64,Hispanic,1667005,725550,615053,314264,,,,,
Female,50-64,Other,1069447,409882,376638,239911,,,,,
Female,50-64,Unknown,190829,101526,71674,21984,,,,,
Female,50-64,White,1905639,810270,730080,360779,,,,,
Female,65-79,Asian,124864,49410,41617,27566,,,,,
Female,65-79,Black,289081,107982,99096,67694,,,,,
Female,65-79,Hispanic,894892,355424,303579,195424,,,,,
Female,65-79,Other,1050271,352922,332424,263557,,,,,
Female,65-79,Unknown,115934,59992,41673,14558,,,,,
Female,65-79,White,1682294,639716,583881,376240,,,,,
Female,80+,Asian,23557,9347,7897,5144,,,,,
Female,80+,Black,62593,24172,21718,14250,,,,,
Female,80+,Hispanic,218470,88172,74538,46633,,,,,
Female,80+,Other,337838,115593,107848,83504,,,,,
Female,80+,Unknown,43594,22807,15724,4919,,,,,
Female,80+,White,501137,189763,172353,114484,,,,,
Female,Unknown,Asian,68,54,14,0,,,,,
Female,Unknown,Black,134,108,26,0,,,,,
Female,Unknown,Hispanic,767,651,115,,,,,,
Female,Unknown,Other,143,115,28,0,,,,,
Female,Unknown,Unknown,693,608,85,0,,,,,
Female,Unknown,White,501,401,100,0,,,,,
Male, 6mo-4yr,Asian,3886,3036,283,0,,,,,
Male, 6mo-4yr,Black,1756,1387,87,0,,,,,
Male, 6mo-4yr,Hispanic,14752,12389,517,0,,,,,
Male, 6mo-4yr,Other,2181,1702,177,0,,,,,
Male, 6mo-4yr,Unknown,1096,1011,31,0,,,,,
Male, 6mo-4yr,White,11175,8623,1134,0,,,,,
Male,2022-05-11 00:00:00,Asian,64413,33534,27977,2868,,,,,
Male,2022-05-11 00:00:00,Black,48695,26802,20540,1337,,,,,
Male,2022-05-11 00:00:00,Hispanic,528415,318943,196273,13050,,,,,
Male,2022-05-11 00:00:00,Other,185120,98261,78009,8779,,,,,
Male,2022-05-11 00:00:00,Unknown,34806,22139,12204,460,,,,,
Male,2022-05-11 00:00:00,White,154963,82253,65206,7436,,,,,
Male,2022-12-15 00:00:00,Asian,55389,25816,22816,6713,,,,,
Male,2022-12-15 00:00:00,Black,74804,38306,31655,4798,,,,,
Male,2022-12-15 00:00:00,Hispanic,603005,326978,237930,37868,,,,,
Male,2022-12-15 00:00:00,Other,254233,123748,106733,23467,,,,,
Male,2022-12-15 00:00:00,Unknown,24322,14855,8639,832,,,,,
Male,2022-12-15 00:00:00,White,204879,102263,85669,16817,,,,,
Male,16-49,Asian,707608,333238,284476,123676,,,,,
Male,16-49,Black,766230,385463,320431,86002,,,,,
Male,16-49,Hispanic,3910337,2047357,1623354,409361,,,,,
Male,16-49,Other,1607538,767255,654671,244172,,,,,
Male,16-49,Unknown,425552,264993,161048,24221,,,,,
Male,16-49,White,2803900,1383046,1185392,373076,,,,,
Male,50-64,Asian,229172,95465,84060,48992,,,,,
Male,50-64,Black,425438,183986,162545,80293,,,,,
Male,50-64,Hispanic,1490588,664639,566317,264693,,,,,
Male,50-64,Other,881691,348080,316598,190227,,,,,
Male,50-64,Unknown,170608,94524,65914,17055,,,,,
Male,50-64,White,1769842,774654,691023,320038,,,,,
Male,65-79,Asian,106767,41634,35175,23902,,,,,
Male,65-79,Black,199280,76539,68430,45725,,,,,
Male,65-79,Hispanic,709105,280987,242005,156245,,,,,
Male,65-79,Other,828056,280599,262600,206381,,,,,
Male,65-79,Unknown,104131,54124,37635,13057,,,,,
Male,65-79,White,1469728,567153,512460,324107,,,,,
Male,80+,Asian,19056,7237,6180,4350,,,,,
Male,80+,Black,28972,11370,9864,6496,,,,,
Male,80+,Hispanic,132878,52955,44828,29027,,,,,
Male,80+,Other,207933,69343,64488,52343,,,,,
Male,80+,Unknown,28860,15282,10158,3298,,,,,
Male,80+,White,361283,135733,121680,83229,,,,,
Male,Unknown,Asian,62,47,15,0,,,,,
Male,Unknown,Black,97,78,19,0,,,,,
Male,Unknown,Hispanic,715,609,106,0,,,,,
Male,Unknown,Other,116,92,24,0,,,,,
Male,Unknown,Unknown,493,434,59,0,,,,,
Male,Unknown,White,423,347,76,0,,,,,
Unknown, 6mo-4yr,Asian,1,1,,0,,,,,
Unknown, 6mo-4yr,Hispanic,4,4,,0,,,,,
Unknown, 6mo-4yr,Other,9,8,,0,,,,,
Unknown, 6mo-4yr,Unknown,6,6,,0,,,,,
Unknown,2022-05-11 00:00:00,Asian,38,25,12,,,,,,
Unknown,2022-05-11 00:00:00,Black,12,8,4,0,,,,,
Unknown,2022-05-11 00:00:00,Hispanic,814,700,113,,,,,,
Unknown,2022-05-11 00:00:00,Other,93,69,23,,,,,,
Unknown,2022-05-11 00:00:00,Unknown,137,90,45,,,,,,
Unknown,2022-05-11 00:00:00,White,45,32,10,,,,,,
Unknown,2022-12-15 00:00:00,Asian,29,17,9,,,,,,
Unknown,2022-12-15 00:00:00,Black,38,24,14,0,,,,,
Unknown,2022-12-15 00:00:00,Hispanic,1025,935,90,,,,,,
Unknown,2022-12-15 00:00:00,Other,120,79,38,,,,,,
Unknown,2022-12-15 00:00:00,Unknown,130,109,20,,,,,,
Unknown,2022-12-15 00:00:00,White,124,79,42,,,,,,
Unknown,16-49,Asian,1424,794,609,105,,,,,
Unknown,16-49,Black,1566,894,695,69,,,,,
Unknown,16-49,Hispanic,13877,8870,6455,567,,,,,
Unknown,16-49,Other,10347,6353,4424,376,,,,,
