Gender,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,,,,,,,,,
Female,16-49 years,Asian,33599,23650,9949,,,,,,,,,
Female,16-49 years,Black,21719,16350,5369,,,,,,,,,
Female,16-49 years,Hispanic,59853,43671,16182,,,,,,,,,
Female,16-49 years,White,125009,90819,34190,,,,,,,,,
Female,16-49 years,Other,37969,31143,6826,,,,,,,,,
Female,16-49 years,Unknown,207282,162907,44375,,,,,,,,,
Female,50-64 years,Asian,14408,10805,3603,,,,,,,,,
Female,50-64 years,Black,16375,12658,3717,,,,,,,,,
Female,50-64 years,Hispanic,25409,20073,5336,,,,,,,,,
Female,50-64 years,White,72833,57212,15621,,,,,,,,,
Female,50-64 years,Other,20989,18059,2930,,,,,,,,,
Female,50-64 years,Unknown,121286,101572,19714,,,,,,,,,
Female,65-79 years,Asian,10494,9695,799,,,,,,,,,
Female,65-79 years,Black,10011,9411,600,,,,,,,,,
Female,65-79 years,Hispanic,14687,13559,1128,,,,,,,,,
Female,65-79 years,White,86786,82337,4449,,,,,,,,,
Female,65-79 years,Other,20514,18902,1612,,,,,,,,,
Female,65-79 years,Unknown,117733,110527,7206,,,,,,,,,
Female,80+ years,Asian,2120,2039,81,,,,,,,,,
Female,80+ years,Black,2076,2051,25,,,,,,,,,
Female,80+ years,Hispanic,3040,2920,120,,,,,,,,,
Female,80+ years,White,25039,24343,696,,,,,,,,,
Female,80+ years,Other,22460,19951,2509,,,,,,,,,
Female,80+ years,Unknown,43301,40717,2584,,,,,,,,,
Female,Unknown,Asian,13,13,0,,,,,,,,,
Female,Unknown,Black,14,11,3,,,,,,,,,
Female,Unknown,Hispanic,31,27,4,,,,,,,,,
Female,Unknown,White,113,109,4,,,,,,,,,
Female,Unknown,Other,14,13,1,,,,,,,,,
Female,Unknown,Unknown,695,661,34,,,,,,,,,
Male,16-49 years,Asian,21870,15517,6353,,,,,,,,,
Male,16-49 years,Black,9276,7091,2185,,,,,,,,,
Male,16-49 years,Hispanic,30515,22631,7884,,,,,,,,,
Male,16-49 years,White,62232,46575,15657,,,,,,,,,
Male,16-49 years,Other,18160,14726,3434,,,,,,,,,
Male,16-49 years,Unknown,121655,96818,24837,,,,,,,,,
Male,50-64 years,Asian,10046,7761,2285,,,,,,,,,
Male,50-64 years,Black,8278,6725,1553,,,,,,,,,
Male,50-64 years,Hispanic,16049,12955,3094,,,,,,,,,
Male,50-64 years,White,45331,36786,8545,,,,,,,,,
Male,50-64 years,Other,11389,9767,1622,,,,,,,,,
Male,50-64 years,Unknown,79762,67653,12109,,,,,,,,,
Male,65-79 years,Asian,9413,8736,677,,,,,,,,,
Male,65-79 years,Black,6487,6157,330,,,,,,,,,
Male,65-79 years,Hispanic,11305,10423,882,,,,,,,,,
Male,65-79 years,White,75065,70916,4149,,,,,,,,,
Male,65-79 years,Other,14700,13581,1119,,,,,,,,,
Male,65-79 years,Unknown,98026,91755,6271,,,,,,,,,
Male,80+ years,Asian,1921,1824,97,,,,,,,,,
Male,80+ years,Black,1139,1117,22,,,,,,,,,
Male,80+ years,Hispanic,2042,1941,101,,,,,,,,,
Male,80+ years,White,20988,20389,599,,,,,,,,,
Male,80+ years,Other,9104,8196,908,,,,,,,,,
Male,80+ years,Unknown,28525,26891,1634,,,,,,,,,
Male,Unknown,Asian,15,13,2,,,,,,,,,
Male,Unknown,Black,6,6,0,,,,,,,,,
Male,Unknown,Hispanic,19,19,0,,,,,,,,,
Male,Unknown,White,94,90,4,,,,,,,,,
Male,Unknown,Other,8,7,1,,,,,,,,,
Male,Unknown,Unknown,444,422,22,,,,,,,,,
Unknown,16-49 years,Asian,650,551,99,,,,,,,,,
Unknown,16-49 years,Black,350,322,28,,,,,,,,,
Unknown,16-49 years,Hispanic,972,872,100,,,,,,,,,
Unknown,16-49 years,White,1992,1777,215,,,,,,,,,
Unknown,16-49 years,Other,1494,1255,239,,,,,,,,,
Unknown,16-49 years,Unknown,2984,2825,159,,,,,,,,,
Unknown,50-64 years,Asian,393,351,42,,,,,,,,,
Unknown,50-64 years,Black,352,329,23,,,,,,,,,
Unknown,50-64 years,Hispanic,413,387,26,,,,,,,,,
Unknown,50-64 years,White,1650,1526,124,,,,,,,,,
Unknown,50-64 years,Other,842,752,90,,,,,,,,,
Unknown,50-64 years,Unknown,3164,3074,90,,,,,,,,,
Unknown,65-79 years,Asian,1193,1177,16,,,,,,,,,
Unknown,65-79 years,Black,697,692,5,,,,,,,,,
Unknown,65-79 years,Hispanic,759,752,7,,,,,,,,,
Unknown,65-79 years,White,7423,7336,87,,,,,,,,,
Unknown,65-79 years,Other,3005,2967,38,,,,,,,,,
Unknown,65-79 years,Unknown,7219,7167,52,,,,,,,,,
Unknown,80+ years,Asian,202,200,2,,,,,,,,,
Unknown,80+ years,Black,99,98,1,,,,,,,,,
Unknown,80+ years,Hispanic,141,141,0,,,,,,,,,
Unknown,80+ years,White,1320,1309,11,,,,,,,,,
Unknown,80+ years,Other,520,519,1,,,,,,,,,
Unknown,80+ years,Unknown,994,989,5,,,,,,,,,
Unknown,Unknown,Asian,1,1,0,,,,,,,,,
Unknown,Unknown,Hispanic,5,5,0,,,,,,,,,
Unknown,Unknown,White,6,6,0,,,,,,,,,
Unknown,Unknown,Other,1,1,0,,,,,,,,,
Unknown,Unknown,Unknown,19,19,0,,,,,,,,,
Texas,Total,Total,1868596,1571093,297503,,,,,,,,,
