Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,,,,,,
Female,16-49 years,Asian,431933,251071,192639,,,,,,
Female,16-49 years,Black,354880,215629,153601,,,,,,
Female,16-49 years,Hispanic,1741765,1064567,744829,,,,,,
Female,16-49 years,Other,417816,249293,182711,,,,,,
Female,16-49 years,Unknown,460628,270398,200840,,,,,,
Female,16-49 years,White,1581185,929292,718975,,,,,,
Female,50-64 years,Asian,161298,91175,74958,,,,,,
Female,50-64 years,Black,267909,154756,122928,,,,,,
Female,50-64 years,Hispanic,835808,485183,379901,,,,,,
Female,50-64 years,Other,218477,123966,101147,,,,,,
Female,50-64 years,Unknown,274999,157565,123604,,,,,,
Female,50-64 years,White,1154141,657052,544959,,,,,,
Female,65-79 years,Asian,84769,46265,40186,,,,,,
Female,65-79 years,Black,171745,95858,80438,,,,,,
Female,65-79 years,Hispanic,460869,256851,215150,,,,,,
Female,65-79 years,Other,197424,108985,91239,,,,,,
Female,65-79 years,Unknown,248759,137837,114493,,,,,,
Female,65-79 years,White,1088820,595960,520695,,,,,,
Female,80+ years,Asian,15511,8582,7329,,,,,,
Female,80+ years,Black,36685,20745,17169,,,,,,
Female,80+ years,Hispanic,112023,63143,51799,,,,,,
Female,80+ years,Other,98126,55292,43534,,,,,,
Female,80+ years,Unknown,89951,50846,40115,,,,,,
Female,80+ years,White,308329,169426,147091,,,,,,
Female,Unknown,Asian,132,111,30,,,,,,
Female,Unknown,Black,151,122,40,,,,,,
Female,Unknown,Hispanic,1000,814,230,,,,,,
Female,Unknown,Other,216,165,56,,,,,,
Female,Unknown,Unknown,882,758,136,,,,,,
Female,Unknown,White,741,606,175,,,,,,
Male,16-49 years,Asian,400760,236489,176714,,,,,,
Male,16-49 years,Black,259785,165397,106886,,,,,,
Male,16-49 years,Hispanic,1402384,882177,584025,,,,,,
Male,16-49 years,Other,346064,215811,145229,,,,,,
Male,16-49 years,Unknown,323633,196610,137411,,,,,,
Male,16-49 years,White,1357813,819389,604007,,,,,,
Male,50-64 years,Asian,146662,83353,67976,,,,,,
Male,50-64 years,Black,204139,122375,91243,,,,,,
Male,50-64 years,Hispanic,705464,419245,315221,,,,,,
Male,50-64 years,Other,172990,101091,78343,,,,,,
Male,50-64 years,Unknown,206725,121464,91103,,,,,,
Male,50-64 years,White,1018282,588385,476124,,,,,,
Male,65-79 years,Asian,71721,39169,33879,,,,,,
Male,65-79 years,Black,112175,63197,52422,,,,,,
Male,65-79 years,Hispanic,354451,199059,164956,,,,,,
Male,65-79 years,Other,156597,86608,72376,,,,,,
Male,65-79 years,Unknown,208248,115523,95878,,,,,,
Male,65-79 years,White,929239,509040,444625,,,,,,
Male,80+ years,Asian,12479,6837,5931,,,,,,
Male,80+ years,Black,16854,9558,7859,,,,,,
Male,80+ years,Hispanic,67295,37887,31167,,,,,,
Male,80+ years,Other,50795,28565,22672,,,,,,
Male,80+ years,Unknown,56535,31856,25374,,,,,,
Male,80+ years,White,222370,121524,106339,,,,,,
Male,Unknown,Asian,143,104,40,,,,,,
Male,Unknown,Black,109,87,31,,,,,,
Male,Unknown,Hispanic,920,761,211,,,,,,
Male,Unknown,Other,195,154,47,,,,,,
Male,Unknown,Unknown,619,526,102,,,,,,
Male,Unknown,White,669,555,152,,,,,,
Unknown,16-49 years,Asian,2041,1184,941,,,,,,
Unknown,16-49 years,Black,1481,885,659,,,,,,
Unknown,16-49 years,Hispanic,16412,9184,8019,,,,,,
Unknown,16-49 years,Other,21488,12429,10118,,,,,,
Unknown,16-49 years,Unknown,6231,4150,2378,,,,,,
Unknown,16-49 years,White,13743,7443,6531,,,,,,
Unknown,50-64 years,Asian,1074,605,493,,,,,,
Unknown,50-64 years,Black,1217,702,565,,,,,,
Unknown,50-64 years,Hispanic,13863,7490,6777,,,,,,
Unknown,50-64 years,Other,19892,11056,9642,,,,,,
Unknown,50-64 years,Unknown,3627,2212,1546,,,,,,
Unknown,50-64 years,White,13345,7077,6468,,,,,,
Unknown,65-79 years,Asian,1939,1018,927,,,,,,
Unknown,65-79 years,Black,1609,878,760,,,,,,
Unknown,65-79 years,Hispanic,8062,4385,3830,,,,,,
Unknown,65-79 years,Other,15421,8443,7345,,,,,,
Unknown,65-79 years,Unknown,3303,1960,1372,,,,,,
Unknown,65-79 years,White,16311,8567,7842,,,,,,
Unknown,80+ years,Asian,331,179,153,,,,,,
Unknown,80+ years,Black,268,151,125,,,,,,
Unknown,80+ years,Hispanic,1512,826,716,,,,,,
Unknown,80+ years,Other,3119,1769,1417,,,,,,
Unknown,80+ years,Unknown,728,448,289,,,,,,
Unknown,80+ years,White,3218,1703,1547,,,,,,
Unknown,Unknown,Asian,3,2,1,,,,,,
Unknown,Unknown,Hispanic,6,6,0,,,,,,
Unknown,Unknown,Other,80,74,7,,,,,,
Unknown,Unknown,Unknown,18,15,4,,,,,,
Unknown,Unknown,White,15,15,1,,,,,,
Grand Total,Total,Total,19793444,11559965,8929813,,,,,,
