Gender ,Agegrp,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with Booster Doses,,,,,
Female,2022-05-11 00:00:00,Asian,54241,29600,24581,60,,,,,
Female,2022-05-11 00:00:00,Black,42627,24089,18498,41,,,,,
Female,2022-05-11 00:00:00,Hispanic,442122,275624,166011,507,,,,,
Female,2022-05-11 00:00:00,Other,159815,89408,70196,216,,,,,
Female,2022-05-11 00:00:00,Unknown,31095,19626,11456,16,,,,,
Female,2022-05-11 00:00:00,White,131747,73829,57771,153,,,,,
Female,2022-12-15 00:00:00,Asian,51870,24869,21963,5046,,,,,
Female,2022-12-15 00:00:00,Black,72968,38018,31536,3418,,,,,
Female,2022-12-15 00:00:00,Hispanic,563252,305882,229354,28147,,,,,
Female,2022-12-15 00:00:00,Other,242428,120571,104089,17784,,,,,
Female,2022-12-15 00:00:00,Unknown,22780,13759,8402,621,,,,,
Female,2022-12-15 00:00:00,White,196377,99525,83884,12997,,,,,
Female,16-49,Asian,711976,320867,278055,127361,,,,,
Female,16-49,Black,934264,460810,390389,105945,,,,,
Female,16-49,Hispanic,4267761,2149403,1767618,497305,,,,,
Female,16-49,Other,1737855,806319,705142,277648,,,,,
Female,16-49,Unknown,449301,251940,179640,33425,,,,,
Female,16-49,White,3022429,1459467,1264815,414338,,,,,
Female,50-64,Asian,235329,102348,89227,49172,,,,,
Female,50-64,Black,485107,211448,190742,95654,,,,,
Female,50-64,Hispanic,1556593,706055,601944,289434,,,,,
Female,50-64,Other,955744,396135,363144,218944,,,,,
Female,50-64,Unknown,196621,104555,75965,22945,,,,,
Female,50-64,White,1801130,805625,725494,339738,,,,,
Female,65-79,Asian,114329,48611,41405,26175,,,,,
Female,65-79,Black,266498,108574,99282,64077,,,,,
Female,65-79,Hispanic,807701,345158,295614,181087,,,,,
Female,65-79,Other,890752,340525,319169,241415,,,,,
Female,65-79,Unknown,120786,63184,45023,15664,,,,,
Female,65-79,White,1538054,637096,580164,357327,,,,,
Female,80+,Asian,21440,9213,7815,4845,,,,,
Female,80+,Black,57924,24214,21696,13497,,,,,
Female,80+,Hispanic,196815,85393,72331,42714,,,,,
Female,80+,Other,291240,112853,104683,76207,,,,,
Female,80+,Unknown,44544,23673,16637,5121,,,,,
Female,80+,White,457621,188811,171032,108132,,,,,
Female,Unknown,Asian,127,95,37,,,,,,
Female,Unknown,Black,189,152,43,6,,,,,
Female,Unknown,Hispanic,1447,1237,272,7,,,,,
Female,Unknown,Other,225,182,46,0,,,,,
Female,Unknown,Unknown,809,703,119,,,,,,
Female,Unknown,White,740,580,194,10,,,,,
Male,2022-05-11 00:00:00,Asian,56981,31153,25770,59,,,,,
Male,2022-05-11 00:00:00,Black,43086,24423,18626,37,,,,,
Male,2022-05-11 00:00:00,Hispanic,445227,277847,166899,505,,,,,
Male,2022-05-11 00:00:00,Other,162870,91190,71435,252,,,,,
Male,2022-05-11 00:00:00,Unknown,32344,20496,11822,28,,,,,
Male,2022-05-11 00:00:00,White,137048,76740,60164,151,,,,,
Male,2022-12-15 00:00:00,Asian,53030,25545,22551,4937,,,,,
Male,2022-12-15 00:00:00,Black,71840,37498,30937,3412,,,,,
Male,2022-12-15 00:00:00,Hispanic,557918,306134,225123,26771,,,,,
Male,2022-12-15 00:00:00,Other,242927,121231,104233,17489,,,,,
Male,2022-12-15 00:00:00,Unknown,23515,14330,8642,552,,,,,
Male,2022-12-15 00:00:00,White,198019,101091,84354,12605,,,,,
Male,16-49,Asian,693162,328982,283158,117108,,,,,
Male,16-49,Black,743899,378786,314861,78416,,,,,
Male,16-49,Hispanic,3780230,1989360,1595035,373500,,,,,
Male,16-49,Other,1545798,748565,640154,225462,,,,,
