Gender ,Agegrp_v2,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with at least One Booster Doses,,,,,
Female, 6mo-4yr,Asian,2613,2403,26,0,,,,,
Female, 6mo-4yr,Black,1176,1088,3,0,,,,,
Female, 6mo-4yr,Hispanic,10866,10041,72,0,,,,,
Female, 6mo-4yr,Other,1375,1269,24,0,,,,,
Female, 6mo-4yr,Unknown,705,669,10,0,,,,,
Female, 6mo-4yr,White,7683,7033,134,0,,,,,
Female,2022-05-11 00:00:00,Asian,60579,31674,26465,2424,,,,,
Female,2022-05-11 00:00:00,Black,47608,26173,20264,1165,,,,,
Female,2022-05-11 00:00:00,Hispanic,517887,313292,193573,10904,,,,,
Female,2022-05-11 00:00:00,Other,179628,95788,76223,7565,,,,,
Female,2022-05-11 00:00:00,Unknown,33395,21111,11877,402,,,,,
Female,2022-05-11 00:00:00,White,146870,78349,62155,6325,,,,,
Female,2022-12-15 00:00:00,Asian,54081,25153,22221,6665,,,,,
Female,2022-12-15 00:00:00,Black,75553,38711,32134,4669,,,,,
Female,2022-12-15 00:00:00,Hispanic,603574,323636,241557,38190,,,,,
Female,2022-12-15 00:00:00,Other,252787,122815,106396,23333,,,,,
Female,2022-12-15 00:00:00,Unknown,23247,14051,8336,856,,,,,
Female,2022-12-15 00:00:00,White,203057,100738,85232,16962,,,,,
Female,16-49,Asian,725786,323091,278851,134792,,,,,
Female,16-49,Black,964184,469768,398282,115780,,,,,
Female,16-49,Hispanic,4420020,2212049,1799976,542627,,,,,
Female,16-49,Other,1808545,825822,721439,299827,,,,,
Female,16-49,Unknown,457457,263065,175484,34174,,,,,
Female,16-49,White,3087753,1474291,1276251,439278,,,,,
Female,50-64,Asian,247728,103214,89335,51960,,,,,
Female,50-64,Black,509184,212068,191643,101662,,,,,
Female,50-64,Hispanic,1658667,724033,614089,312317,,,,,
Female,50-64,Other,1061291,408654,375453,238162,,,,,
Female,50-64,Unknown,191220,101667,71988,22050,,,,,
Female,50-64,White,1899107,810010,729880,359321,,,,,
Female,65-79,Asian,124341,49333,41606,27505,,,,,
Female,65-79,Black,287817,108111,99193,67458,,,,,
Female,65-79,Hispanic,889228,354715,303034,194336,,,,,
Female,65-79,Other,1041600,351899,331397,261916,,,,,
Female,65-79,Unknown,116431,60275,41941,14647,,,,,
Female,65-79,White,1674820,639559,583677,374948,,,,,
Female,80+,Asian,23440,9327,7891,5126,,,,,
Female,80+,Black,62299,24175,21721,14194,,,,,
Female,80+,Hispanic,217010,87957,74373,46340,,,,,
Female,80+,Other,335386,115361,107605,83038,,,,,
Female,80+,Unknown,43675,22874,15783,4932,,,,,
Female,80+,White,498805,189744,172337,114098,,,,,
Female,Unknown,Asian,68,54,14,0,,,,,
Female,Unknown,Black,134,108,26,0,,,,,
Female,Unknown,Hispanic,762,646,115,,,,,,
Female,Unknown,Other,142,114,28,0,,,,,
Female,Unknown,Unknown,692,607,85,0,,,,,
Female,Unknown,White,497,398,99,0,,,,,
Male, 6mo-4yr,Asian,2640,2454,26,0,,,,,
Male, 6mo-4yr,Black,1077,1008,4,0,,,,,
Male, 6mo-4yr,Hispanic,10832,9969,80,0,,,,,
Male, 6mo-4yr,Other,1502,1368,24,0,,,,,
Male, 6mo-4yr,Unknown,704,663,11,0,,,,,
Male, 6mo-4yr,White,8025,7362,129,0,,,,,
Male,2022-05-11 00:00:00,Asian,63673,33323,27823,2501,,,,,
Male,2022-05-11 00:00:00,Black,48056,26554,20389,1100,,,,,
Male,2022-05-11 00:00:00,Hispanic,522271,316507,194452,11180,,,,,
Male,2022-05-11 00:00:00,Other,182708,97466,77438,7744,,,,,
Male,2022-05-11 00:00:00,Unknown,34484,21865,12213,404,,,,,
Male,2022-05-11 00:00:00,White,153354,81747,64838,6714,,,,,
Male,2022-12-15 00:00:00,Asian,55213,25793,22821,6559,,,,,
Male,2022-12-15 00:00:00,Black,74521,38238,31611,4635,,,,,
Male,2022-12-15 00:00:00,Hispanic,599576,325585,237308,36499,,,,,
Male,2022-12-15 00:00:00,Other,253236,123515,106570,22897,,,,,
Male,2022-12-15 00:00:00,Unknown,24230,14776,8657,801,,,,,
Male,2022-12-15 00:00:00,White,204304,102167,85588,16431,,,,,
Male,16-49,Asian,706776,332947,284420,123335,,,,,
Male,16-49,Black,764728,385024,320137,85418,,,,,
Male,16-49,Hispanic,3901055,2043308,1621545,406650,,,,,
Male,16-49,Other,1603360,765980,653795,242801,,,,,
Male,16-49,Unknown,421691,261067,161186,24180,,,,,
Male,16-49,White,2800926,1382317,1185084,371820,,,,,
Male,50-64,Asian,228538,95435,84081,48842,,,,,
Male,50-64,Black,424043,184021,162561,79926,,,,,
Male,50-64,Hispanic,1484284,663550,565564,263081,,,,,
Male,50-64,Other,875698,347122,315697,188939,,,,,
Male,50-64,Unknown,170695,94464,66108,17106,,,,,
Male,50-64,White,1764252,774383,690777,318748,,,,,
Male,65-79,Asian,106294,41576,35159,23825,,,,,
Male,65-79,Black,198385,76578,68446,45585,,,,,
Male,65-79,Hispanic,704689,280415,241508,155430,,,,,
Male,65-79,Other,821500,279767,261768,205166,,,,,
Male,65-79,Unknown,104569,54373,37859,13131,,,,,
Male,65-79,White,1463723,566920,512221,323128,,,,,
Male,80+,Asian,18996,7236,6192,4338,,,,,
Male,80+,Black,28873,11383,9875,6484,,,,,
Male,80+,Hispanic,132084,52867,44751,28863,,,,,
Male,80+,Other,206185,69158,64269,52033,,,,,
Male,80+,Unknown,28922,15325,10196,3313,,,,,
Male,80+,White,359571,135699,121614,82955,,,,,
Male,Unknown,Asian,60,46,14,0,,,,,
Male,Unknown,Black,97,78,19,0,,,,,
Male,Unknown,Hispanic,708,602,106,0,,,,,
Male,Unknown,Other,115,91,24,0,,,,,
Male,Unknown,Unknown,491,432,59,0,,,,,
Male,Unknown,White,420,344,76,0,,,,,
Unknown, 6mo-4yr,Asian,1,1,,0,,,,,
Unknown, 6mo-4yr,Hispanic,4,4,,0,,,,,
Unknown, 6mo-4yr,Other,9,8,,0,,,,,
Unknown, 6mo-4yr,Unknown,5,5,,0,,,,,
Unknown,2022-05-11 00:00:00,Asian,37,24,12,,,,,,
Unknown,2022-05-11 00:00:00,Black,12,8,4,0,,,,,
Unknown,2022-05-11 00:00:00,Hispanic,814,700,113,,,,,,
Unknown,2022-05-11 00:00:00,Other,92,68,23,,,,,,
Unknown,2022-05-11 00:00:00,Unknown,137,90,45,,,,,,
Unknown,2022-05-11 00:00:00,White,45,32,10,,,,,,
Unknown,2022-12-15 00:00:00,Asian,29,17,9,,,,,,
Unknown,2022-12-15 00:00:00,Black,37,23,14,0,,,,,
Unknown,2022-12-15 00:00:00,Hispanic,861,778,85,0,,,,,
Unknown,2022-12-15 00:00:00,Other,119,78,38,,,,,,
Unknown,2022-12-15 00:00:00,Unknown,131,110,20,,,,,,
Unknown,2022-12-15 00:00:00,White,124,79,42,,,,,,
Unknown,16-49,Asian,1425,795,610,105,,,,,
Unknown,16-49,Black,1566,893,696,69,,,,,
Unknown,16-49,Hispanic,13598,8593,6454,567,,,,,
Unknown,16-49,Other,10371,6365,4436,376,,,,,
Unknown,16-49,Unknown,5714,3543,2273,212,,,,,
Unknown,16-49,White,7288,4030,3327,270,,,,,
Unknown,50-64,Asian,620,319,256,61,,,,,
Unknown,50-64,Black,675,358,290,64,,,,,
Unknown,50-64,Hispanic,6194,3265,2819,429,,,,,
Unknown,50-64,Other,6244,3625,2684,311,,,,,
Unknown,50-64,Unknown,1847,1064,746,149,,,,,
Unknown,50-64,White,3877,2073,1758,172,,,,,
Unknown,65-79,Asian,429,201,163,58,,,,,
Unknown,65-79,Black,382,194,154,46,,,,,
