Gender,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,,,,,,,,,
Female,16-49 years,Asian,53783,34238,19545,,,,,,,,,
Female,16-49 years,Black,38739,25519,13220,,,,,,,,,
Female,16-49 years,Hispanic,128709,89849,38860,,,,,,,,,
Female,16-49 years,White,215938,139249,76689,,,,,,,,,
Female,16-49 years,Other,73689,50364,23325,,,,,,,,,
Female,16-49 years,Unknown,310859,207820,103039,,,,,,,,,
Female,50-64 years,Asian,26708,18431,8277,,,,,,,,,
Female,50-64 years,Black,32997,23299,9698,,,,,,,,,
Female,50-64 years,Hispanic,71968,54742,17226,,,,,,,,,
Female,50-64 years,White,154268,109136,45132,,,,,,,,,
Female,50-64 years,Other,46941,33589,13352,,,,,,,,,
Female,50-64 years,Unknown,199722,142161,57561,,,,,,,,,
Female,65-79 years,Asian,28907,22282,6625,,,,,,,,,
Female,65-79 years,Black,32049,26453,5596,,,,,,,,,
Female,65-79 years,Hispanic,63992,51764,12228,,,,,,,,,
Female,65-79 years,White,257551,203975,53576,,,,,,,,,
Female,65-79 years,Other,51627,39316,12311,,,,,,,,,
Female,65-79 years,Unknown,220114,170743,49371,,,,,,,,,
Female,80+ years,Asian,6107,4698,1409,,,,,,,,,
Female,80+ years,Black,6774,5624,1150,,,,,,,,,
Female,80+ years,Hispanic,15450,12639,2811,,,,,,,,,
Female,80+ years,White,77225,59838,17387,,,,,,,,,
Female,80+ years,Other,48080,34104,13976,,,,,,,,,
Female,80+ years,Unknown,79039,60486,18553,,,,,,,,,
Female,Unknown,Asian,24,22,2,,,,,,,,,
Female,Unknown,Black,26,21,5,,,,,,,,,
Female,Unknown,Hispanic,138,126,12,,,,,,,,,
Female,Unknown,White,197,179,18,,,,,,,,,
Female,Unknown,Other,31,27,4,,,,,,,,,
Female,Unknown,Unknown,911,824,87,,,,,,,,,
Male,16-49 years,Asian,36080,23535,12545,,,,,,,,,
Male,16-49 years,Black,17333,11820,5513,,,,,,,,,
Male,16-49 years,Hispanic,71787,52129,19658,,,,,,,,,
Male,16-49 years,White,115588,77577,38011,,,,,,,,,
Male,16-49 years,Other,36200,24964,11236,,,,,,,,,
Male,16-49 years,Unknown,189962,128977,60985,,,,,,,,,
Male,50-64 years,Asian,19877,14170,5707,,,,,,,,,
Male,50-64 years,Black,18762,13810,4952,,,,,,,,,
Male,50-64 years,Hispanic,47966,37375,10591,,,,,,,,,
Male,50-64 years,White,102761,75304,27457,,,,,,,,,
Male,50-64 years,Other,26315,19004,7311,,,,,,,,,
Male,50-64 years,Unknown,135141,97909,37232,,,,,,,,,
Male,65-79 years,Asian,25570,19610,5960,,,,,,,,,
Male,65-79 years,Black,20490,16938,3552,,,,,,,,,
Male,65-79 years,Hispanic,48784,39246,9538,,,,,,,,,
Male,65-79 years,White,220680,174557,46123,,,,,,,,,
Male,65-79 years,Other,37491,28711,8780,,,,,,,,,
Male,65-79 years,Unknown,181822,140522,41300,,,,,,,,,
Male,80+ years,Asian,5309,4000,1309,,,,,,,,,
Male,80+ years,Black,3425,2783,642,,,,,,,,,
Male,80+ years,Hispanic,9633,7843,1790,,,,,,,,,
Male,80+ years,White,61227,46489,14738,,,,,,,,,
Male,80+ years,Other,20264,14654,5610,,,,,,,,,
Male,80+ years,Unknown,51483,39704,11779,,,,,,,,,
Male,Unknown,Asian,28,22,6,,,,,,,,,
Male,Unknown,Black,18,17,1,,,,,,,,,
Male,Unknown,Hispanic,91,86,5,,,,,,,,,
Male,Unknown,White,172,155,17,,,,,,,,,
Male,Unknown,Other,32,29,3,,,,,,,,,
Male,Unknown,Unknown,616,564,52,,,,,,,,,
Unknown,16-49 years,Asian,1004,693,311,,,,,,,,,
Unknown,16-49 years,Black,613,443,170,,,,,,,,,
Unknown,16-49 years,Hispanic,1469,1063,406,,,,,,,,,
Unknown,16-49 years,White,3089,2157,932,,,,,,,,,
Unknown,16-49 years,Other,2339,1496,843,,,,,,,,,
Unknown,16-49 years,Unknown,9654,7791,1863,,,,,,,,,
Unknown,50-64 years,Asian,690,482,208,,,,,,,,,
Unknown,50-64 years,Black,630,480,150,,,,,,,,,
Unknown,50-64 years,Hispanic,702,561,141,,,,,,,,,
Unknown,50-64 years,White,2610,1882,728,,,,,,,,,
Unknown,50-64 years,Other,1410,968,442,,,,,,,,,
Unknown,50-64 years,Unknown,9951,7747,2204,,,,,,,,,
Unknown,65-79 years,Asian,2087,1440,647,,,,,,,,,
Unknown,65-79 years,Black,1268,986,282,,,,,,,,,
Unknown,65-79 years,Hispanic,1431,1121,310,,,,,,,,,
Unknown,65-79 years,White,12681,9324,3357,,,,,,,,,
Unknown,65-79 years,Other,5172,3683,1489,,,,,,,,,
Unknown,65-79 years,Unknown,18309,12527,5782,,,,,,,,,
Unknown,80+ years,Asian,346,250,96,,,,,,,,,
Unknown,80+ years,Black,178,147,31,,,,,,,,,
Unknown,80+ years,Hispanic,260,202,58,,,,,,,,,
Unknown,80+ years,White,2324,1739,585,,,,,,,,,
Unknown,80+ years,Other,884,651,233,,,,,,,,,
Unknown,80+ years,Unknown,2913,2095,818,,,,,,,,,
Unknown,Unknown,Asian,1,1,0,,,,,,,,,
Unknown,Unknown,Black,1,1,0,,,,,,,,,
Unknown,Unknown,Hispanic,5,5,0,,,,,,,,,
Unknown,Unknown,White,10,10,0,,,,,,,,,
Unknown,Unknown,Other,1,1,0,,,,,,,,,
Unknown,Unknown,Unknown,49,40,9,,,,,,,,,
Texas,Total,Total,3829551,2794008,1035543,,,,,,,,,
