Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,,,,,,
Female,12-15 years,Asian,45015,24088,20911,,,,,,
Female,12-15 years,Black,57540,32429,25084,,,,,,
Female,12-15 years,Hispanic,376451,212295,163970,,,,,,
Female,12-15 years,Other,175577,96603,78843,,,,,,
Female,12-15 years,Unknown,17506,10564,6941,,,,,,
Female,12-15 years,White,166072,91863,74105,,,,,,
Female,16-49 years,Asian,577602,308820,278645,,,,,,
Female,16-49 years,Black,698311,392665,322100,,,,,,
Female,16-49 years,Hispanic,3193984,1795056,1505193,,,,,,
Female,16-49 years,Other,992214,551677,463908,,,,,,
Female,16-49 years,Unknown,522235,296004,238144,,,,,,
Female,16-49 years,White,2424228,1346235,1163706,,,,,,
Female,50-64 years,Asian,191610,101217,92637,,,,,,
Female,50-64 years,Black,371671,200837,177705,,,,,,
Female,50-64 years,Hispanic,1144111,616071,545649,,,,,,
Female,50-64 years,Other,456985,240592,214723,,,,,,
Female,50-64 years,Unknown,265908,147062,123458,,,,,,
Female,50-64 years,White,1453428,787727,707129,,,,,,
Female,65-79 years,Asian,93865,48086,43883,,,,,,
Female,65-79 years,Black,207121,108342,98068,,,,,,
Female,65-79 years,Hispanic,579730,301068,271714,,,,,,
Female,65-79 years,Other,411233,202956,185523,,,,,,
Female,65-79 years,Unknown,203258,109862,94335,,,,,,
Female,65-79 years,White,1236935,639037,586277,,,,,,
Female,80+ years,Asian,17572,9107,8194,,,,,,
Female,80+ years,Black,44410,23663,21100,,,,,,
Female,80+ years,Hispanic,139878,73953,64909,,,,,,
Female,80+ years,Other,154651,78550,69813,,,,,,
Female,80+ years,Unknown,78886,43240,36019,,,,,,
Female,80+ years,White,351446,182958,166880,,,,,,
Female,Unknown,Asian,130,98,38,,,,,,
Female,Unknown,Black,208,164,55,,,,,,
Female,Unknown,Hispanic,1241,967,328,,,,,,
Female,Unknown,Other,382,273,114,,,,,,
Female,Unknown,Unknown,882,752,142,,,,,,
Female,Unknown,White,887,680,250,,,,,,
Male,12-15 years,Asian,46304,24803,21488,,,,,,
Male,12-15 years,Black,56551,31956,24564,,,,,,
Male,12-15 years,Hispanic,370611,210725,159711,,,,,,
Male,12-15 years,Other,176689,97456,79085,,,,,,
Male,12-15 years,Unknown,18236,11115,7118,,,,,,
Male,12-15 years,White,168018,93434,74474,,,,,,
Male,16-49 years,Asian,558342,307772,276967,,,,,,
Male,16-49 years,Black,562566,323847,260859,,,,,,
Male,16-49 years,Hispanic,2851668,1647583,1339376,,,,,,
