Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,,,,,,
Female,12-15 years,Asian,44868,24064,20811,,,,,,
Female,12-15 years,Black,56255,32006,24251,,,,,,
Female,12-15 years,Hispanic,366758,208564,158261,,,,,,
Female,12-15 years,Other,170906,94850,76067,,,,,,
Female,12-15 years,Unknown,17207,10482,6726,,,,,,
Female,12-15 years,White,163644,91271,72388,,,,,,
Female,16-49 years,Asian,573301,309188,278533,,,,,,
Female,16-49 years,Black,683454,388017,315863,,,,,,
Female,16-49 years,Hispanic,3130440,1776140,1479767,,,,,,
Female,16-49 years,Other,946432,535625,445274,,,,,,
Female,16-49 years,Unknown,522576,299419,239917,,,,,,
Female,16-49 years,White,2387618,1342101,1151714,,,,,,
Female,50-64 years,Asian,189144,101706,93053,,,,,,
Female,50-64 years,Black,364381,200212,176674,,,,,,
Female,50-64 years,Hispanic,1116127,612067,540885,,,,,,
Female,50-64 years,Other,422085,230603,204565,,,,,,
Female,50-64 years,Unknown,267616,150061,125821,,,,,,
Female,50-64 years,White,1428166,788898,705930,,,,,,
Female,65-79 years,Asian,90704,48394,44265,,,,,,
Female,65-79 years,Black,201543,108742,98332,,,,,,
Female,65-79 years,Hispanic,555191,298890,269490,,,,,,
Female,65-79 years,Other,357293,189887,172780,,,,,,
Female,65-79 years,Unknown,208641,114359,98473,,,,,,
Female,65-79 years,White,1195877,642799,589375,,,,,,
Female,80+ years,Asian,16927,9141,8245,,,,,,
Female,80+ years,Black,43388,23745,21145,,,,,,
Female,80+ years,Hispanic,134438,73450,64408,,,,,,
Female,80+ years,Other,140574,75270,66560,,,,,,
Female,80+ years,Unknown,80558,44546,37218,,,,,,
Female,80+ years,White,341267,183957,167727,,,,,,
Female,Unknown,Asian,126,95,37,,,,,,
Female,Unknown,Black,206,163,54,,,,,,
Female,Unknown,Hispanic,1217,953,318,,,,,,
Female,Unknown,Other,358,258,105,,,,,,
Female,Unknown,Unknown,883,753,142,,,,,,
Female,Unknown,White,872,671,244,,,,,,
Male,12-15 years,Asian,46194,24802,21394,,,,,,
Male,12-15 years,Black,55338,31575,23773,,,,,,
Male,12-15 years,Hispanic,360968,206998,154022,,,,,,
Male,12-15 years,Other,171847,95687,76181,,,,,,
Male,12-15 years,Unknown,17908,11003,6909,,,,,,
Male,12-15 years,White,165523,92844,72698,,,,,,
Male,16-49 years,Asian,554625,307621,276513,,,,,,
Male,16-49 years,Black,550715,319472,255602,,,,,,
Male,16-49 years,Hispanic,2793492,1627461,1313525,,,,,,
Male,16-49 years,Other,883814,513888,417612,,,,,,
Male,16-49 years,Unknown,411583,245134,189307,,,,,,
Male,16-49 years,White,2172203,1243185,1058735,,,,,,
Male,50-64 years,Asian,173714,94433,86525,,,,,,
Male,50-64 years,Black,303705,170411,148053,,,,,,
Male,50-64 years,Hispanic,1015839,563813,493034,,,,,,
Male,50-64 years,Other,363984,201867,177158,,,,,,
Male,50-64 years,Unknown,216055,123884,101614,,,,,,
Male,50-64 years,White,1319592,737463,656806,,,,,,
Male,65-79 years,Asian,76539,40776,37307,,,,,,
Male,65-79 years,Black,135738,74064,66455,,,,,,
Male,65-79 years,Hispanic,434966,235271,211805,,,,,,
Male,65-79 years,Other,282060,150413,136694,,,,,,
Male,65-79 years,Unknown,177602,97738,83931,,,,,,
Male,65-79 years,White,1030454,555522,509546,,,,,,
Male,80+ years,Asian,13247,7106,6459,,,,,,
Male,80+ years,Black,19745,10864,9594,,,,,,
Male,80+ years,Hispanic,80595,44031,38728,,,,,,
Male,80+ years,Other,77640,41580,36900,,,,,,
Male,80+ years,Unknown,48985,27233,22568,,,,,,
Male,80+ years,White,242262,130317,119033,,,,,,
Male,Unknown,Asian,116,88,31,,,,,,
Male,Unknown,Black,161,127,46,,,,,,
Male,Unknown,Hispanic,1246,975,349,,,,,,
Male,Unknown,Other,316,238,91,,,,,,
Male,Unknown,Unknown,639,541,110,,,,,,
Male,Unknown,White,752,594,200,,,,,,
Unknown,12-15 years,Asian,65,35,30,,,,,,
Unknown,12-15 years,Black,30,19,11,,,,,,
Unknown,12-15 years,Hispanic,149,104,47,,,,,,
Unknown,12-15 years,Other,84,57,27,,,,,,
Unknown,12-15 years,Unknown,84,54,30,,,,,,
Unknown,12-15 years,White,145,89,57,,,,,,
Unknown,16-49 years,Asian,2344,1315,1147,,,,,,
Unknown,16-49 years,Black,1965,1144,942,,,,,,
Unknown,16-49 years,Hispanic,18991,11113,10022,,,,,,
Unknown,16-49 years,Other,20905,11992,10094,,,,,,
Unknown,16-49 years,Unknown,7327,4539,3206,,,,,,
Unknown,16-49 years,White,14174,7641,6943,,,,,,
Unknown,50-64 years,Asian,1069,589,508,,,,,,
Unknown,50-64 years,Black,1255,713,604,,,,,,
Unknown,50-64 years,Hispanic,13204,7123,6561,,,,,,
Unknown,50-64 years,Other,17592,9751,8628,,,,,,
Unknown,50-64 years,Unknown,3122,1872,1413,,,,,,
Unknown,50-64 years,White,11637,6175,5713,,,,,,
Unknown,65-79 years,Asian,1340,701,644,,,,,,
Unknown,65-79 years,Black,1328,724,637,,,,,,
Unknown,65-79 years,Hispanic,7239,3916,3478,,,,,,
Unknown,65-79 years,Other,12200,6698,5832,,,,,,
Unknown,65-79 years,Unknown,2329,1359,1003,,,,,,
Unknown,65-79 years,White,12280,6453,5935,,,,,,
Unknown,80+ years,Asian,254,135,119,,,,,,
Unknown,80+ years,Black,226,128,106,,,,,,
Unknown,80+ years,Hispanic,1368,750,651,,,,,,
Unknown,80+ years,Other,2584,1465,1176,,,,,,
Unknown,80+ years,Unknown,639,389,258,,,,,,
Unknown,80+ years,White,2539,1346,1227,,,,,,
Unknown,Unknown,Asian,1,1,0,,,,,,
Unknown,Unknown,Hispanic,10,9,2,,,,,,
Unknown,Unknown,Other,79,74,7,,,,,,
Unknown,Unknown,Unknown,12,11,2,,,,,,
Unknown,Unknown,White,15,14,1,,,,,,
Grand Total,Total,Total,30579788,17128864,14641787,,,,,,
