Gender ,Agegrp,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with Booster Doses,,,,,
Female,2022-05-11 00:00:00,Asian,53215,29135,24025,55,,,,,
Female,2022-05-11 00:00:00,Black,41426,23534,17859,34,,,,,
Female,2022-05-11 00:00:00,Hispanic,409442,252433,156589,440,,,,,
Female,2022-05-11 00:00:00,Other,155880,87565,68126,195,,,,,
Female,2022-05-11 00:00:00,Unknown,30232,19190,11030,14,,,,,
Female,2022-05-11 00:00:00,White,128903,72429,56349,132,,,,,
Female,2022-12-15 00:00:00,Asian,51466,24795,21907,4772,,,,,
Female,2022-12-15 00:00:00,Black,72386,37836,31356,3198,,,,,
Female,2022-12-15 00:00:00,Hispanic,549462,297377,226174,26040,,,,,
Female,2022-12-15 00:00:00,Other,240269,119922,103528,16835,,,,,
Female,2022-12-15 00:00:00,Unknown,22417,13473,8368,578,,,,,
Female,2022-12-15 00:00:00,White,195108,99152,83592,12393,,,,,
Female,16-49,Asian,708526,320223,277711,124868,,,,,
Female,16-49,Black,925618,457973,387862,102555,,,,,
Female,16-49,Hispanic,4220878,2128079,1757544,481230,,,,,
Female,16-49,Other,1721659,800688,700799,271064,,,,,
Female,16-49,Unknown,447418,250052,180546,32479,,,,,
Female,16-49,White,3007216,1454891,1261345,406809,,,,,
Female,50-64,Asian,233994,102046,89129,48248,,,,,
Female,50-64,Black,482049,211156,190245,93383,,,,,
Female,50-64,Hispanic,1540099,700700,598743,281340,,,,,
Female,50-64,Other,944375,393142,360194,213346,,,,,
Female,50-64,Unknown,198164,105272,76972,22753,,,,,
Female,50-64,White,1792385,804385,724156,333485,,,,,
Female,65-79,Asian,113454,48383,41296,25636,,,,,
Female,65-79,Black,264978,108601,99172,62646,,,,,
Female,65-79,Hispanic,797537,342239,293241,176154,,,,,
Female,65-79,Other,875674,337159,315206,233587,,,,,
Female,65-79,Unknown,123153,64283,46084,15882,,,,,
Female,65-79,White,1528380,636183,578827,349891,,,,,
Female,80+,Asian,21234,9159,7785,4723,,,,,
Female,80+,Black,57665,24201,21683,13263,,,,,
Female,80+,Hispanic,194513,84768,71795,41559,,,,,
Female,80+,Other,287248,112037,103647,74049,,,,,
Female,80+,Unknown,45106,23964,16876,5156,,,,,
Female,80+,White,454916,188525,170698,106044,,,,,
Female,Unknown,Asian,125,93,37,,,,,,
Female,Unknown,Black,187,150,44,6,,,,,
Female,Unknown,Hispanic,1301,1100,264,6,,,,,
Female,Unknown,Other,222,180,45,0,,,,,
Female,Unknown,Unknown,806,701,117,,,,,,
Female,Unknown,White,738,580,194,10,,,,,
Male,2022-05-11 00:00:00,Asian,55786,30623,25110,54,,,,,
Male,2022-05-11 00:00:00,Black,41889,23882,17972,35,,,,,
Male,2022-05-11 00:00:00,Hispanic,411873,254043,157432,422,,,,,
Male,2022-05-11 00:00:00,Other,159010,89451,69336,229,,,,,
Male,2022-05-11 00:00:00,Unknown,31419,19972,11430,19,,,,,
Male,2022-05-11 00:00:00,White,134141,75233,58781,134,,,,,
Male,2022-12-15 00:00:00,Asian,52633,25480,22483,4673,,,,,
Male,2022-12-15 00:00:00,Black,71249,37314,30748,3194,,,,,
Male,2022-12-15 00:00:00,Hispanic,543828,297332,221847,24758,,,,,
Male,2022-12-15 00:00:00,Other,240695,120558,103606,16557,,,,,
Male,2022-12-15 00:00:00,Unknown,23119,14018,8592,517,,,,,
Male,2022-12-15 00:00:00,White,196741,100706,84078,11986,,,,,
Male,16-49,Asian,689410,327666,282636,114893,,,,,
Male,16-49,Black,737471,376764,313065,75689,,,,,
Male,16-49,Hispanic,3742735,1971118,1586903,361658,,,,,
Male,16-49,Other,1531667,743297,636369,219958,,,,,
Male,16-49,Unknown,393972,233577,162411,22579,,,,,
Male,16-49,White,2734129,1364760,1171667,345224,,,,,
Male,50-64,Asian,216302,94679,83912,45542,,,,,
Male,50-64,Black,402426,183047,161288,73414,,,,,
Male,50-64,Hispanic,1389735,645570,552902,237060,,,,,
Male,50-64,Other,781251,333921,302704,168677,,,,,
Male,50-64,Unknown,174236,96276,69373,17319,,,,,
Male,50-64,White,1668563,768386,684545,295911,,,,,
Male,65-79,Asian,96624,40884,34890,22319,,,,,
Male,65-79,Black,182115,76583,67903,42439,,,,,
Male,65-79,Hispanic,631776,270847,233031,141031,,,,,
Male,65-79,Other,689538,267642,247786,183169,,,,,
Male,65-79,Unknown,110758,58280,41374,14263,,,,,
Male,65-79,White,1333663,562277,505187,301714,,,,,
Male,80+,Asian,16931,7108,6141,3986,,,,,
Male,80+,Black,26502,11355,9757,6102,,,,,
Male,80+,Hispanic,117364,50807,42869,26015,,,,,
Male,80+,Other,172378,66708,61069,46220,,,,,
Male,80+,Unknown,30042,16166,10919,3539,,,,,
Male,80+,White,324010,134399,119493,77230,,,,,
Male,Unknown,Asian,146,103,46,,,,,,
Male,Unknown,Black,142,114,36,,,,,,
Male,Unknown,Hispanic,1259,1063,262,10,,,,,
Male,Unknown,Other,206,162,57,,,,,,
Male,Unknown,Unknown,579,502,87,0,,,,,
Male,Unknown,White,668,524,180,6,,,,,
