Gender ,Agegrp,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with Booster Doses,,,,,
Female,2022-05-11 00:00:00,Asian,54555,29776,24719,60,,,,,
Female,2022-05-11 00:00:00,Black,43012,24284,18687,42,,,,,
Female,2022-05-11 00:00:00,Hispanic,450523,280503,169508,531,,,,,
Female,2022-05-11 00:00:00,Other,160870,89937,70710,228,,,,,
Female,2022-05-11 00:00:00,Unknown,31439,19867,11558,17,,,,,
Female,2022-05-11 00:00:00,White,132652,74346,58153,159,,,,,
Female,2022-12-15 00:00:00,Asian,51983,24893,21982,5116,,,,,
Female,2022-12-15 00:00:00,Black,73097,38057,31570,3474,,,,,
Female,2022-12-15 00:00:00,Hispanic,567755,308529,230612,28748,,,,,
Female,2022-12-15 00:00:00,Other,243020,120765,104254,18017,,,,,
Female,2022-12-15 00:00:00,Unknown,22859,13815,8409,637,,,,,
Female,2022-12-15 00:00:00,White,196868,99719,83986,13191,,,,,
Female,16-49,Asian,712844,321059,278132,127968,,,,,
Female,16-49,Black,936313,461488,391096,106653,,,,,
Female,16-49,Hispanic,4283283,2158294,1770511,501256,,,,,
Female,16-49,Other,1742433,808063,706407,279305,,,,,
Female,16-49,Unknown,450018,252849,179324,33536,,,,,
Female,16-49,White,3026744,1460803,1265808,416436,,,,,
Female,50-64,Asian,235736,102435,89260,49452,,,,,
Female,50-64,Black,485902,211522,190874,96244,,,,,
Female,50-64,Hispanic,1561928,708263,602958,291610,,,,,
Female,50-64,Other,959202,397106,364089,220546,,,,,
Female,50-64,Unknown,196005,104351,75593,22880,,,,,
Female,50-64,White,1803722,806036,725933,341526,,,,,
Female,65-79,Asian,114598,48664,41455,26339,,,,,
Female,65-79,Black,266782,108497,99255,64462,,,,,
Female,65-79,Hispanic,810691,346134,296319,182406,,,,,
Female,65-79,Other,895296,341638,320404,243630,,,,,
Female,65-79,Unknown,120140,62897,44731,15585,,,,,
Female,65-79,White,1541101,637509,580737,359400,,,,,
Female,80+,Asian,21483,9212,7824,4880,,,,,
Female,80+,Black,57986,24207,21696,13566,,,,,
Female,80+,Hispanic,197526,85640,72473,43041,,,,,
Female,80+,Other,292566,113099,104994,76984,,,,,
Female,80+,Unknown,44444,23607,16576,5146,,,,,
Female,80+,White,458592,188931,171224,108786,,,,,
Female,Unknown,Asian,129,96,38,,,,,,
Female,Unknown,Black,189,152,43,6,,,,,
Female,Unknown,Hispanic,1481,1263,279,8,,,,,
Female,Unknown,Other,229,185,47,0,,,,,
Female,Unknown,Unknown,813,707,119,,,,,,
Female,Unknown,White,739,580,193,10,,,,,
Male,2022-05-11 00:00:00,Asian,57305,31297,25950,59,,,,,
