Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,,,,,,
Female,12-15 years,Asian,44727,23857,20849,,,,,,
Female,12-15 years,Black,59815,33051,26727,,,,,,
Female,12-15 years,Hispanic,398915,222289,176375,,,,,,
Female,12-15 years,Other,187226,101567,85498,,,,,,
Female,12-15 years,Unknown,17913,10678,7231,,,,,,
Female,12-15 years,White,168756,92261,76374,,,,,,
Female,16-49 years,Asian,576849,305508,276170,,,,,,
Female,16-49 years,Black,728114,403045,337220,,,,,,
Female,16-49 years,Hispanic,3318943,1843953,1565004,,,,,,
Female,16-49 years,Other,1131077,611887,528272,,,,,,
Female,16-49 years,Unknown,503045,282788,228091,,,,,,
Female,16-49 years,White,2464418,1349023,1181395,,,,,,
Female,50-64 years,Asian,190428,98959,90548,,,,,,
Female,50-64 years,Black,379538,200718,179030,,,,,,
Female,50-64 years,Hispanic,1184597,626940,558004,,,,,,
Female,50-64 years,Other,562209,284051,257367,,,,,,
Female,50-64 years,Unknown,247279,135500,113570,,,,,,
Female,50-64 years,White,1458671,775936,701364,,,,,,
Female,65-79 years,Asian,94208,46490,42087,,,,,,
Female,65-79 years,Black,211145,106105,96313,,,,,,
Female,65-79 years,Hispanic,613453,307729,277710,,,,,,
Female,65-79 years,Other,549061,253405,234108,,,,,,
Female,65-79 years,Unknown,174970,94178,79749,,,,,,
Female,65-79 years,White,1248051,621300,570613,,,,,,
Female,80+ years,Asian,17703,8869,7900,,,,,,
Female,80+ years,Black,45415,23349,20851,,,,,,
Female,80+ years,Hispanic,148847,75917,66750,,,,,,
Female,80+ years,Other,195106,91694,82812,,,,,,
Female,80+ years,Unknown,68581,37455,30553,,,,,,
Female,80+ years,White,357865,179394,163326,,,,,,
Female,Unknown,Asian,142,104,44,,,,,,
Female,Unknown,Black,227,175,64,,,,,,
Female,Unknown,Hispanic,1345,1043,358,,,,,,
Female,Unknown,Other,506,346,165,,,,,,
Female,Unknown,Unknown,876,748,141,,,,,,
Female,Unknown,White,972,728,287,,,,,,
Male,12-15 years,Asian,46101,24580,21503,,,,,,
Male,12-15 years,Black,58921,32687,26189,,,,,,
Male,12-15 years,Hispanic,393309,220896,172162,,,,,,
Male,12-15 years,Other,188295,102298,85816,,,,,,
Male,12-15 years,Unknown,18682,11239,7440,,,,,,
Male,12-15 years,White,170873,93823,76921,,,,,,
Male,16-49 years,Asian,558278,306002,275936,,,,,,
Male,16-49 years,Black,587409,333507,273944,,,,,,
Male,16-49 years,Hispanic,2974422,1700277,1401690,,,,,,
Male,16-49 years,Other,1035300,578219,488465,,,,,,
Male,16-49 years,Unknown,405736,238588,185680,,,,,,
Male,16-49 years,White,2243097,1258285,1091612,,,,,,
Male,50-64 years,Asian,174996,92228,84519,,,,,,
Male,50-64 years,Black,317701,172792,151627,,,,,,
Male,50-64 years,Hispanic,1073944,578653,510923,,,,,,
Male,50-64 years,Other,472478,243865,219232,,,,,,
Male,50-64 years,Unknown,203994,114830,94589,,,,,,
Male,50-64 years,White,1350596,731516,657670,,,,,,
Male,65-79 years,Asian,80205,39141,35523,,,,,,
Male,65-79 years,Black,143686,73378,65624,,,,,,
Male,65-79 years,Hispanic,481736,243039,218728,,,,,,
Male,65-79 years,Other,434552,200713,184412,,,,,,
Male,65-79 years,Unknown,151340,81902,69040,,,,,,
Male,65-79 years,White,1082123,541460,495639,,,,,,
Male,80+ years,Asian,14078,6857,6161,,,,,,
Male,80+ years,Black,20858,10784,9400,,,,,,
Male,80+ years,Hispanic,89572,45501,39987,,,,,,
Male,80+ years,Other,114222,52862,47571,,,,,,
Male,80+ years,Unknown,42084,23078,18547,,,,,,
Male,80+ years,White,257624,127910,115851,,,,,,
Male,Unknown,Asian,139,101,41,,,,,,
Male,Unknown,Black,188,142,58,,,,,,
Male,Unknown,Hispanic,1369,1059,392,,,,,,
Male,Unknown,Other,460,318,155,,,,,,
Male,Unknown,Unknown,632,535,109,,,,,,
Male,Unknown,White,885,670,256,,,,,,
Unknown,12-15 years,Asian,57,31,26,,,,,,
Unknown,12-15 years,Black,33,21,12,,,,,,
Unknown,12-15 years,Hispanic,145,101,46,,,,,,
Unknown,12-15 years,Other,83,57,26,,,,,,
Unknown,12-15 years,Unknown,80,53,27,,,,,,
Unknown,12-15 years,White,138,84,55,,,,,,
Unknown,16-49 years,Asian,2148,1201,1033,,,,,,
Unknown,16-49 years,Black,1914,1107,915,,,,,,
Unknown,16-49 years,Hispanic,17934,10556,9503,,,,,,
Unknown,16-49 years,Other,18988,10961,9113,,,,,,
Unknown,16-49 years,Unknown,7123,4419,3091,,,,,,
Unknown,16-49 years,White,12519,6757,6112,,,,,,
Unknown,50-64 years,Asian,943,509,438,,,,,,
Unknown,50-64 years,Black,1111,628,532,,,,,,
Unknown,50-64 years,Hispanic,11803,6366,5860,,,,,,
Unknown,50-64 years,Other,14806,8265,7196,,,,,,
Unknown,50-64 years,Unknown,2838,1695,1259,,,,,,
Unknown,50-64 years,White,9416,5007,4604,,,,,,
Unknown,65-79 years,Asian,964,487,442,,,,,,
Unknown,65-79 years,Black,972,533,461,,,,,,
Unknown,65-79 years,Hispanic,5874,3186,2793,,,,,,
Unknown,65-79 years,Other,9089,5037,4271,,,,,,
Unknown,65-79 years,Unknown,1998,1160,848,,,,,,
Unknown,65-79 years,White,8453,4456,4037,,,,,,
