Gender ,Agegrp_v2,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with at least One Booster Doses,,,,,
Female, 6mo-4yr,Asian,1426,1401,4,0,,,,,
Female, 6mo-4yr,Black,584,575,1,0,,,,,
Female, 6mo-4yr,Hispanic,5035,4957,17,0,,,,,
Female, 6mo-4yr,Other,757,738,6,0,,,,,
Female, 6mo-4yr,Unknown,409,396,6,0,,,,,
Female, 6mo-4yr,White,4354,4295,17,0,,,,,
Female,2022-05-11 00:00:00,Asian,59371,31266,26154,1940,,,,,
Female,2022-05-11 00:00:00,Black,46592,25752,19990,847,,,,,
Female,2022-05-11 00:00:00,Hispanic,506552,308601,190110,7743,,,,,
Female,2022-05-11 00:00:00,Other,175713,94481,75232,5956,,,,,
Female,2022-05-11 00:00:00,Unknown,33149,20927,11925,294,,,,,
Female,2022-05-11 00:00:00,White,143915,77423,61418,5038,,,,,
Female,2022-12-15 00:00:00,Asian,53752,25115,22191,6415,,,,,
Female,2022-12-15 00:00:00,Black,75011,38563,32049,4374,,,,,
Female,2022-12-15 00:00:00,Hispanic,597077,321022,240109,35821,,,,,
Female,2022-12-15 00:00:00,Other,251039,122412,106079,22344,,,,,
Female,2022-12-15 00:00:00,Unknown,23213,14004,8396,811,,,,,
Female,2022-12-15 00:00:00,White,201879,100535,85062,16177,,,,,
Female,16-49,Asian,723831,322724,278752,133814,,,,,
Female,16-49,Black,959039,468243,397129,113931,,,,,
Female,16-49,Hispanic,4395030,2202532,1795310,534473,,,,,
Female,16-49,Other,1796027,822175,718467,295893,,,,,
Female,16-49,Unknown,456266,261540,176123,33991,,,,,
Female,16-49,White,3077624,1472021,1274817,435259,,,,,
Female,50-64,Asian,246138,103109,89390,51572,,,,,
Female,50-64,Black,505077,211989,191561,100616,,,,,
Female,50-64,Hispanic,1641135,721365,612124,308101,,,,,
Female,50-64,Other,1043543,406049,372903,234366,,,,,
Female,50-64,Unknown,192216,102138,72702,22208,,,,,
Female,50-64,White,1882935,809208,729254,355615,,,,,
Female,65-79,Asian,123274,49210,41620,27323,,,,,
Female,65-79,Black,285078,108239,99283,66973,,,,,
Female,65-79,Hispanic,877974,353523,302076,192278,,,,,
Female,65-79,Other,1022127,349597,329016,258314,,,,,
Female,65-79,Unknown,117053,60616,42378,14812,,,,,
Female,65-79,White,1658213,639292,583244,372154,,,,,
Female,80+,Asian,23239,9319,7875,5096,,,,,
Female,80+,Black,61733,24181,21722,14084,,,,,
Female,80+,Hispanic,213950,87586,74024,45746,,,,,
Female,80+,Other,330639,114983,107192,82166,,,,,
Female,80+,Unknown,43834,22959,15912,4963,,,,,
Female,80+,White,493843,189582,172078,113240,,,,,
Female,Unknown,Asian,67,53,14,0,,,,,
Female,Unknown,Black,131,105,26,0,,,,,
Female,Unknown,Hispanic,743,627,115,,,,,,
Female,Unknown,Other,141,113,28,0,,,,,
Female,Unknown,Unknown,700,615,85,0,,,,,
Female,Unknown,White,490,391,99,0,,,,,
Male, 6mo-4yr,Asian,1497,1467,7,0,,,,,
Male, 6mo-4yr,Black,561,559,,0,,,,,
Male, 6mo-4yr,Hispanic,4900,4828,19,0,,,,,
Male, 6mo-4yr,Other,860,835,4,0,,,,,
Male, 6mo-4yr,Unknown,387,373,4,0,,,,,
Male, 6mo-4yr,White,4456,4376,19,0,,,,,
Male,2022-05-11 00:00:00,Asian,62348,32865,27499,1963,,,,,
Male,2022-05-11 00:00:00,Black,47037,26124,20073,832,,,,,
Male,2022-05-11 00:00:00,Hispanic,510688,311599,191082,7905,,,,,
Male,2022-05-11 00:00:00,Other,178935,96246,76489,6146,,,,,
Male,2022-05-11 00:00:00,Unknown,34265,21710,12259,295,,,,,
Male,2022-05-11 00:00:00,White,150222,80742,64047,5390,,,,,
Male,2022-12-15 00:00:00,Asian,54891,25743,22790,6325,,,,,
Male,2022-12-15 00:00:00,Black,73992,38100,31517,4350,,,,,
Male,2022-12-15 00:00:00,Hispanic,592512,322465,235788,34138,,,,,
Male,2022-12-15 00:00:00,Other,251330,123075,106185,21872,,,,,
Male,2022-12-15 00:00:00,Unknown,24167,14729,8692,751,,,,,
Male,2022-12-15 00:00:00,White,203335,102037,85511,15703,,,,,
Male,16-49,Asian,704882,332366,284242,122508,,,,,
Male,16-49,Black,761386,384025,319383,84195,,,,,
Male,16-49,Hispanic,3880472,2034196,1617567,400715,,,,,
Male,16-49,Other,1593732,762910,651423,239885,,,,,
Male,16-49,Unknown,418310,257710,161347,24031,,,,,
Male,16-49,White,2792864,1380254,1183849,368601,,,,,
Male,50-64,Asian,226973,95354,84071,48518,,,,,
Male,50-64,Black,421070,183955,162479,79110,,,,,
Male,50-64,Hispanic,1470142,661230,563875,259560,,,,,
Male,50-64,Other,862126,345011,313617,185995,,,,,
Male,50-64,Unknown,171116,94682,66551,17146,,,,,
Male,50-64,White,1750465,773547,690052,315649,,,,,
Male,65-79,Asian,105296,41461,35132,23655,,,,,
Male,65-79,Black,196544,76632,68452,45256,,,,,
Male,65-79,Hispanic,695637,279421,240603,153759,,,,,
Male,65-79,Other,806562,277943,259851,202419,,,,,
Male,65-79,Unknown,105118,54720,38199,13285,,,,,
Male,65-79,White,1449465,566520,511653,320876,,,,,
Male,80+,Asian,18819,7216,6188,4301,,,,,
Male,80+,Black,28541,11365,9853,6425,,,,,
Male,80+,Hispanic,130282,52645,44526,28546,,,,,
Male,80+,Other,203006,68865,63920,51449,,,,,
Male,80+,Unknown,29074,15414,10284,3357,,,,,
Male,80+,White,356000,135610,121427,82349,,,,,
