Gender,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,,,,,,,,,
Female,16-49 years,Asian,60939,38396,22543,,,,,,,,,
Female,16-49 years,Black,44573,28937,15636,,,,,,,,,
Female,16-49 years,Hispanic,160807,108872,51935,,,,,,,,,
Female,16-49 years,White,248689,158549,90140,,,,,,,,,
Female,16-49 years,Other,82381,54663,27718,,,,,,,,,
Female,16-49 years,Unknown,326822,210160,116662,,,,,,,,,
Female,50-64 years,Asian,31030,20690,10340,,,,,,,,,
Female,50-64 years,Black,39476,27274,12202,,,,,,,,,
Female,50-64 years,Hispanic,95083,68931,26152,,,,,,,,,
Female,50-64 years,White,187162,129640,57522,,,,,,,,,
Female,50-64 years,Other,52978,36649,16329,,,,,,,,,
Female,50-64 years,Unknown,212879,143565,69314,,,,,,,,,
Female,65-79 years,Asian,35614,25255,10359,,,,,,,,,
Female,65-79 years,Black,41449,31534,9915,,,,,,,,,
Female,65-79 years,Hispanic,90189,68013,22176,,,,,,,,,
Female,65-79 years,White,330706,242618,88088,,,,,,,,,
Female,65-79 years,Other,61704,43795,17909,,,,,,,,,
Female,65-79 years,Unknown,234973,169012,65961,,,,,,,,,
Female,80+ years,Asian,7679,5274,2405,,,,,,,,,
Female,80+ years,Black,9084,6856,2228,,,,,,,,,
Female,80+ years,Hispanic,22611,17254,5357,,,,,,,,,
Female,80+ years,White,98786,71042,27744,,,,,,,,,
Female,80+ years,Other,52476,35483,16993,,,,,,,,,
Female,80+ years,Unknown,83272,59751,23521,,,,,,,,,
Female,Unknown,Asian,24,21,3,,,,,,,,,
Female,Unknown,Black,34,26,8,,,,,,,,,
Female,Unknown,Hispanic,180,164,16,,,,,,,,,
Female,Unknown,White,239,212,27,,,,,,,,,
Female,Unknown,Other,31,26,5,,,,,,,,,
Female,Unknown,Unknown,934,832,102,,,,,,,,,
Male,16-49 years,Asian,41708,26975,14733,,,,,,,,,
Male,16-49 years,Black,20787,13939,6848,,,,,,,,,
Male,16-49 years,Hispanic,94528,66495,28033,,,,,,,,,
Male,16-49 years,White,138898,92139,46759,,,,,,,,,
Male,16-49 years,Other,41827,28191,13636,,,,,,,,,
Male,16-49 years,Unknown,200486,131014,69472,,,,,,,,,
Male,50-64 years,Asian,23483,16079,7404,,,,,,,,,
Male,50-64 years,Black,23294,16719,6575,,,,,,,,,
Male,50-64 years,Hispanic,65223,48304,16919,,,,,,,,,
Male,50-64 years,White,129574,92215,37359,,,,,,,,,
Male,50-64 years,Other,30454,21325,9129,,,,,,,,,
Male,50-64 years,Unknown,144936,99399,45537,,,,,,,,,
Male,65-79 years,Asian,31474,22244,9230,,,,,,,,,
Male,65-79 years,Black,26986,20500,6486,,,,,,,,,
Male,65-79 years,Hispanic,68520,51427,17093,,,,,,,,,
Male,65-79 years,White,284801,208210,76591,,,,,,,,,
Male,65-79 years,Other,45803,32503,13300,,,,,,,,,
Male,65-79 years,Unknown,194637,139437,55200,,,,,,,,,
Male,80+ years,Asian,6698,4501,2197,,,,,,,,,
Male,80+ years,Black,4613,3403,1210,,,,,,,,,
Male,80+ years,Hispanic,13902,10557,3345,,,,,,,,,
Male,80+ years,White,78673,55095,23578,,,,,,,,,
Male,80+ years,Other,22684,15518,7166,,,,,,,,,
Male,80+ years,Unknown,53943,38751,15192,,,,,,,,,
Male,Unknown,Asian,30,22,8,,,,,,,,,
Male,Unknown,Black,25,23,2,,,,,,,,,
Male,Unknown,Hispanic,127,115,12,,,,,,,,,
Male,Unknown,White,201,181,20,,,,,,,,,
Male,Unknown,Other,36,33,3,,,,,,,,,
Male,Unknown,Unknown,625,572,53,,,,,,,,,
Unknown,16-49 years,Asian,944,628,316,,,,,,,,,
Unknown,16-49 years,Black,581,394,187,,,,,,,,,
Unknown,16-49 years,Hispanic,1343,906,437,,,,,,,,,
Unknown,16-49 years,White,2802,1806,996,,,,,,,,,
Unknown,16-49 years,Other,2164,1289,875,,,,,,,,,
Unknown,16-49 years,Unknown,11244,9337,1907,,,,,,,,,
Unknown,50-64 years,Asian,655,431,224,,,,,,,,,
Unknown,50-64 years,Black,601,414,187,,,,,,,,,
Unknown,50-64 years,Hispanic,655,492,163,,,,,,,,,
Unknown,50-64 years,White,2375,1554,821,,,,,,,,,
Unknown,50-64 years,Other,1322,814,508,,,,,,,,,
Unknown,50-64 years,Unknown,11213,8977,2236,,,,,,,,,
Unknown,65-79 years,Asian,1938,1197,741,,,,,,,,,
Unknown,65-79 years,Black,1216,818,398,,,,,,,,,
Unknown,65-79 years,Hispanic,1416,983,433,,,,,,,,,
Unknown,65-79 years,White,11639,7403,4236,,,,,,,,,
Unknown,65-79 years,Other,4851,2921,1930,,,,,,,,,
Unknown,65-79 years,Unknown,19267,13441,5826,,,,,,,,,
Unknown,80+ years,Asian,324,206,118,,,,,,,,,
Unknown,80+ years,Black,181,127,54,,,,,,,,,
Unknown,80+ years,Hispanic,269,179,90,,,,,,,,,
Unknown,80+ years,White,2182,1422,760,,,,,,,,,
Unknown,80+ years,Other,861,526,335,,,,,,,,,
Unknown,80+ years,Unknown,3138,2299,839,,,,,,,,,
Unknown,Unknown,Asian,1,1,0,,,,,,,,,
Unknown,Unknown,Black,1,1,0,,,,,,,,,
Unknown,Unknown,Hispanic,5,5,0,,,,,,,,,
Unknown,Unknown,White,10,10,0,,,,,,,,,
Unknown,Unknown,Other,1,1,0,,,,,,,,,
Unknown,Unknown,Unknown,50,41,9,,,,,,,,,
Texas,Total,Total,4485029,3118003,1367026,,,,,,,,,
