Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with Booster Doses,,,,,
Female,2022-05-11 00:00:00,Asian,52497,28763,23685,49,,,,,
Female,2022-05-11 00:00:00,Black,40536,23059,17449,29,,,,,
Female,2022-05-11 00:00:00,Hispanic,397425,245813,151242,389,,,,,
Female,2022-05-11 00:00:00,Other,153122,86120,66830,178,,,,,
Female,2022-05-11 00:00:00,Unknown,29867,19053,10802,14,,,,,
Female,2022-05-11 00:00:00,White,127228,71566,55548,121,,,,,
Female,2022-12-15 00:00:00,Asian,51220,24744,21879,4605,,,,,
Female,2022-12-15 00:00:00,Black,72005,37707,31252,3050,,,,,
Female,2022-12-15 00:00:00,Hispanic,542932,293587,224710,24763,,,,,
Female,2022-12-15 00:00:00,Other,238944,119552,103191,16217,,,,,
Female,2022-12-15 00:00:00,Unknown,22348,13431,8361,558,,,,,
Female,2022-12-15 00:00:00,White,194394,98970,83420,12033,,,,,
Female,16-49,Asian,706170,319757,277492,123189,,,,,
Female,16-49,Black,920050,456330,386156,100263,,,,,
Female,16-49,Hispanic,4196776,2118221,1752147,472074,,,,,
Female,16-49,Other,1712587,797807,698362,267153,,,,,
Female,16-49,Unknown,446485,249805,181041,31307,,,,,
Female,16-49,White,2998498,1452629,1259134,402412,,,,,
Female,50-64,Asian,233232,101876,89054,47730,,,,,
Female,50-64,Black,480340,210922,189997,92151,,,,,
Female,50-64,Hispanic,1533953,698954,597745,277873,,,,,
Female,50-64,Other,940046,391979,359080,211225,,,,,
Female,50-64,Unknown,198070,105391,77265,22249,,,,,
Female,50-64,White,1788834,803926,723693,330832,,,,,
Female,65-79,Asian,113144,48294,41264,25450,,,,,
Female,65-79,Black,264252,108528,99100,62067,,,,,
Female,65-79,Hispanic,794838,341546,292794,174586,,,,,
Female,65-79,Other,872849,336474,314518,232102,,,,,
Female,65-79,Unknown,123495,64476,46316,15805,,,,,
Female,65-79,White,1526201,636021,578608,348085,,,,,
Female,80+,Asian,21167,9144,7772,4682,,,,,
Female,80+,Black,57519,24187,21671,13143,,,,,
Female,80+,Hispanic,193790,84576,71674,41134,,,,,
Female,80+,Other,286547,111889,103498,73638,,,,,
Female,80+,Unknown,45198,24018,16932,5142,,,,,
Female,80+,White,454256,188479,170624,105503,,,,,
Female,Unknown,Asian,125,93,37,,,,,,
Female,Unknown,Black,185,148,44,6,,,,,
Female,Unknown,Hispanic,1281,1080,263,6,,,,,
Female,Unknown,Other,222,180,45,0,,,,,
Female,Unknown,Unknown,806,701,117,,,,,,
Female,Unknown,White,736,579,193,10,,,,,
Male,2022-05-11 00:00:00,Asian,55032,30212,24768,52,,,,,
Male,2022-05-11 00:00:00,Black,40988,23389,17569,30,,,,,
Male,2022-05-11 00:00:00,Hispanic,399797,247381,152062,378,,,,,
Male,2022-05-11 00:00:00,Other,156270,88043,68032,201,,,,,
Male,2022-05-11 00:00:00,Unknown,31076,19876,11185,17,,,,,
Male,2022-05-11 00:00:00,White,132394,74362,57913,126,,,,,
Male,2022-12-15 00:00:00,Asian,52438,25455,22458,4528,,,,,
Male,2022-12-15 00:00:00,Black,70857,37194,30654,3016,,,,,
Male,2022-12-15 00:00:00,Hispanic,537691,293834,220401,23565,,,,,
Male,2022-12-15 00:00:00,Other,239478,120246,103295,15963,,,,,
Male,2022-12-15 00:00:00,Unknown,23015,13967,8554,502,,,,,
Male,2022-12-15 00:00:00,White,196029,100534,83918,11606,,,,,
Male,16-49,Asian,687000,326895,282287,113440,,,,,
Male,16-49,Black,733781,375549,311999,74206,,,,,
Male,16-49,Hispanic,3723496,1962599,1582465,354849,,,,,
Male,16-49,Other,1524312,740772,634353,216920,,,,,
Male,16-49,Unknown,393077,233001,162620,22032,,,,,
Male,16-49,White,2726827,1362579,1169982,341512,,,,,
Male,50-64,Asian,215665,94556,83861,45067,,,,,
Male,50-64,Black,401105,182894,161105,72425,,,,,
Male,50-64,Hispanic,1384240,644117,551936,233888,,,,,
Male,50-64,Other,777743,332946,301784,167010,,,,,
Male,50-64,Unknown,174355,96403,69601,17095,,,,,
Male,50-64,White,1665375,767919,684107,293557,,,,,
Male,65-79,Asian,96358,40817,34872,22136,,,,,
Male,65-79,Black,181582,76513,67829,42048,,,,,
Male,65-79,Hispanic,629645,270351,232701,139721,,,,,
Male,65-79,Other,687482,267122,247256,182128,,,,,
Male,65-79,Unknown,111046,58437,41551,14221,,,,,
Male,65-79,White,1331870,562110,505009,300253,,,,,
Male,80+,Asian,16874,7090,6134,3954,,,,,
Male,80+,Black,26440,11343,9752,6057,,,,,
Male,80+,Hispanic,116943,50694,42787,25781,,,,,
Male,80+,Other,171972,66626,60974,45993,,,,,
Male,80+,Unknown,30117,16199,10959,3541,,,,,
Male,80+,White,323581,134363,119440,76890,,,,,
Male,Unknown,Asian,139,100,42,,,,,,
Male,Unknown,Black,141,113,36,,,,,,
Male,Unknown,Hispanic,1229,1038,257,10,,,,,
Male,Unknown,Other,206,162,57,,,,,,
Male,Unknown,Unknown,578,501,87,0,,,,,
Male,Unknown,White,667,523,180,6,,,,,
Unknown,2022-05-11 00:00:00,Asian,36,24,12,0,,,,,
Unknown,2022-05-11 00:00:00,Black,9,6,3,0,,,,,
Unknown,2022-05-11 00:00:00,Hispanic,714,648,66,0,,,,,
Unknown,2022-05-11 00:00:00,Other,74,55,19,0,,,,,
Unknown,2022-05-11 00:00:00,Unknown,140,94,46,0,,,,,
Unknown,2022-05-11 00:00:00,White,43,33,10,0,,,,,
Unknown,2022-12-15 00:00:00,Asian,32,17,12,,,,,,
Unknown,2022-12-15 00:00:00,Black,32,20,12,0,,,,,
Unknown,2022-12-15 00:00:00,Hispanic,529,467,64,0,,,,,
Unknown,2022-12-15 00:00:00,Other,102,68,32,,,,,,
Unknown,2022-12-15 00:00:00,Unknown,143,118,24,,,,,,
Unknown,2022-12-15 00:00:00,White,124,77,44,,,,,,
Unknown,16-49,Asian,1507,840,658,103,,,,,
Unknown,16-49,Black,1625,927,728,65,,,,,
Unknown,16-49,Hispanic,13359,8213,6664,515,,,,,
Unknown,16-49,Other,11072,6724,4805,383,,,,,
Unknown,16-49,Unknown,5878,3617,2378,201,,,,,
Unknown,16-49,White,7716,4268,3548,255,,,,,
Unknown,50-64,Asian,641,334,273,59,,,,,
Unknown,50-64,Black,736,389,323,66,,,,,
Unknown,50-64,Hispanic,6618,3490,3071,424,,,,,
Unknown,50-64,Other,6958,3987,3046,346,,,,,
Unknown,50-64,Unknown,1966,1134,810,150,,,,,
Unknown,50-64,White,4347,2337,1987,175,,,,,
Unknown,65-79,Asian,502,242,203,62,,,,,
Unknown,65-79,Black,448,235,191,43,,,,,
Unknown,65-79,Hispanic,3314,1720,1451,258,,,,,
Unknown,65-79,Other,4244,2403,1754,265,,,,,
Unknown,65-79,Unknown,1233,677,475,103,,,,,
Unknown,65-79,White,3359,1789,1483,159,,,,,
Unknown,80+,Asian,117,61,48,8,,,,,
Unknown,80+,Black,104,59,40,11,,,,,
Unknown,80+,Hispanic,750,398,325,51,,,,,
Unknown,80+,Other,1042,647,384,46,,,,,
Unknown,80+,Unknown,392,243,133,21,,,,,
Unknown,80+,White,890,489,374,51,,,,,
Unknown,Unknown,Asian,1,1,0,0,,,,,
Unknown,Unknown,Hispanic,7,7,1,0,,,,,
Unknown,Unknown,Other,78,72,7,0,,,,,
Unknown,Unknown,Unknown,15,14,2,0,,,,,
Unknown,Unknown,White,18,17,1,0,,,,,
Grand Total,Total,Total,42983996,20556161,17367344,6420385,,,,,
