Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with Booster Doses,,,,,
Female,2022-05-11 00:00:00,Asian,51340,28281,23016,43,,,,,
Female,2022-05-11 00:00:00,Black,39137,22477,16638,23,,,,,
Female,2022-05-11 00:00:00,Hispanic,353729,217001,136476,282,,,,,
Female,2022-05-11 00:00:00,Other,148579,84332,64105,157,,,,,
Female,2022-05-11 00:00:00,Unknown,28887,18699,10176,13,,,,,
Female,2022-05-11 00:00:00,White,124105,70303,53703,113,,,,,
Female,2022-12-15 00:00:00,Asian,50643,24666,21760,4225,,,,,
Female,2022-12-15 00:00:00,Black,71239,37496,30965,2782,,,,,
Female,2022-12-15 00:00:00,Hispanic,523064,281847,219282,22055,,,,,
Female,2022-12-15 00:00:00,Other,236561,119088,102458,15031,,,,,
Female,2022-12-15 00:00:00,Unknown,21980,13287,8190,505,,,,,
Female,2022-12-15 00:00:00,White,192878,98702,82982,11223,,,,,
Female,16-49,Asian,702328,319038,277000,120549,,,,,
Female,16-49,Black,910359,453578,382869,96498,,,,,
Female,16-49,Hispanic,4139840,2092583,1738208,453351,,,,,
Female,16-49,Other,1696170,792638,693533,260391,,,,,
Female,16-49,Unknown,446945,249951,181824,30791,,,,,
Female,16-49,White,2982119,1448660,1254382,394342,,,,,
Female,50-64,Asian,232318,101698,89000,47042,,,,,
Female,50-64,Black,477597,210674,189549,90095,,,,,
Female,50-64,Hispanic,1518760,693437,594987,270647,,,,,
Female,50-64,Other,931322,389401,356623,207376,,,,,
Female,50-64,Unknown,199020,105925,77930,22026,,,,,
Female,50-64,White,1782613,803216,722663,326259,,,,,
Female,65-79,Asian,112769,48244,41240,25148,,,,,
Female,65-79,Black,263003,108481,98932,61032,,,,,
Female,65-79,Hispanic,788975,339792,291816,171321,,,,,
Female,65-79,Other,865512,334388,312368,228936,,,,,
Female,65-79,Unknown,124252,64915,46739,15726,,,,,
Female,65-79,White,1521730,635830,577998,344386,,,,,
Female,80+,Asian,21090,9132,7763,4626,,,,,
Female,80+,Black,57256,24172,21633,12937,,,,,
Female,80+,Hispanic,192205,84126,71371,40276,,,,,
Female,80+,Other,284777,111452,103044,72740,,,,,
Female,80+,Unknown,45451,24161,17092,5102,,,,,
Female,80+,White,452942,188416,170466,104411,,,,,
Female,Unknown,Asian,124,93,36,,,,,,
Female,Unknown,Black,182,147,43,,,,,,
Female,Unknown,Hispanic,1161,975,248,6,,,,,
Female,Unknown,Other,218,176,45,0,,,,,
Female,Unknown,Unknown,817,708,121,,,,,,
Female,Unknown,White,729,574,192,8,,,,,
Male,2022-05-11 00:00:00,Asian,53894,29746,24102,46,,,,,
Male,2022-05-11 00:00:00,Black,39522,22787,16708,27,,,,,
Male,2022-05-11 00:00:00,Hispanic,356870,219093,137535,275,,,,,
Male,2022-05-11 00:00:00,Other,151792,86330,65291,185,,,,,
Male,2022-05-11 00:00:00,Unknown,30046,19458,10576,14,,,,,
Male,2022-05-11 00:00:00,White,129134,73033,56004,117,,,,,
Male,2022-12-15 00:00:00,Asian,51926,25387,22372,4170,,,,,
Male,2022-12-15 00:00:00,Black,70047,36990,30367,2697,,,,,
Male,2022-12-15 00:00:00,Hispanic,518147,282143,215071,21036,,,,,
Male,2022-12-15 00:00:00,Other,237258,119828,102640,14815,,,,,
Male,2022-12-15 00:00:00,Unknown,22721,13876,8410,442,,,,,
Male,2022-12-15 00:00:00,White,194544,100227,83465,10880,,,,,
Male,16-49,Asian,682403,325166,281387,111002,,,,,
Male,16-49,Black,726788,373472,309751,71389,,,,,
Male,16-49,Hispanic,3678830,1941706,1570366,341142,,,,,
Male,16-49,Other,1510833,736261,630335,211444,,,,,
Male,16-49,Unknown,391597,231979,162397,21491,,,,,
Male,16-49,White,2712479,1358530,1166125,334507,,,,,
Male,50-64,Asian,214790,94333,83787,44424,,,,,
Male,50-64,Black,398700,182645,160691,70672,,,,,
Male,50-64,Hispanic,1371744,640019,549423,227721,,,,,
Male,50-64,Other,771052,331013,299981,163909,,,,,
Male,50-64,Unknown,174605,96623,69916,16815,,,,,
Male,50-64,White,1659550,767028,683157,289406,,,,,
Male,65-79,Asian,96016,40738,34846,21902,,,,,
Male,65-79,Black,180775,76480,67697,41405,,,,,
Male,65-79,Hispanic,624919,269000,231854,137092,,,,,
Male,65-79,Other,682409,265767,245813,179815,,,,,
Male,65-79,Unknown,111648,58747,41899,14177,,,,,
Male,65-79,White,1327636,561666,504288,297160,,,,,
Male,80+,Asian,16802,7079,6123,3904,,,,,
Male,80+,Black,26345,11337,9740,5980,,,,,
Male,80+,Hispanic,116074,50443,42619,25320,,,,,
Male,80+,Other,170886,66332,60672,45483,,,,,
Male,80+,Unknown,30302,16289,11062,3538,,,,,
Male,80+,White,322547,134216,119254,76188,,,,,
Male,Unknown,Asian,136,97,42,,,,,,
Male,Unknown,Black,139,112,35,,,,,,
Male,Unknown,Hispanic,1120,934,253,10,,,,,
Male,Unknown,Other,203,160,56,,,,,,
Male,Unknown,Unknown,578,501,86,0,,,,,
Male,Unknown,White,661,520,179,,,,,,
Unknown,2022-05-11 00:00:00,Asian,32,22,10,0,,,,,
Unknown,2022-05-11 00:00:00,Black,9,6,3,0,,,,,
Unknown,2022-05-11 00:00:00,Hispanic,133,93,40,0,,,,,
Unknown,2022-05-11 00:00:00,Other,74,55,19,0,,,,,
Unknown,2022-05-11 00:00:00,Unknown,137,93,44,0,,,,,
Unknown,2022-05-11 00:00:00,White,43,33,10,0,,,,,
Unknown,2022-12-15 00:00:00,Asian,32,17,12,,,,,,
