Gender ,Agegrp,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with Booster Doses,,,,,
Female,2022-05-11 00:00:00,Asian,54491,29743,24688,60,,,,,
Female,2022-05-11 00:00:00,Black,42949,24246,18662,42,,,,,
Female,2022-05-11 00:00:00,Hispanic,448521,279402,168610,529,,,,,
Female,2022-05-11 00:00:00,Other,160664,89834,70609,226,,,,,
Female,2022-05-11 00:00:00,Unknown,31341,19798,11529,17,,,,,
Female,2022-05-11 00:00:00,White,132327,74117,58059,157,,,,,
Female,2022-12-15 00:00:00,Asian,51923,24878,21970,5083,,,,,
Female,2022-12-15 00:00:00,Black,73057,38041,31562,3458,,,,,
Female,2022-12-15 00:00:00,Hispanic,566813,307987,230343,28617,,,,,
Female,2022-12-15 00:00:00,Other,242894,120737,104220,17953,,,,,
Female,2022-12-15 00:00:00,Unknown,22849,13814,8401,636,,,,,
Female,2022-12-15 00:00:00,White,196708,99645,83962,13130,,,,,
Female,16-49,Asian,712631,321010,278112,127824,,,,,
Female,16-49,Black,935878,461339,390938,106518,,,,,
Female,16-49,Hispanic,4279718,2156135,1769896,500433,,,,,
Female,16-49,Other,1741457,807726,706145,278918,,,,,
Female,16-49,Unknown,449841,252604,179401,33523,,,,,
Female,16-49,White,3025816,1460497,1265611,415995,,,,,
Female,50-64,Asian,235645,102414,89257,49386,,,,,
Female,50-64,Black,485779,211507,190860,96151,,,,,
Female,50-64,Hispanic,1560701,707703,602742,291153,,,,,
Female,50-64,Other,958500,396915,363906,220211,,,,,
Female,50-64,Unknown,196112,104392,75658,22885,,,,,
Female,50-64,White,1803317,805983,725873,341225,,,,,
Female,65-79,Asian,114566,48662,41447,26318,,,,,
Female,65-79,Black,266745,108504,99257,64416,,,,,
Female,65-79,Hispanic,810096,345902,296168,182197,,,,,
Female,65-79,Other,894557,341442,320205,243278,,,,,
Female,65-79,Unknown,120227,62928,44769,15603,,,,,
Female,65-79,White,1540708,637460,580672,359128,,,,,
Female,80+,Asian,21484,9213,7825,4879,,,,,
Female,80+,Black,57984,24208,21699,13560,,,,,
Female,80+,Hispanic,197386,85594,72447,42973,,,,,
Female,80+,Other,292312,113046,104928,76848,,,,,
Female,80+,Unknown,44449,23613,16584,5137,,,,,
Female,80+,White,458462,188918,171194,108702,,,,,
Female,Unknown,Asian,129,96,38,,,,,,
Female,Unknown,Black,189,152,43,6,,,,,
Female,Unknown,Hispanic,1474,1256,279,8,,,,,
Female,Unknown,Other,227,184,46,0,,,,,
Female,Unknown,Unknown,812,706,119,,,,,,
Female,Unknown,White,740,580,194,10,,,,,
Male,2022-05-11 00:00:00,Asian,57210,31254,25898,59,,,,,
Male,2022-05-11 00:00:00,Black,43394,24569,18788,37,,,,,
Male,2022-05-11 00:00:00,Hispanic,451687,281750,169434,527,,,,,
Male,2022-05-11 00:00:00,Other,163772,91653,71870,256,,,,,
