Gender,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,,,,,,,,,
Female,16-49 years,Asian,59203,37579,21624,,,,,,,,,
Female,16-49 years,Black,43035,28157,14878,,,,,,,,,
Female,16-49 years,Hispanic,147704,101406,46298,,,,,,,,,
Female,16-49 years,White,238878,153186,85692,,,,,,,,,
Female,16-49 years,Other,79773,53717,26056,,,,,,,,,
Female,16-49 years,Unknown,321597,209579,112018,,,,,,,,,
Female,50-64 years,Asian,29760,20202,9558,,,,,,,,,
Female,50-64 years,Black,37666,26257,11409,,,,,,,,,
Female,50-64 years,Hispanic,85702,63444,22258,,,,,,,,,
Female,50-64 years,White,176836,123791,53045,,,,,,,,,
Female,50-64 years,Other,51095,35944,15151,,,,,,,,,
Female,50-64 years,Unknown,208085,143367,64718,,,,,,,,,
Female,65-79 years,Asian,33645,24712,8933,,,,,,,,,
Female,65-79 years,Black,38783,30142,8641,,,,,,,,,
Female,65-79 years,Hispanic,80438,62485,17953,,,,,,,,,
Female,65-79 years,White,310616,232740,77876,,,,,,,,,
Female,65-79 years,Other,59063,42730,16333,,,,,,,,,
Female,65-79 years,Unknown,228049,168996,59053,,,,,,,,,
Female,80+ years,Asian,7133,5169,1964,,,,,,,,,
Female,80+ years,Black,8474,6546,1928,,,,,,,,,
Female,80+ years,Hispanic,19825,15633,4192,,,,,,,,,
Female,80+ years,White,92474,68112,24362,,,,,,,,,
Female,80+ years,Other,51100,35265,15835,,,,,,,,,
Female,80+ years,Unknown,81688,60123,21565,,,,,,,,,
Female,Unknown,Asian,24,21,3,,,,,,,,,
Female,Unknown,Black,33,26,7,,,,,,,,,
Female,Unknown,Hispanic,166,152,14,,,,,,,,,
Female,Unknown,White,225,202,23,,,,,,,,,
Female,Unknown,Other,30,26,4,,,,,,,,,
Female,Unknown,Unknown,916,822,94,,,,,,,,,
Male,16-49 years,Asian,40305,26247,14058,,,,,,,,,
Male,16-49 years,Black,19774,13337,6437,,,,,,,,,
Male,16-49 years,Hispanic,84744,60604,24140,,,,,,,,,
Male,16-49 years,White,131783,88045,43738,,,,,,,,,
Male,16-49 years,Other,40105,27392,12713,,,,,,,,,
Male,16-49 years,Unknown,196589,130437,66152,,,,,,,,,
Male,50-64 years,Asian,22381,15639,6742,,,,,,,,,
Male,50-64 years,Black,22026,15939,6087,,,,,,,,,
Male,50-64 years,Hispanic,58205,44066,14139,,,,,,,,,
Male,50-64 years,White,121488,87559,33929,,,,,,,,,
Male,50-64 years,Other,29152,20738,8414,,,,,,,,,
Male,50-64 years,Unknown,141003,98896,42107,,,,,,,,,
Male,65-79 years,Asian,29778,21807,7971,,,,,,,,,
Male,65-79 years,Black,25171,19507,5664,,,,,,,,,
Male,65-79 years,Hispanic,61170,47250,13920,,,,,,,,,
Male,65-79 years,White,267171,199401,67770,,,,,,,,,
Male,65-79 years,Other,43771,31573,12198,,,,,,,,,
Male,65-79 years,Unknown,188509,139146,49363,,,,,,,,,
Male,80+ years,Asian,6243,4403,1840,,,,,,,,,
Male,80+ years,Black,4233,3205,1028,,,,,,,,,
Male,80+ years,Hispanic,12319,9642,2677,,,,,,,,,
Male,80+ years,White,73604,52812,20792,,,,,,,,,
Male,80+ years,Other,21969,15343,6626,,,,,,,,,
Male,80+ years,Unknown,52895,39093,13802,,,,,,,,,
Male,Unknown,Asian,30,22,8,,,,,,,,,
Male,Unknown,Black,22,20,2,,,,,,,,,
Male,Unknown,Hispanic,114,104,10,,,,,,,,,
Male,Unknown,White,189,170,19,,,,,,,,,
Male,Unknown,Other,35,32,3,,,,,,,,,
Male,Unknown,Unknown,616,564,52,,,,,,,,,
Unknown,16-49 years,Asian,953,637,316,,,,,,,,,
Unknown,16-49 years,Black,592,410,182,,,,,,,,,
Unknown,16-49 years,Hispanic,1389,967,422,,,,,,,,,
Unknown,16-49 years,White,2890,1913,977,,,,,,,,,
Unknown,16-49 years,Other,2215,1340,875,,,,,,,,,
Unknown,16-49 years,Unknown,10280,8394,1886,,,,,,,,,
Unknown,50-64 years,Asian,655,434,221,,,,,,,,,
Unknown,50-64 years,Black,596,417,179,,,,,,,,,
Unknown,50-64 years,Hispanic,653,493,160,,,,,,,,,
Unknown,50-64 years,White,2408,1604,804,,,,,,,,,
Unknown,50-64 years,Other,1318,814,504,,,,,,,,,
Unknown,50-64 years,Unknown,10556,8340,2216,,,,,,,,,
Unknown,65-79 years,Asian,1965,1226,739,,,,,,,,,
Unknown,65-79 years,Black,1229,832,397,,,,,,,,,
Unknown,65-79 years,Hispanic,1402,976,426,,,,,,,,,
Unknown,65-79 years,White,11772,7542,4230,,,,,,,,,
Unknown,65-79 years,Other,4879,2953,1926,,,,,,,,,
Unknown,65-79 years,Unknown,18891,13087,5804,,,,,,,,,
Unknown,80+ years,Asian,329,211,118,,,,,,,,,
Unknown,80+ years,Black,181,127,54,,,,,,,,,
Unknown,80+ years,Hispanic,269,181,88,,,,,,,,,
Unknown,80+ years,White,2200,1445,755,,,,,,,,,
Unknown,80+ years,Other,866,532,334,,,,,,,,,
Unknown,80+ years,Unknown,3032,2202,830,,,,,,,,,
Unknown,Unknown,Asian,1,1,0,,,,,,,,,
Unknown,Unknown,Black,1,1,0,,,,,,,,,
Unknown,Unknown,Hispanic,5,5,0,,,,,,,,,
Unknown,Unknown,White,10,10,0,,,,,,,,,
Unknown,Unknown,Other,1,1,0,,,,,,,,,
Unknown,Unknown,Unknown,50,41,9,,,,,,,,,
Texas,Total,Total,4268998,3020660,1248338,,,,,,,,,
