Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,,,,,,
Female,16-49 years,Asian,283789,197514,96395,,,,,,
Female,16-49 years,Black,225589,156651,80903,,,,,,
Female,16-49 years,Hispanic,1037954,728320,363684,,,,,,
Female,16-49 years,Other,266307,176408,100324,,,,,,
Female,16-49 years,Unknown,441050,274185,176048,,,,,,
Female,16-49 years,White,1098963,739467,414498,,,,,,
Female,50-64 years,Asian,126470,81131,49450,,,,,,
Female,50-64 years,Black,201660,130053,79937,,,,,,
Female,50-64 years,Hispanic,587092,382772,228288,,,,,,
Female,50-64 years,Other,164150,99706,69556,,,,,,
Female,50-64 years,Unknown,276105,167494,114025,,,,,,
Female,50-64 years,White,906216,577494,367855,,,,,,
Female,65-79 years & 80+ years,Asian,101951,57800,45995,,,,,,
Female,65-79 years & 80+ years,Black,177852,105870,76965,,,,,,
Female,65-79 years & 80+ years,Hispanic,467585,277279,202564,,,,,,
Female,65-79 years & 80+ years,Other,227997,132204,98591,,,,,,
Female,65-79 years & 80+ years,Unknown,353524,205212,152547,,,,,,
Female,65-79 years & 80+ years,White,1258025,715935,572644,,,,,,
Female,Unknown,Asian,81,73,14,,,,,,
Female,Unknown,Black,124,106,27,,,,,,
Female,Unknown,Hispanic,707,594,150,,,,,,
Female,Unknown,Other,131,103,31,,,,,,
Female,Unknown,Unknown,937,815,134,,,,,,
Female,Unknown,White,618,517,136,,,,,,
Male,16-49 years,Asian,249110,178776,80644,,,,,,
Male,16-49 years,Black,146925,106980,49603,,,,,,
Male,16-49 years,Hispanic,773636,563225,258502,,,,,,
Male,16-49 years,Other,193689,133715,70071,,,,,,
Male,16-49 years,Unknown,295910,191603,112696,,,,,,
Male,16-49 years,White,852546,604612,296764,,,,,,
Male,50-64 years,Asian,112741,73162,43402,,,,,,
Male,50-64 years,Black,142985,95594,55040,,,,,,
Male,50-64 years,Hispanic,469109,315496,176507,,,,,,
Male,50-64 years,Other,120135,74938,49766,,,,,,
Male,50-64 years,Unknown,201569,125635,80822,,,,,,
Male,50-64 years,White,759032,497180,297290,,,,,,
Male,65-79 years & 80+ years,Asian,86559,48801,39193,,,,,,
Male,65-79 years & 80+ years,Black,109600,65585,47363,,,,,,
Male,65-79 years & 80+ years,Hispanic,339230,202332,146482,,,,,,
Male,65-79 years & 80+ years,Other,155534,89404,68275,,,,,,
Male,65-79 years & 80+ years,Unknown,276967,159699,120666,,,,,,
Male,65-79 years & 80+ years,White,1037634,588716,473381,,,,,,
Male,Unknown,Asian,104,82,23,,,,,,
Male,Unknown,Black,80,67,16,,,,,,
Male,Unknown,Hispanic,600,513,125,,,,,,
Male,Unknown,Other,128,105,28,,,,,,
Male,Unknown,Unknown,652,569,91,,,,,,
Male,Unknown,White,523,447,111,,,,,,
Unknown,16-49 years,Asian,1610,1010,676,,,,,,
Unknown,16-49 years,Black,993,621,425,,,,,,
Unknown,16-49 years,Hispanic,4037,2921,1885,,,,,,
Unknown,16-49 years,Other,28832,15970,13897,,,,,,
Unknown,16-49 years,Unknown,5988,4190,2049,,,,,,
Unknown,16-49 years,White,12284,6791,5702,,,,,,
Unknown,50-64 years,Asian,920,540,406,,,,,,
Unknown,50-64 years,Black,999,610,435,,,,,,
Unknown,50-64 years,Hispanic,2374,1651,1116,,,,,,
Unknown,50-64 years,Other,27752,15058,13466,,,,,,
Unknown,50-64 years,Unknown,5704,3903,1916,,,,,,
Unknown,50-64 years,White,12951,6904,6237,,,,,,
Unknown,65-79 years & 80+ years,Asian,2275,1203,1078,,,,,,
Unknown,65-79 years & 80+ years,Black,1813,1008,842,,,,,,
Unknown,65-79 years & 80+ years,Hispanic,3839,2334,1689,,,,,,
Unknown,65-79 years & 80+ years,Other,22385,12127,10641,,,,,,
Unknown,65-79 years & 80+ years,Unknown,5616,3674,1979,,,,,,
Unknown,65-79 years & 80+ years,White,19366,10191,9303,,,,,,
Unknown,Unknown,Asian,1,1,0,,,,,,
Unknown,Unknown,Hispanic,6,6,0,,,,,,
Unknown,Unknown,Other,77,71,7,,,,,,
Unknown,Unknown,Unknown,18,16,3,,,,,,
Unknown,Unknown,White,14,14,0,,,,,,
Grand Total,Total,Total,14689729,9415753,5831374,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
