Gender ,Agegrp_v2,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with at least One Booster Doses,,,,,
Unknown,2022-05-11 00:00:00,Unknown,135,89,45,,,,,,
Unknown,2022-05-11 00:00:00,White,46,32,11,,,,,,
Unknown,2022-12-15 00:00:00,Asian,31,17,10,,,,,,
Unknown,2022-12-15 00:00:00,Black,36,22,14,0,,,,,
Unknown,2022-12-15 00:00:00,Hispanic,703,625,80,0,,,,,
Unknown,2022-12-15 00:00:00,Other,118,78,38,,,,,,
Unknown,2022-12-15 00:00:00,Unknown,131,110,20,,,,,,
Unknown,2022-12-15 00:00:00,White,124,79,42,,,,,,
Unknown,16-49,Asian,1432,797,613,107,,,,,
Unknown,16-49,Black,1560,888,695,69,,,,,
Unknown,16-49,Hispanic,13379,8364,6471,561,,,,,
Unknown,16-49,Other,10448,6409,4474,376,,,,,
Unknown,16-49,Unknown,5729,3547,2283,213,,,,,
Unknown,16-49,White,7336,4057,3352,268,,,,,
Unknown,50-64,Asian,616,319,257,59,,,,,
Unknown,50-64,Black,683,363,295,64,,,,,
Unknown,50-64,Hispanic,6244,3295,2848,428,,,,,
Unknown,50-64,Other,6299,3653,2712,315,,,,,
Unknown,50-64,Unknown,1854,1069,751,147,,,,,
Unknown,50-64,White,3918,2098,1777,172,,,,,
Unknown,65-79,Asian,431,202,164,58,,,,,
Unknown,65-79,Black,388,198,156,47,,,,,
Unknown,65-79,Hispanic,3065,1599,1297,256,,,,,
Unknown,65-79,Other,3870,2208,1559,251,,,,,
Unknown,65-79,Unknown,1152,638,426,99,,,,,
Unknown,65-79,White,2932,1553,1266,161,,,,,
Unknown,80+,Asian,109,57,41,8,,,,,
Unknown,80+,Black,105,61,38,11,,,,,
Unknown,80+,Hispanic,743,398,313,54,,,,,
Unknown,80+,Other,961,608,340,46,,,,,
Unknown,80+,Unknown,377,240,123,19,,,,,
Unknown,80+,White,831,468,332,48,,,,,
Unknown,Unknown,Asian,1,1,,0,,,,,
Unknown,Unknown,Hispanic,5,5,,0,,,,,
Unknown,Unknown,Other,68,63,5,0,,,,,
Unknown,Unknown,Unknown,13,12,1,0,,,,,
Unknown,Unknown,White,17,16,1,0,,,,,
Grand Total,Total,Total,45855003,21269175,17815555,7128563,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
