Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,,,,,,
Female,2021-05-11 00:00:00,Asian,23040,16991,6043,,,,,,
Female,2021-05-11 00:00:00,Black,12571,9379,3193,,,,,,
Female,2021-05-11 00:00:00,Hispanic,113031,85569,27454,,,,,,
Female,2021-05-11 00:00:00,Other,57853,41028,16817,,,,,,
Female,2021-05-11 00:00:00,Unknown,12010,9721,2289,,,,,,
Female,2021-05-11 00:00:00,White,61451,42277,19167,,,,,,
Female,2021-12-15 00:00:00,Asian,45241,24081,21123,,,,,,
Female,2021-12-15 00:00:00,Black,62962,34552,28340,,,,,,
Female,2021-12-15 00:00:00,Hispanic,436043,243440,192139,,,,,,
Female,2021-12-15 00:00:00,Other,198729,107200,91259,,,,,,
Female,2021-12-15 00:00:00,Unknown,19867,12231,7626,,,,,,
Female,2021-12-15 00:00:00,White,174472,95004,79282,,,,,,
Female,16-49,Asian,622765,309600,279122,,,,,,
Female,16-49,Black,801776,426773,361318,,,,,,
Female,16-49,Hispanic,3628712,1944415,1655157,,,,,,
Female,16-49,Other,1342882,680600,599706,,,,,,
Female,16-49,Unknown,470126,263198,204389,,,,,,
Female,16-49,White,2693091,1398744,1232597,,,,,,
Female,50-64,Asian,211247,99515,90982,,,,,,
Female,50-64,Black,428973,206822,186947,,,,,,
Female,50-64,Hispanic,1340303,655322,584211,,,,,,
Female,50-64,Other,731401,327936,304022,,,,,,
Female,50-64,Unknown,214877,115212,92228,,,,,,
Female,50-64,White,1642373,796237,727326,,,,,,
Female,65-79,Asian,106414,47202,42124,,,,,,
Female,65-79,Black,243747,107949,99169,,,,,,
Female,65-79,Hispanic,721398,325582,290899,,,,,,
Female,65-79,Other,726891,291892,274527,,,,,,
Female,65-79,Unknown,136701,71538,55983,,,,,,
Female,65-79,White,1454422,639410,588681,,,,,,
Female,80+,Asian,20079,9081,7967,,,,,,
Female,80+,Black,52882,23946,21609,,,,,,
Female,80+,Hispanic,176054,80909,70770,,,,,,
Female,80+,Other,249651,101850,94077,,,,,,
Female,80+,Unknown,49097,26253,19676,,,,,,
Female,80+,White,430415,188832,172711,,,,,,
Female,Unknown,Asian,96,74,28,,,,,,
Female,Unknown,Black,164,132,42,,,,,,
Female,Unknown,Hispanic,901,743,218,,,,,,
Female,Unknown,Other,164,129,38,,,,,,
Female,Unknown,Unknown,788,683,117,,,,,,
Female,Unknown,White,657,524,170,,,,,,
Male,2021-05-11 00:00:00,Asian,24275,17836,6435,,,,,,
Male,2021-05-11 00:00:00,Black,12583,9402,3178,,,,,,
Male,2021-05-11 00:00:00,Hispanic,114929,86992,27937,,,,,,
Male,2021-05-11 00:00:00,Other,58798,41944,16839,,,,,,
Male,2021-05-11 00:00:00,Unknown,12117,9880,2236,,,,,,
Male,2021-05-11 00:00:00,White,63371,43527,19840,,,,,,
Male,2021-12-15 00:00:00,Asian,46584,24799,21750,,,,,,
Male,2021-12-15 00:00:00,Black,61966,34107,27778,,,,,,
Male,2021-12-15 00:00:00,Hispanic,430728,242392,187871,,,,,,
Male,2021-12-15 00:00:00,Other,199910,108057,91575,,,,,,
Male,2021-12-15 00:00:00,Unknown,20732,12837,7889,,,,,,
Male,2021-12-15 00:00:00,White,176272,96432,79641,,,,,,
Male,16-49,Asian,602423,311840,281110,,,,,,
Male,16-49,Black,641889,351287,293267,,,,,,
Male,16-49,Hispanic,3239108,1798900,1490014,,,,,,
Male,16-49,Other,1216725,640472,553775,,,,,,
Male,16-49,Unknown,395020,232805,175420,,,,,,
Male,16-49,White,2444061,1306121,1143584,,,,,,
Male,50-64,Asian,194635,92726,85278,,,,,,
Male,50-64,Black,356139,178002,158677,,,,,,
Male,50-64,Hispanic,1203429,604275,535767,,,,,,
Male,50-64,Other,611790,281963,259705,,,,,,
Male,50-64,Unknown,183558,102197,80430,,,,,,
Male,50-64,White,1516422,753439,683806,,,,,,
Male,65-79,Asian,90587,39685,35589,,,,,,
Male,65-79,Black,167050,75601,67870,,,,,,
Male,65-79,Hispanic,568627,257998,229968,,,,,,
Male,65-79,Other,575244,232549,217020,,,,,,
Male,65-79,Unknown,121630,64247,49679,,,,,,
Male,65-79,White,1264649,561503,512359,,,,,,
Male,80+,Asian,15954,6965,6212,,,,,,
Male,80+,Black,24613,11241,9788,,,,,,
Male,80+,Hispanic,106457,48506,42347,,,,,,
Male,80+,Other,148590,59768,54853,,,,,,
Male,80+,Unknown,32479,17471,12677,,,,,,
Male,80+,White,308329,134365,121158,,,,,,
Male,Unknown,Asian,92,71,24,,,,,,
Male,Unknown,Black,122,98,33,,,,,,
Male,Unknown,Hispanic,847,706,211,,,,,,
Male,Unknown,Other,152,122,43,,,,,,
Male,Unknown,Unknown,542,474,77,,,,,,
Male,Unknown,White,588,476,151,,,,,,
Unknown,2021-05-11 00:00:00,Asian,13,10,3,,,,,,
Unknown,2021-05-11 00:00:00,Black,3,3,0,,,,,,
Unknown,2021-05-11 00:00:00,Hispanic,55,53,3,,,,,,
Unknown,2021-05-11 00:00:00,Other,33,30,3,,,,,,
Unknown,2021-05-11 00:00:00,Unknown,53,47,6,,,,,,
Unknown,2021-05-11 00:00:00,White,19,17,2,,,,,,
Unknown,2021-12-15 00:00:00,Asian,53,30,23,,,,,,
Unknown,2021-12-15 00:00:00,Black,36,23,13,,,,,,
Unknown,2021-12-15 00:00:00,Hispanic,161,112,51,,,,,,
Unknown,2021-12-15 00:00:00,Other,88,60,28,,,,,,
Unknown,2021-12-15 00:00:00,Unknown,83,55,28,,,,,,
Unknown,2021-12-15 00:00:00,White,132,81,52,,,,,,
Unknown,16-49,Asian,1806,1011,853,,,,,,
Unknown,16-49,Black,1801,1042,843,,,,,,
Unknown,16-49,Hispanic,15357,9134,8136,,,,,,
Unknown,16-49,Other,14673,8628,6848,,,,,,
Unknown,16-49,Unknown,6643,4094,2811,,,,,,
Unknown,16-49,White,10008,5458,4796,,,,,,
Unknown,50-64,Asian,794,418,360,,,,,,
Unknown,50-64,Black,907,495,419,,,,,,
Unknown,50-64,Hispanic,8852,4744,4337,,,,,,
Unknown,50-64,Other,9959,5639,4667,,,,,,
Unknown,50-64,Unknown,2359,1385,1014,,,,,,
Unknown,50-64,White,6094,3259,2907,,,,,,
Unknown,65-79,Asian,602,296,256,,,,,,
Unknown,65-79,Black,574,310,261,,,,,,
Unknown,65-79,Hispanic,4193,2236,1952,,,,,,
Unknown,65-79,Other,5591,3151,2454,,,,,,
Unknown,65-79,Unknown,1490,847,603,,,,,,
Unknown,65-79,White,4520,2393,2086,,,,,,
Unknown,80+,Asian,136,70,58,,,,,,
Unknown,80+,Black,120,70,47,,,,,,
Unknown,80+,Hispanic,887,473,402,,,,,,
Unknown,80+,Other,1316,795,523,,,,,,
Unknown,80+,Unknown,434,270,151,,,,,,
Unknown,80+,White,1094,597,486,,,,,,
Unknown,Unknown,Asian,1,1,0,,,,,,
Unknown,Unknown,Hispanic,7,7,1,,,,,,
Unknown,Unknown,Other,75,70,6,,,,,,
Unknown,Unknown,Unknown,14,13,2,,,,,,
Unknown,Unknown,White,16,15,1,,,,,,
Grand Total,Total,Total,37071385,18814096,16192896,,,,,,
