Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with Booster Doses,,,,,
Female,2021-05-11 00:00:00,Asian,35222,21766,13444,12,,,,,
Female,2021-05-11 00:00:00,Black,20030,13197,6832,,,,,,
Female,2021-05-11 00:00:00,Hispanic,177370,119483,57856,49,,,,,
Female,2021-05-11 00:00:00,Other,88264,55267,32967,39,,,,,
Female,2021-05-11 00:00:00,Unknown,16982,12221,4759,,,,,,
Female,2021-05-11 00:00:00,White,83155,50923,32211,32,,,,,
Female,2021-12-15 00:00:00,Asian,45353,24119,21166,76,,,,,
Female,2021-12-15 00:00:00,Black,64005,35105,28794,110,,,,,
Female,2021-12-15 00:00:00,Hispanic,448847,250809,197359,756,,,,,
Female,2021-12-15 00:00:00,Other,206648,111284,94953,425,,,,,
Female,2021-12-15 00:00:00,Unknown,20294,12396,7879,20,,,,,
Female,2021-12-15 00:00:00,White,175249,95295,79657,321,,,,,
Female,16-49,Asian,651629,311278,275031,79534,,,,,
Female,16-49,Black,832686,433094,364506,57087,,,,,
Female,16-49,Hispanic,3744316,1967254,1658742,255847,,,,,
Female,16-49,Other,1519192,741606,650296,174884,,,,,
Female,16-49,Unknown,455279,254368,193650,23324,,,,,
Female,16-49,White,2781280,1404843,1222483,266782,,,,,
Female,50-64,Asian,218513,99362,88754,35827,,,,,
Female,50-64,Black,446581,207595,186080,65585,,,,,
Female,50-64,Hispanic,1382428,657572,576262,187630,,,,,
Female,50-64,Other,851993,369054,338744,165099,,,,,
Female,50-64,Unknown,204861,109427,84893,17832,,,,,
Female,50-64,White,1685182,790480,712767,250550,,,,,
Female,65-79,Asian,107771,46995,41046,21589,,,,,
Female,65-79,Black,250753,107786,98153,50274,,,,,
Female,65-79,Hispanic,734611,325770,284741,137781,,,,,
Female,65-79,Other,820868,323874,302655,203957,,,,,
Female,65-79,Unknown,128877,67562,50771,13891,,,,,
Female,65-79,White,1465129,629988,573681,297678,,,,,
Female,80+,Asian,20262,8992,7759,3947,,,,,
Female,80+,Black,54445,23908,21428,10591,,,,,
Female,80+,Hispanic,179451,80904,69621,32449,,,,,
Female,80+,Other,272717,109097,100654,65305,,,,,
Female,80+,Unknown,46602,24877,18181,4498,,,,,
Female,80+,White,436238,186808,169287,90428,,,,,
Female,Unknown,Asian,104,79,31,0,,,,,
Female,Unknown,Black,173,141,42,,,,,,
Female,Unknown,Hispanic,966,800,229,,,,,,
Female,Unknown,Other,174,138,39,0,,,,,
Female,Unknown,Unknown,792,687,117,,,,,,
Female,Unknown,White,678,538,177,7,,,,,
Male,2021-05-11 00:00:00,Asian,36990,22911,14065,14,,,,,
Male,2021-05-11 00:00:00,Black,20193,13297,6890,11,,,,,
Male,2021-05-11 00:00:00,Hispanic,179680,121017,58628,54,,,,,
Male,2021-05-11 00:00:00,Other,90119,56488,33595,45,,,,,
Male,2021-05-11 00:00:00,Unknown,17354,12584,4768,,,,,,
Male,2021-05-11 00:00:00,White,86308,52788,33503,36,,,,,
Male,2021-12-15 00:00:00,Asian,46743,24861,21815,70,,,,,
Male,2021-12-15 00:00:00,Black,63022,34699,28190,141,,,,,
Male,2021-12-15 00:00:00,Hispanic,443993,250241,193055,763,,,,,
Male,2021-12-15 00:00:00,Other,207876,112169,95268,460,,,,,
Male,2021-12-15 00:00:00,Unknown,21140,13022,8107,17,,,,,
Male,2021-12-15 00:00:00,White,177088,96803,80000,312,,,,,
Male,16-49,Asian,631498,314585,277616,72598,,,,,
Male,16-49,Black,667152,356836,295622,41773,,,,,
Male,16-49,Hispanic,3346152,1826678,1498200,188032,,,,,
Male,16-49,Other,1354320,687356,590180,139887,,,,,
Male,16-49,Unknown,387138,228194,167942,15086,,,,,
Male,16-49,White,2537798,1317277,1137377,225978,,,,,
Male,50-64,Asian,202264,92598,83350,33865,,,,,
Male,50-64,Black,372216,179335,157631,50500,,,,,
Male,50-64,Hispanic,1249047,609196,531675,152157,,,,,
Male,50-64,Other,702467,312131,283824,128984,,,,,
Male,50-64,Unknown,176888,98291,74688,12945,,,,,
Male,50-64,White,1570408,753609,673374,222205,,,,,
Male,65-79,Asian,91866,39636,34703,19011,,,,,
Male,65-79,Black,172476,75760,67069,34445,,,,,
Male,65-79,Hispanic,581433,258721,225752,109754,,,,,
Male,65-79,Other,648075,257351,238273,160946,,,,,
Male,65-79,Unknown,115244,60957,45204,12415,,,,,
Male,65-79,White,1280136,555797,500449,259041,,,,,
Male,80+,Asian,16190,6973,6074,3450,,,,,
Male,80+,Black,25283,11235,9669,5090,,,,,
Male,80+,Hispanic,108592,48583,41601,20671,,,,,
Male,80+,Other,164152,64879,59289,41516,,,,,
Male,80+,Unknown,30969,16679,11705,3199,,,,,
Male,80+,White,311877,132986,118461,67501,,,,,
Male,Unknown,Asian,103,79,27,0,,,,,
Male,Unknown,Black,124,100,32,,,,,,
Male,Unknown,Hispanic,897,751,217,,,,,,
Male,Unknown,Other,165,133,45,,,,,,
Male,Unknown,Unknown,547,478,78,0,,,,,
Male,Unknown,White,615,492,161,,,,,,
Unknown,2021-05-11 00:00:00,Asian,24,19,5,0,,,,,
Unknown,2021-05-11 00:00:00,Black,6,4,2,0,,,,,
Unknown,2021-05-11 00:00:00,Hispanic,92,66,27,0,,,,,
Unknown,2021-05-11 00:00:00,Other,55,43,12,0,,,,,
Unknown,2021-05-11 00:00:00,Unknown,75,59,15,,,,,,
Unknown,2021-05-11 00:00:00,White,40,30,10,0,,,,,
Unknown,2021-12-15 00:00:00,Asian,51,29,22,0,,,,,
Unknown,2021-12-15 00:00:00,Black,36,23,13,0,,,,,
Unknown,2021-12-15 00:00:00,Hispanic,167,118,51,0,,,,,
Unknown,2021-12-15 00:00:00,Other,92,64,28,0,,,,,
Unknown,2021-12-15 00:00:00,Unknown,84,56,28,0,,,,,
Unknown,2021-12-15 00:00:00,White,130,81,50,0,,,,,
Unknown,16-49,Asian,1622,911,735,76,,,,,
Unknown,16-49,Black,1738,996,803,45,,,,,
Unknown,16-49,Hispanic,14133,8478,7425,304,,,,,
Unknown,16-49,Other,12752,7615,5770,284,,,,,
Unknown,16-49,Unknown,6300,3899,2601,137,,,,,
Unknown,16-49,White,8827,4859,4156,187,,,,,
Unknown,50-64,Asian,723,379,318,52,,,,,
Unknown,50-64,Black,830,450,377,50,,,,,
Unknown,50-64,Hispanic,7725,4135,3706,286,,,,,
Unknown,50-64,Other,8435,4809,3830,285,,,,,
Unknown,50-64,Unknown,2196,1282,935,111,,,,,
Unknown,50-64,White,5108,2753,2392,145,,,,,
Unknown,65-79,Asian,562,272,232,63,,,,,
Unknown,65-79,Black,538,287,240,35,,,,,
Unknown,65-79,Hispanic,3806,2028,1719,182,,,,,
Unknown,65-79,Other,4904,2771,2088,246,,,,,
Unknown,65-79,Unknown,1369,771,545,79,,,,,
Unknown,65-79,White,3908,2085,1764,135,,,,,
Unknown,80+,Asian,121,63,51,7,,,,,
Unknown,80+,Black,114,66,44,11,,,,,
Unknown,80+,Hispanic,835,445,370,46,,,,,
Unknown,80+,Other,1177,720,450,44,,,,,
Unknown,80+,Unknown,414,254,142,23,,,,,
Unknown,80+,White,1008,552,436,46,,,,,
Unknown,Unknown,Asian,1,1,0,0,,,,,
Unknown,Unknown,Hispanic,7,7,1,0,,,,,
Unknown,Unknown,Other,75,70,6,0,,,,,
Unknown,Unknown,Unknown,15,14,2,0,,,,,
Unknown,Unknown,White,16,15,1,0,,,,,
Grand Total,Total,Total,38902679,19256877,16418271,4540093,,,,,
