Gender,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated
Female,16-49 years,Asian,75613,46877,28736
Female,16-49 years,Black,55866,35551,20315
Female,16-49 years,Hispanic,224664,148959,75705
Female,16-49 years,White,313952,198284,115668
Female,16-49 years,Other,96941,62268,34673
Female,16-49 years,Unknown,339643,204315,135328
Female,50-64 years,Asian,42025,27230,14795
Female,50-64 years,Black,53860,35969,17891
Female,50-64 years,Hispanic,145363,100131,45232
Female,50-64 years,White,260465,174254,86211
Female,50-64 years,Other,64095,42285,21810
Female,50-64 years,Unknown,222696,136787,85909
Female,65-79 years,Asian,49630,31546,18084
Female,65-79 years,Black,60067,40253,19814
Female,65-79 years,Hispanic,142922,97828,45094
Female,65-79 years,White,468410,310996,157414
Female,65-79 years,Other,76750,50559,26191
Female,65-79 years,Unknown,245437,154707,90730
Female,80+ years,Asian,10500,6589,3911
Female,80+ years,Black,13009,8799,4210
Female,80+ years,Hispanic,36725,25671,11054
Female,80+ years,White,135467,89662,45805
Female,80+ years,Other,58291,37412,20879
Female,80+ years,Unknown,87549,56397,31152
Female,Unknown,Asian,33,28,5
Female,Unknown,Black,40,31,9
Female,Unknown,Hispanic,236,204,32
Female,Unknown,White,285,249,36
Female,Unknown,Other,39,34,5
Female,Unknown,Unknown,953,826,127
Male,16-49 years,Asian,54243,34527,19716
Male,16-49 years,Black,27422,18079,9343
Male,16-49 years,Hispanic,138826,95087,43739
Male,16-49 years,White,185853,121965,63888
Male,16-49 years,Other,51573,33900,17673
Male,16-49 years,Unknown,208960,127396,81564
Male,50-64 years,Asian,33218,21896,11322
Male,50-64 years,Black,33097,22837,10260
Male,50-64 years,Hispanic,102760,72309,30451
Male,50-64 years,White,187320,128199,59121
Male,50-64 years,Other,38187,25542,12645
Male,50-64 years,Unknown,152739,95139,57600
Male,65-79 years,Asian,43579,27774,15805
Male,65-79 years,Black,39276,26446,12830
Male,65-79 years,Hispanic,107388,73447,33941
Male,65-79 years,White,402277,266229,136048
Male,65-79 years,Other,57766,38043,19723
Male,65-79 years,Unknown,204181,128214,75967
Male,80+ years,Asian,9022,5531,3491
Male,80+ years,Black,6505,4322,2183
Male,80+ years,Hispanic,22474,15632,6842
Male,80+ years,White,105599,68690,36909
Male,80+ years,Other,25788,16669,9119
Male,80+ years,Unknown,56525,36161,20364
Male,Unknown,Asian,39,31,8
Male,Unknown,Black,32,29,3
Male,Unknown,Hispanic,181,159,22
Male,Unknown,White,235,209,26
Male,Unknown,Other,48,41,7
Male,Unknown,Unknown,639,563,76
Unknown,16-49 years,Asian,1001,628,373
Unknown,16-49 years,Black,604,372,232
Unknown,16-49 years,Hispanic,1495,932,563
Unknown,16-49 years,White,2915,1782,1133
Unknown,16-49 years,Other,2220,1277,943
Unknown,16-49 years,Unknown,15391,10686,4705
Unknown,50-64 years,Asian,660,392,268
Unknown,50-64 years,Black,671,411,260
Unknown,50-64 years,Hispanic,756,506,250
Unknown,50-64 years,White,2483,1509,974
Unknown,50-64 years,Other,1449,858,591
Unknown,50-64 years,Unknown,15590,10691,4899
Unknown,65-79 years,Asian,1896,1036,860
Unknown,65-79 years,Black,1308,752,556
Unknown,65-79 years,Hispanic,1682,1048,634
Unknown,65-79 years,White,12346,6831,5515
Unknown,65-79 years,Other,5261,2830,2431
Unknown,65-79 years,Unknown,25218,16753,8465
Unknown,80+ years,Asian,322,179,143
Unknown,80+ years,Black,201,115,86
Unknown,80+ years,Hispanic,332,218,114
Unknown,80+ years,White,2382,1334,1048
Unknown,80+ years,Other,918,503,415
Unknown,80+ years,Unknown,4418,3199,1219
Unknown,Unknown,Asian,1,1,0
Unknown,Unknown,Black,1,1,0
Unknown,Unknown,Hispanic,5,5,0
Unknown,Unknown,White,10,10,0
Unknown,Unknown,Other,1,1,0
Unknown,Unknown,Unknown,58,47,11
Texas,Total,Total,5678873,3694674,1984199
