Gender ,Agegrp,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with Booster Doses,,,,,
Female,2022-05-11 00:00:00,Asian,53747,29348,24342,57,,,,,
Female,2022-05-11 00:00:00,Black,42107,23821,18250,37,,,,,
Female,2022-05-11 00:00:00,Hispanic,427856,266230,161174,472,,,,,
Female,2022-05-11 00:00:00,Other,157957,88421,69338,204,,,,,
Female,2022-05-11 00:00:00,Unknown,30541,19309,11220,14,,,,,
Female,2022-05-11 00:00:00,White,130190,72948,57103,146,,,,,
Female,2022-12-15 00:00:00,Asian,51624,24829,21925,4878,,,,,
Female,2022-12-15 00:00:00,Black,72670,37920,31452,3302,,,,,
Female,2022-12-15 00:00:00,Hispanic,554912,300523,227533,26985,,,,,
Female,2022-12-15 00:00:00,Other,241247,120194,103811,17258,,,,,
Female,2022-12-15 00:00:00,Unknown,22455,13491,8368,598,,,,,
Female,2022-12-15 00:00:00,White,195662,99279,83715,12697,,,,,
Female,16-49,Asian,710400,320551,277917,126221,,,,,
Female,16-49,Black,930454,459418,389271,104589,,,,,
Female,16-49,Hispanic,4243482,2136944,1762935,489809,,,,,
Female,16-49,Other,1729736,803296,702973,274547,,,,,
Female,16-49,Unknown,447517,250085,179906,33196,,,,,
Female,16-49,White,3014956,1457004,1263214,410762,,,,,
Female,50-64,Asian,234689,102184,89180,48748,,,,,
Female,50-64,Black,483762,211350,190501,94646,,,,,
Female,50-64,Hispanic,1547940,702913,600319,285479,,,,,
Female,50-64,Other,949451,394395,361456,215991,,,,,
Female,50-64,Unknown,197411,104800,76427,23007,,,,,
Female,50-64,White,1796797,804998,724839,336646,,,,,
Female,65-79,Asian,113814,48458,41334,25884,,,,,
Female,65-79,Black,265835,108621,99240,63406,,,,,
Female,65-79,Hispanic,802171,343457,294337,178509,,,,,
Female,65-79,Other,882036,338561,316864,236926,,,,,
Female,65-79,Unknown,122084,63757,45594,15810,,,,,
Female,65-79,White,1532981,636707,579454,353359,,,,,
Female,80+,Asian,21292,9167,7787,4771,,,,,
Female,80+,Black,57834,24216,21705,13396,,,,,
Female,80+,Hispanic,195542,85043,72038,42077,,,,,
Female,80+,Other,288812,112329,104052,74921,,,,,
Female,80+,Unknown,44835,23815,16763,5143,,,,,
Female,80+,White,456178,188683,170855,107000,,,,,
Female,Unknown,Asian,126,94,37,,,,,,
Female,Unknown,Black,191,153,45,6,,,,,
Female,Unknown,Hispanic,1399,1192,269,7,,,,,
Female,Unknown,Other,224,181,46,0,,,,,
Female,Unknown,Unknown,808,702,119,,,,,,
Female,Unknown,White,740,580,195,10,,,,,
Male,2022-05-11 00:00:00,Asian,56450,30883,25510,58,,,,,
Male,2022-05-11 00:00:00,Black,42598,24167,18394,37,,,,,
Male,2022-05-11 00:00:00,Hispanic,430705,268141,162127,461,,,,,
Male,2022-05-11 00:00:00,Other,160987,90259,70491,243,,,,,
Male,2022-05-11 00:00:00,Unknown,31775,20129,11628,20,,,,,
Male,2022-05-11 00:00:00,White,135524,75825,59564,142,,,,,
Male,2022-12-15 00:00:00,Asian,52786,25495,22512,4782,,,,,
Male,2022-12-15 00:00:00,Black,71549,37399,30846,3311,,,,,
Male,2022-12-15 00:00:00,Hispanic,549527,300611,223311,25713,,,,,
Male,2022-12-15 00:00:00,Other,241624,120805,103856,16989,,,,,
Male,2022-12-15 00:00:00,Unknown,23191,14058,8613,529,,,,,
Male,2022-12-15 00:00:00,White,197270,100818,84214,12269,,,,,
Male,16-49,Asian,691366,328281,282907,116117,,,,,
Male,16-49,Black,741139,377845,314072,77338,,,,,
Male,16-49,Hispanic,3760687,1979055,1591129,367757,,,,,
Male,16-49,Other,1538582,745720,638199,222852,,,,,
Male,16-49,Unknown,394849,234378,162123,22967,,,,,
Male,16-49,White,2741597,1367036,1173481,348859,,,,,
Male,50-64,Asian,216924,94788,83942,46033,,,,,
Male,50-64,Black,403924,183197,161517,74534,,,,,
Male,50-64,Hispanic,1396747,647465,554376,240811,,,,,
Male,50-64,Other,785642,334999,303843,170914,,,,,
Male,50-64,Unknown,173741,95977,69016,17468,,,,,
Male,50-64,White,1673092,769143,685361,298929,,,,,
Male,65-79,Asian,96948,40962,34933,22522,,,,,
Male,65-79,Black,182708,76585,68026,42909,,,,,
Male,65-79,Hispanic,635770,271870,234060,142995,,,,,
Male,65-79,Other,695181,268871,249378,186028,,,,,
Male,65-79,Unknown,109916,57837,40997,14230,,,,,
Male,65-79,White,1338466,562930,506222,304835,,,,,
Male,80+,Asian,16986,7122,6146,4023,,,,,
Male,80+,Black,26574,11357,9780,6149,,,,,
Male,80+,Hispanic,118116,51017,43053,26382,,,,,
Male,80+,Other,173858,67005,61503,46971,,,,,
Male,80+,Unknown,29822,16051,10830,3525,,,,,
Male,80+,White,325335,134597,119809,78040,,,,,
Male,Unknown,Asian,146,103,46,,,,,,
Male,Unknown,Black,143,115,36,,,,,,
Male,Unknown,Hispanic,1353,1158,264,10,,,,,
Male,Unknown,Other,213,167,59,,,,,,
Male,Unknown,Unknown,584,506,89,0,,,,,
Male,Unknown,White,671,526,181,6,,,,,
Unknown,2022-05-11 00:00:00,Asian,38,25,13,0,,,,,
Unknown,2022-05-11 00:00:00,Black,11,7,4,0,,,,,
Unknown,2022-05-11 00:00:00,Hispanic,745,675,70,0,,,,,
Unknown,2022-05-11 00:00:00,Other,83,63,20,0,,,,,
Unknown,2022-05-11 00:00:00,Unknown,135,91,44,0,,,,,
Unknown,2022-05-11 00:00:00,White,45,35,10,0,,,,,
Unknown,2022-12-15 00:00:00,Asian,30,16,11,,,,,,
Unknown,2022-12-15 00:00:00,Black,34,21,13,0,,,,,
Unknown,2022-12-15 00:00:00,Hispanic,545,481,66,0,,,,,
Unknown,2022-12-15 00:00:00,Other,107,73,32,,,,,,
Unknown,2022-12-15 00:00:00,Unknown,145,120,24,,,,,,
Unknown,2022-12-15 00:00:00,White,123,77,43,,,,,,
Unknown,16-49,Asian,1475,823,640,105,,,,,
Unknown,16-49,Black,1612,919,719,68,,,,,
Unknown,16-49,Hispanic,13201,8130,6576,528,,,,,
Unknown,16-49,Other,10842,6610,4684,384,,,,,
Unknown,16-49,Unknown,5833,3598,2346,208,,,,,
Unknown,16-49,White,7579,4192,3474,260,,,,,
Unknown,50-64,Asian,635,331,269,60,,,,,
Unknown,50-64,Black,707,374,309,66,,,,,
Unknown,50-64,Hispanic,6484,3426,2997,424,,,,,
Unknown,50-64,Other,6760,3888,2946,347,,,,,
Unknown,50-64,Unknown,1940,1119,797,152,,,,,
Unknown,50-64,White,4215,2263,1924,179,,,,,
Unknown,65-79,Asian,462,222,184,61,,,,,
Unknown,65-79,Black,413,216,174,44,,,,,
Unknown,65-79,Hispanic,3202,1661,1393,261,,,,,
Unknown,65-79,Other,4099,2326,1679,269,,,,,
Unknown,65-79,Unknown,1219,670,468,102,,,,,
Unknown,65-79,White,3168,1687,1392,158,,,,,
Unknown,80+,Asian,110,57,44,9,,,,,
Unknown,80+,Black,97,56,37,10,,,,,
Unknown,80+,Hispanic,743,394,321,52,,,,,
Unknown,80+,Other,1005,630,365,45,,,,,
Unknown,80+,Unknown,387,242,131,19,,,,,
Unknown,80+,White,863,475,359,52,,,,,
Unknown,Unknown,Asian,1,1,0,0,,,,,
Unknown,Unknown,Hispanic,7,7,1,0,,,,,
Unknown,Unknown,Other,78,72,7,0,,,,,
Unknown,Unknown,Unknown,15,14,2,0,,,,,
Unknown,Unknown,White,18,17,1,0,,,,,
Grand Total,Total,Total,43398742,20711324,17468936,6583154,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
