Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,,,,,,
Female,2021-05-11 00:00:00,Asian,4162,4130,32,,,,,,
Female,2021-05-11 00:00:00,Black,2434,2404,31,,,,,,
Female,2021-05-11 00:00:00,Hispanic,23536,23369,169,,,,,,
Female,2021-05-11 00:00:00,Other,12125,11949,177,,,,,,
Female,2021-05-11 00:00:00,Unknown,2867,2837,30,,,,,,
Female,2021-05-11 00:00:00,White,14988,14817,176,,,,,,
Female,2021-12-15 00:00:00,Asian,44848,23875,20949,,,,,,
Female,2021-12-15 00:00:00,Black,61318,33665,27606,,,,,,
Female,2021-12-15 00:00:00,Hispanic,415474,230543,184619,,,,,,
Female,2021-12-15 00:00:00,Other,193559,104393,88969,,,,,,
Female,2021-12-15 00:00:00,Unknown,18536,11124,7408,,,,,,
Female,2021-12-15 00:00:00,White,171226,93270,77817,,,,,,
Female,16-49,Asian,591619,306147,276901,,,,,,
Female,16-49,Black,761646,413666,350199,,,,,,
Female,16-49,Hispanic,3455012,1891395,1612606,,,,,,
Female,16-49,Other,1235288,648771,568525,,,,,,
Female,16-49,Unknown,481324,269306,214220,,,,,,
Female,16-49,White,2555264,1368259,1205791,,,,,,
Female,50-64,Asian,198421,98699,90491,,,,,,
Female,50-64,Black,401540,203355,182921,,,,,,
Female,50-64,Hispanic,1251390,639701,571018,,,,,,
Female,50-64,Other,650201,309194,284352,,,,,,
Female,50-64,Unknown,225684,121976,100492,,,,,,
Female,50-64,White,1534682,783625,712922,,,,,,
Female,65-79,Asian,100862,46638,41904,,,,,,
Female,65-79,Black,228227,106902,97642,,,,,,
Female,65-79,Hispanic,669618,315829,284678,,,,,,
Female,65-79,Other,665690,278994,261272,,,,,,
Female,65-79,Unknown,146510,77369,63128,,,,,,
Female,65-79,White,1367942,631038,580060,,,,,,
Female,80+,Asian,19163,8989,7953,,,,,,
Female,80+,Black,49361,23720,21227,,,,,,
Female,80+,Hispanic,163802,78704,69173,,,,,,
Female,80+,Other,230706,98442,90286,,,,,,
Female,80+,Unknown,52466,28383,21901,,,,,,
Female,80+,White,401881,186098,169749,,,,,,
Female,Unknown,Asian,85,66,25,,,,,,
Female,Unknown,Black,159,129,40,,,,,,
Female,Unknown,Hispanic,819,675,202,,,,,,
Female,Unknown,Other,155,121,37,,,,,,
Female,Unknown,Unknown,782,681,113,,,,,,
Female,Unknown,White,619,502,155,,,,,,
Male,2021-05-11 00:00:00,Asian,4462,4430,31,,,,,,
Male,2021-05-11 00:00:00,Black,2369,2336,33,,,,,,
Male,2021-05-11 00:00:00,Hispanic,23762,23579,194,,,,,,
Male,2021-05-11 00:00:00,Other,12346,12176,168,,,,,,
Male,2021-05-11 00:00:00,Unknown,2831,2801,33,,,,,,
Male,2021-05-11 00:00:00,White,15234,15066,173,,,,,,
Male,2021-12-15 00:00:00,Asian,46149,24574,21547,,,,,,
Male,2021-12-15 00:00:00,Black,60436,33297,27081,,,,,,
Male,2021-12-15 00:00:00,Hispanic,409982,229299,180367,,,,,,
Male,2021-12-15 00:00:00,Other,194687,105199,89277,,,,,,
Male,2021-12-15 00:00:00,Unknown,19334,11698,7633,,,,,,
