Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated  ,People Fully Vaccinated,,,,,,
Female,16-49 years,Asian,134668,97167,41371,,,,,,
Female,16-49 years,Black,107879,79541,32909,,,,,,
Female,16-49 years,Hispanic,470007,350406,135646,,,,,,
Female,16-49 years,White,575175,413054,184099,,,,,,
Female,16-49 years,Other,146154,99078,49736,,,,,,
Female,16-49 years,Unknown,377668,228201,152569,,,,,,
Female,50-64 years,Asian,73141,52434,22744,,,,,,
Female,50-64 years,Black,109217,81350,31710,,,,,,
Female,50-64 years,Hispanic,311361,230311,90347,,,,,,
Female,50-64 years,White,519978,379369,158442,,,,,,
Female,50-64 years,Other,99396,66509,34336,,,,,,
Female,50-64 years,Unknown,248992,151953,99714,,,,,,
Female,65-79 years,Asian,67284,41682,26444,,,,,,
Female,65-79 years,Black,100254,66736,35490,,,,,,
Female,65-79 years,Hispanic,249779,166993,87231,,,,,,
Female,65-79 years,White,743821,472096,283370,,,,,,
Female,65-79 years,Other,109446,67552,42732,,,,,,
Female,65-79 years,Unknown,257893,154415,105389,,,,,,
Female,80+ years,Asian,13668,8389,5467,,,,,,
Female,80+ years,Black,21627,14556,7627,,,,,,
Female,80+ years,Hispanic,61971,41429,21668,,,,,,
Female,80+ years,White,210945,135095,79447,,,,,,
Female,80+ years,Other,66635,41503,25333,,,,,,
Female,80+ years,Unknown,91022,55935,35656,,,,,,
Female,Unknown,Asian,51,46,7,,,,,,
Female,Unknown,Black,76,66,13,,,,,,
Female,Unknown,Hispanic,417,359,76,,,,,,
Female,Unknown,White,438,377,72,,,,,,
Female,Unknown,Other,73,62,13,,,,,,
Female,Unknown,Unknown,938,814,129,,,,,,
Male,16-49 years,Asian,106177,79230,30602,,,,,,
Male,16-49 years,Black,60689,46809,16938,,,,,,
Male,16-49 years,Hispanic,316352,241444,86702,,,,,,
Male,16-49 years,White,381679,284628,112522,,,,,,
Male,16-49 years,Other,88377,62556,27906,,,,,,
Male,16-49 years,Unknown,236192,144653,93952,,,,,,
Male,50-64 years,Asian,62042,45460,18449,,,,,,
Male,50-64 years,Black,72174,54931,20470,,,,,,
Male,50-64 years,Hispanic,232409,175006,65089,,,,,,
Male,50-64 years,White,402598,300807,116184,,,,,,
Male,50-64 years,Other,65667,45199,21616,,,,,,
Male,50-64 years,Unknown,173689,107688,68174,,,,,,
Male,65-79 years,Asian,58311,35863,23097,,,,,,
Male,65-79 years,Black,65120,43299,23215,,,,,,
Male,65-79 years,Hispanic,187482,125489,65553,,,,,,
Male,65-79 years,White,633892,400644,242616,,,,,,
Male,65-79 years,Other,84214,51768,33088,,,,,,
Male,65-79 years,Unknown,214819,127898,88500,,,,,,
Male,80+ years,Asian,11448,6901,4716,,,,,,
Male,80+ years,Black,10254,6806,3681,,,,,,
Male,80+ years,Hispanic,37577,24940,13352,,,,,,
Male,80+ years,White,158743,99352,61809,,,,,,
Male,80+ years,Other,31128,19316,11939,,,,,,
Male,80+ years,Unknown,58495,35638,23256,,,,,,
Male,Unknown,Asian,66,52,15,,,,,,
Male,Unknown,Black,52,46,6,,,,,,
Male,Unknown,Hispanic,327,283,56,,,,,,
Male,Unknown,White,367,321,54,,,,,,
Male,Unknown,Other,71,61,13,,,,,,
Male,Unknown,Unknown,631,556,75,,,,,,
Unknown,16-49 years,Asian,1213,753,503,,,,,,
Unknown,16-49 years,Black,719,449,280,,,,,,
Unknown,16-49 years,Hispanic,2646,1972,1323,,,,,,
Unknown,16-49 years,White,7433,6122,1333,,,,,,
Unknown,16-49 years,Other,16312,15096,2030,,,,,,
Unknown,16-49 years,Unknown,4149,3306,975,,,,,,
Unknown,50-64 years,Asian,778,471,322,,,,,,
Unknown,50-64 years,Black,798,491,314,,,,,,
Unknown,50-64 years,Hispanic,1550,1209,689,,,,,,
Unknown,50-64 years,White,8014,6836,1198,,,,,,
Unknown,50-64 years,Other,15827,14734,1644,,,,,,
Unknown,50-64 years,Unknown,3707,3283,497,,,,,,
Unknown,65-79 years,Asian,1911,1033,881,,,,,,
Unknown,65-79 years,Black,1426,816,617,,,,,,
Unknown,65-79 years,Hispanic,2145,1337,940,,,,,,
Unknown,65-79 years,White,14410,8587,5839,,,,,,
Unknown,65-79 years,Other,13031,10008,3209,,,,,,
Unknown,65-79 years,Unknown,3859,3326,547,,,,,,
Unknown,80+ years,Asian,323,180,144,,,,,,
Unknown,80+ years,Black,226,128,98,,,,,,
Unknown,80+ years,Hispanic,446,275,190,,,,,,
Unknown,80+ years,White,2849,1700,1152,,,,,,
Unknown,80+ years,Other,2421,1897,553,,,,,,
Unknown,80+ years,Unknown,912,735,180,,,,,,
Unknown,Unknown,Asian,1,1,0,,,,,,
Unknown,Unknown,Hispanic,6,6,0,,,,,,
Unknown,Unknown,White,10,10,0,,,,,,
Unknown,Unknown,Other,13,13,0,,,,,,
Unknown,Unknown,Unknown,16,14,3,,,,,,
Unknown,,,,,,,,,,,
Unknown,,,,,,,,,,,
Unknown,,,,,,,,,,,
Unknown,,,,,,,,,,,
Unknown,,,,,,,,,,,
Unknown,,,,,,,,,,,
Unknown,,,,,,,,,,,
Unknown,,,,,,,,,,,
Unknown,,,,,,,,,,,
Unknown,,,,,,,,,,,
Unknown,,,,,,,,,,,
Unknown,,,,,,,,,,,
Unknown,,,,,,,,,,,
Unknown,,,,,,,,,,,
