Gender,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,,,,,,,,,
Female,16-49 years,Asian,47585,30272,17313,,,,,,,,,
Female,16-49 years,Black,33859,22446,11413,,,,,,,,,
Female,16-49 years,Hispanic,105098,74020,31078,,,,,,,,,
Female,16-49 years,White,192354,124055,68299,,,,,,,,,
Female,16-49 years,Other,65137,45466,19671,,,,,,,,,
Female,16-49 years,Unknown,295700,204322,91378,,,,,,,,,
Female,50-64 years,Asian,22565,15719,6846,,,,,,,,,
Female,50-64 years,Black,27676,19629,8047,,,,,,,,,
Female,50-64 years,Hispanic,54371,42302,12069,,,,,,,,,
Female,50-64 years,White,130049,92588,37461,,,,,,,,,
Female,50-64 years,Other,40522,29591,10931,,,,,,,,,
Female,50-64 years,Unknown,187969,139569,48400,,,,,,,,,
Female,65-79 years,Asian,22056,18024,4032,,,,,,,,,
Female,65-79 years,Black,23177,20140,3037,,,,,,,,,
Female,65-79 years,Hispanic,42581,36579,6002,,,,,,,,,
Female,65-79 years,White,195832,162834,32998,,,,,,,,,
Female,65-79 years,Other,42667,33442,9225,,,,,,,,,
Female,65-79 years,Unknown,204706,169063,35643,,,,,,,,,
Female,80+ years,Asian,4769,3917,852,,,,,,,,,
Female,80+ years,Black,4961,4400,561,,,,,,,,,
Female,80+ years,Hispanic,9825,8535,1290,,,,,,,,,
Female,80+ years,White,58773,48301,10472,,,,,,,,,
Female,80+ years,Other,43082,30822,12260,,,,,,,,,
Female,80+ years,Unknown,73252,59594,13658,,,,,,,,,
Female,Unknown,Asian,21,19,2,,,,,,,,,
Female,Unknown,Black,21,18,3,,,,,,,,,
Female,Unknown,Hispanic,107,98,9,,,,,,,,,
Female,Unknown,White,161,145,16,,,,,,,,,
Female,Unknown,Other,27,23,4,,,,,,,,,
Female,Unknown,Unknown,903,827,76,,,,,,,,,
Male,16-49 years,Asian,31426,20494,10932,,,,,,,,,
Male,16-49 years,Black,14788,10118,4670,,,,,,,,,
Male,16-49 years,Hispanic,57051,41710,15341,,,,,,,,,
Male,16-49 years,White,100138,67192,32946,,,,,,,,,
Male,16-49 years,Other,31648,22239,9409,,,,,,,,,
Male,16-49 years,Unknown,179934,126179,53755,,,,,,,,,
Male,50-64 years,Asian,16288,11812,4476,,,,,,,,,
Male,50-64 years,Black,15138,11229,3909,,,,,,,,,
Male,50-64 years,Hispanic,35560,28400,7160,,,,,,,,,
Male,50-64 years,White,84361,62709,21652,,,,,,,,,
Male,50-64 years,Other,22442,16558,5884,,,,,,,,,
Male,50-64 years,Unknown,126991,95973,31018,,,,,,,,,
Male,65-79 years,Asian,19615,15962,3653,,,,,,,,,
Male,65-79 years,Black,14896,12912,1984,,,,,,,,,
Male,65-79 years,Hispanic,32409,27669,4740,,,,,,,,,
Male,65-79 years,White,167750,139427,28323,,,,,,,,,
Male,65-79 years,Other,30719,24371,6348,,,,,,,,,
Male,65-79 years,Unknown,169400,139458,29942,,,,,,,,,
Male,80+ years,Asian,4102,3349,753,,,,,,,,,
Male,80+ years,Black,2588,2234,354,,,,,,,,,
Male,80+ years,Hispanic,6264,5393,871,,,,,,,,,
Male,80+ years,White,47469,38301,9168,,,,,,,,,
Male,80+ years,Other,17757,13052,4705,,,,,,,,,
Male,80+ years,Unknown,48071,39467,8604,,,,,,,,,
Male,Unknown,Asian,22,18,4,,,,,,,,,
Male,Unknown,Black,10,10,0,,,,,,,,,
Male,Unknown,Hispanic,62,59,3,,,,,,,,,
Male,Unknown,White,140,125,15,,,,,,,,,
Male,Unknown,Other,22,20,2,,,,,,,,,
Male,Unknown,Unknown,608,561,47,,,,,,,,,
Unknown,16-49 years,Asian,933,640,293,,,,,,,,,
Unknown,16-49 years,Black,572,423,149,,,,,,,,,
Unknown,16-49 years,Hispanic,1379,1019,360,,,,,,,,,
Unknown,16-49 years,White,2867,2013,854,,,,,,,,,
Unknown,16-49 years,Other,2261,1494,767,,,,,,,,,
Unknown,16-49 years,Unknown,8337,7611,726,,,,,,,,,
Unknown,50-64 years,Asian,645,463,182,,,,,,,,,
Unknown,50-64 years,Black,555,449,106,,,,,,,,,
Unknown,50-64 years,Hispanic,643,542,101,,,,,,,,,
Unknown,50-64 years,White,2438,1834,604,,,,,,,,,
Unknown,50-64 years,Other,1316,932,384,,,,,,,,,
Unknown,50-64 years,Unknown,8276,7552,724,,,,,,,,,
Unknown,65-79 years,Asian,1932,1472,460,,,,,,,,,
Unknown,65-79 years,Black,1091,949,142,,,,,,,,,
Unknown,65-79 years,Hispanic,1230,1069,161,,,,,,,,,
Unknown,65-79 years,White,11362,9195,2167,,,,,,,,,
Unknown,65-79 years,Other,4602,3669,933,,,,,,,,,
Unknown,65-79 years,Unknown,14075,12079,1996,,,,,,,,,
Unknown,80+ years,Asian,329,257,72,,,,,,,,,
Unknown,80+ years,Black,156,141,15,,,,,,,,,
Unknown,80+ years,Hispanic,218,190,28,,,,,,,,,
Unknown,80+ years,White,2079,1711,368,,,,,,,,,
Unknown,80+ years,Other,777,651,126,,,,,,,,,
Unknown,80+ years,Unknown,2279,1890,389,,,,,,,,,
Unknown,Unknown,Asian,1,1,0,,,,,,,,,
Unknown,Unknown,Black,1,1,0,,,,,,,,,
Unknown,Unknown,Hispanic,5,5,0,,,,,,,,,
Unknown,Unknown,White,9,9,0,,,,,,,,,
Unknown,Unknown,Other,1,1,0,,,,,,,,,
Unknown,Unknown,Unknown,47,40,7,,,,,,,,,
Texas,Total,Total,3277891,2472063,805828,,,,,,,,,
