Gender ,Agegrp,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with Booster Doses,,,,,
Female,2022-05-11 00:00:00,Asian,53907,29421,24429,57,,,,,
Female,2022-05-11 00:00:00,Black,42260,23890,18335,36,,,,,
Female,2022-05-11 00:00:00,Hispanic,432336,269489,162382,485,,,,,
Female,2022-05-11 00:00:00,Other,158415,88659,69558,203,,,,,
Female,2022-05-11 00:00:00,Unknown,30694,19391,11292,14,,,,,
Female,2022-05-11 00:00:00,White,130549,73108,57298,150,,,,,
Female,2022-12-15 00:00:00,Asian,51650,24830,21931,4897,,,,,
Female,2022-12-15 00:00:00,Black,72745,37932,31479,3338,,,,,
Female,2022-12-15 00:00:00,Hispanic,557934,302783,228025,27255,,,,,
Female,2022-12-15 00:00:00,Other,241499,120266,103872,17377,,,,,
Female,2022-12-15 00:00:00,Unknown,22458,13494,8367,599,,,,,
Female,2022-12-15 00:00:00,White,195793,99312,83750,12760,,,,,
Female,16-49,Asian,710894,320648,277972,126565,,,,,
Female,16-49,Black,931613,459846,389573,105029,,,,,
Female,16-49,Hispanic,4250316,2140162,1764335,492113,,,,,
Female,16-49,Other,1731703,803939,703502,275373,,,,,
Female,16-49,Unknown,447718,250317,179814,33257,,,,,
Female,16-49,White,3016944,1457616,1263614,411760,,,,,
Female,50-64,Asian,234898,102242,89206,48877,,,,,
Female,50-64,Black,484111,211365,190548,94934,,,,,
Female,50-64,Hispanic,1550457,703791,600750,286695,,,,,
Female,50-64,Other,951209,394863,361945,216825,,,,,
Female,50-64,Unknown,197176,104707,76287,23007,,,,,
Female,50-64,White,1798108,805187,725055,337557,,,,,
Female,65-79,Asian,113960,48500,41357,25966,,,,,
Female,65-79,Black,266065,108607,99265,63626,,,,,
Female,65-79,Hispanic,803799,343953,294671,179311,,,,,
Female,65-79,Other,884733,339149,317576,238333,,,,,
Female,65-79,Unknown,121618,63551,45394,15753,,,,,
Female,65-79,White,1534711,636864,579704,354680,,,,,
Female,80+,Asian,21331,9179,7796,4789,,,,,
Female,80+,Black,57854,24212,21700,13426,,,,,
Female,80+,Hispanic,196020,85175,72150,42315,,,,,
Female,80+,Other,289549,112485,104254,75304,,,,,
Female,80+,Unknown,44739,23767,16722,5135,,,,,
Female,80+,White,456576,188701,170883,107349,,,,,
Female,Unknown,Asian,126,94,37,,,,,,
Female,Unknown,Black,191,153,45,6,,,,,
Female,Unknown,Hispanic,1417,1210,269,7,,,,,
Female,Unknown,Other,225,182,46,0,,,,,
Female,Unknown,Unknown,808,702,119,,,,,,
Female,Unknown,White,741,581,195,10,,,,,
Male,2022-05-11 00:00:00,Asian,56600,30959,25584,58,,,,,
Male,2022-05-11 00:00:00,Black,42746,24235,18474,37,,,,,
Male,2022-05-11 00:00:00,Hispanic,435270,271502,163317,475,,,,,
Male,2022-05-11 00:00:00,Other,161478,90512,70731,242,,,,,
Male,2022-05-11 00:00:00,Unknown,31918,20215,11684,21,,,,,
Male,2022-05-11 00:00:00,White,135865,75976,59749,147,,,,,
Male,2022-12-15 00:00:00,Asian,52834,25497,22519,4821,,,,,
Male,2022-12-15 00:00:00,Black,71636,37424,30884,3335,,,,,
Male,2022-12-15 00:00:00,Hispanic,552515,302873,223800,25950,,,,,
Male,2022-12-15 00:00:00,Other,241885,120867,103945,17099,,,,,
Male,2022-12-15 00:00:00,Unknown,23222,14078,8620,533,,,,,
Male,2022-12-15 00:00:00,White,197431,100867,84251,12344,,,,,
Male,16-49,Asian,691979,328553,283001,116431,,,,,
Male,16-49,Black,741939,378122,314307,77646,,,,,
Male,16-49,Hispanic,3766088,1981707,1592302,369452,,,,,
Male,16-49,Other,1540331,746332,638677,223546,,,,,
Male,16-49,Unknown,395266,234802,162081,23018,,,,,
Male,16-49,White,2743321,1367583,1173892,349700,,,,,
Male,50-64,Asian,217119,94842,83973,46148,,,,,
Male,50-64,Black,404284,183244,161579,74782,,,,,
Male,50-64,Hispanic,1398742,648136,554761,241781,,,,,
Male,50-64,Other,787037,335363,304225,171589,,,,,
Male,50-64,Unknown,173571,95914,68915,17463,,,,,
Male,50-64,White,1674349,769358,685621,299731,,,,,
Male,65-79,Asian,97081,40986,34947,22616,,,,,
Male,65-79,Black,182920,76601,68073,43057,,,,,
Male,65-79,Hispanic,637277,272319,234460,143667,,,,,
Male,65-79,Other,697411,269377,250045,187089,,,,,
Male,65-79,Unknown,109564,57673,40860,14183,,,,,
Male,65-79,White,1340161,563172,506607,305901,,,,,
Male,80+,Asian,17037,7137,6158,4048,,,,,
Male,80+,Black,26597,11358,9792,6159,,,,,
Male,80+,Hispanic,118447,51125,43143,26517,,,,,
Male,80+,Other,174545,67154,61700,47314,,,,,
Male,80+,Unknown,29705,15987,10788,3511,,,,,
Male,80+,White,325779,134635,119903,78355,,,,,
Male,Unknown,Asian,146,103,46,,,,,,
Male,Unknown,Black,143,115,36,,,,,,
Male,Unknown,Hispanic,1362,1167,264,10,,,,,
Male,Unknown,Other,215,169,59,,,,,,
Male,Unknown,Unknown,586,508,89,0,,,,,
Male,Unknown,White,673,527,182,6,,,,,
Unknown,2022-05-11 00:00:00,Asian,38,25,13,0,,,,,
Unknown,2022-05-11 00:00:00,Black,11,7,4,0,,,,,
Unknown,2022-05-11 00:00:00,Hispanic,749,677,72,0,,,,,
Unknown,2022-05-11 00:00:00,Other,83,63,20,0,,,,,
Unknown,2022-05-11 00:00:00,Unknown,137,92,45,0,,,,,
Unknown,2022-05-11 00:00:00,White,45,35,10,0,,,,,
Unknown,2022-12-15 00:00:00,Asian,30,16,11,,,,,,
Unknown,2022-12-15 00:00:00,Black,34,21,13,0,,,,,
Unknown,2022-12-15 00:00:00,Hispanic,542,479,65,0,,,,,
Unknown,2022-12-15 00:00:00,Other,109,74,33,,,,,,
