Gender,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,,,,,,
Female,16-49 years,Asian,120433,84200,39606,,,,,,
Female,16-49 years,Black,95594,68734,30584,,,,,,
Female,16-49 years,Hispanic,406702,296922,122986,,,,,,
Female,16-49 years,White,522604,367729,173548,,,,,,
Female,16-49 years,Other,134182,89046,47294,,,,,,
Female,16-49 years,Unknown,371423,222904,150995,,,,,,
Female,50-64 years,Asian,65664,45738,21651,,,,,,
Female,50-64 years,Black,96805,71005,28857,,,,,,
Female,50-64 years,Hispanic,268144,194922,80764,,,,,,
Female,50-64 years,White,462027,330230,145744,,,,,,
Female,50-64 years,Other,90384,59652,31798,,,,,,
Female,50-64 years,Unknown,243991,147680,98308,,,,,,
Female,65-79 years,Asian,64957,40307,25371,,,,,,
Female,65-79 years,Black,92544,61710,32368,,,,,,
Female,65-79 years,Hispanic,228850,152676,79826,,,,,,
Female,65-79 years,White,703884,446523,266462,,,,,,
Female,65-79 years,Other,103531,64233,39896,,,,,,
Female,65-79 years,Unknown,255630,152866,104199,,,,,,
Female,80+ years,Asian,13242,8164,5236,,,,,,
Female,80+ years,Black,19915,13428,6905,,,,,,
Female,80+ years,Hispanic,57057,38224,19743,,,,,,
Female,80+ years,White,199619,127836,74525,,,,,,
Female,80+ years,Other,65226,40724,24646,,,,,,
Female,80+ years,Unknown,90643,55693,35381,,,,,,
Female,Unknown,Asian,46,41,7,,,,,,
Female,Unknown,Black,73,62,13,,,,,,
Female,Unknown,Hispanic,378,324,65,,,,,,
Female,Unknown,White,409,349,68,,,,,,
Female,Unknown,Other,67,56,12,,,,,,
Female,Unknown,Unknown,934,810,125,,,,,,
Male,16-49 years,Asian,93277,67498,28921,,,,,,
Male,16-49 years,Black,52842,39834,15434,,,,,,
Male,16-49 years,Hispanic,268134,200506,77053,,,,,,
Male,16-49 years,White,339449,247789,104675,,,,,,
Male,16-49 years,Other,78899,54534,26055,,,,,,
Male,16-49 years,Unknown,231039,140142,92716,,,,,,
Male,50-64 years,Asian,55092,39262,17428,,,,,,
Male,50-64 years,Black,62767,47013,18177,,,,,,
Male,50-64 years,Hispanic,196495,145332,57202,,,,,,
Male,50-64 years,White,352023,257495,105665,,,,,,
Male,50-64 years,Other,58019,39258,19615,,,,,,
Male,50-64 years,Unknown,169287,103879,66958,,,,,,
Male,65-79 years,Asian,56440,34824,22176,,,,,,
Male,65-79 years,Black,60190,40076,21197,,,,,,
Male,65-79 years,Hispanic,171445,114497,59837,,,,,,
Male,65-79 years,White,600187,379171,228189,,,,,,
Male,65-79 years,Other,79330,49084,30708,,,,,,
Male,65-79 years,Unknown,212819,126677,87306,,,,,,
Male,80+ years,Asian,11157,6752,4555,,,,,,
Male,80+ years,Black,9535,6329,3383,,,,,,
Male,80+ years,Hispanic,34637,23014,12203,,,,,,
Male,80+ years,White,151080,94598,58351,,,,,,
Male,80+ years,Other,30206,18811,11484,,,,,,
Male,80+ years,Unknown,58262,35506,23059,,,,,,
Male,Unknown,Asian,60,47,14,,,,,,
Male,Unknown,Black,44,39,5,,,,,,
Male,Unknown,Hispanic,288,250,47,,,,,,
Male,Unknown,White,344,298,51,,,,,,
Male,Unknown,Other,64,55,9,,,,,,
Male,Unknown,Unknown,629,553,76,,,,,,
Unknown,16-49 years,Asian,1160,702,492,,,,,,
Unknown,16-49 years,Black,684,418,274,,,,,,
Unknown,16-49 years,Hispanic,2035,1378,858,,,,,,
Unknown,16-49 years,White,4620,3346,1289,,,,,,
Unknown,16-49 years,Other,6729,5646,1617,,,,,,
Unknown,16-49 years,Unknown,3743,2911,962,,,,,,
Unknown,50-64 years,Asian,747,447,311,,,,,,
Unknown,50-64 years,Black,751,462,290,,,,,,
Unknown,50-64 years,Hispanic,1186,872,404,,,,,,
Unknown,50-64 years,White,5438,4345,1104,,,,,,
Unknown,50-64 years,Other,9291,8584,1045,,,,,,
Unknown,50-64 years,Unknown,3223,2802,484,,,,,,
Unknown,65-79 years,Asian,1906,1029,879,,,,,,
Unknown,65-79 years,Black,1391,795,598,,,,,,
Unknown,65-79 years,Hispanic,1932,1207,751,,,,,,
Unknown,65-79 years,White,13909,8151,5764,,,,,,
Unknown,65-79 years,Other,11013,8412,2725,,,,,,
Unknown,65-79 years,Unknown,3487,2976,520,,,,,,
Unknown,80+ years,Asian,323,179,144,,,,,,
Unknown,80+ years,Black,222,126,96,,,,,,
Unknown,80+ years,Hispanic,383,250,139,,,,,,
Unknown,80+ years,White,2734,1608,1127,,,,,,
Unknown,80+ years,Other,2076,1612,484,,,,,,
Unknown,80+ years,Unknown,867,711,158,,,,,,
Unknown,Unknown,Asian,1,1,0,,,,,,
Unknown,Unknown,Hispanic,6,6,0,,,,,,
Unknown,Unknown,White,10,10,0,,,,,,
Unknown,Unknown,Other,13,13,0,,,,,,
Unknown,Unknown,Unknown,16,14,3,,,,,,
Grand Total,Total,Total,8288894,5554924,2902050,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
