Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with Booster Doses,,,,,
Female,2022-05-11 00:00:00,Asian,51803,28473,23286,44,,,,,
Female,2022-05-11 00:00:00,Black,39704,22678,17003,24,,,,,
Female,2022-05-11 00:00:00,Hispanic,373403,230246,142853,320,,,,,
Female,2022-05-11 00:00:00,Other,150523,85051,65317,161,,,,,
Female,2022-05-11 00:00:00,Unknown,29329,18849,10468,13,,,,,
Female,2022-05-11 00:00:00,White,125450,70829,54516,112,,,,,
Female,2022-12-15 00:00:00,Asian,50820,24701,21799,4328,,,,,
Female,2022-12-15 00:00:00,Black,71519,37571,31088,2864,,,,,
Female,2022-12-15 00:00:00,Hispanic,530575,286150,221541,23007,,,,,
Female,2022-12-15 00:00:00,Other,237548,119311,102780,15473,,,,,
Female,2022-12-15 00:00:00,Unknown,22122,13346,8262,516,,,,,
Female,2022-12-15 00:00:00,White,193515,98810,83184,11550,,,,,
Female,16-49,Asian,703833,319318,277181,121602,,,,,
Female,16-49,Black,914353,454712,384173,98095,,,,,
Female,16-49,Hispanic,4162566,2102661,1743691,460954,,,,,
Female,16-49,Other,1703182,794910,695609,263207,,,,,
Female,16-49,Unknown,447115,250062,181654,31030,,,,,
Female,16-49,White,2988878,1450323,1256253,397737,,,,,
Female,50-64,Asian,232698,101773,89011,47337,,,,,
Female,50-64,Black,478740,210782,189735,90954,,,,,
Female,50-64,Hispanic,1525250,695778,596179,273675,,,,,
Female,50-64,Other,934783,390427,357571,208937,,,,,
Female,50-64,Unknown,198725,105740,77702,22133,,,,,
Female,50-64,White,1785081,803452,723021,328152,,,,,
Female,65-79,Asian,112972,48278,41257,25299,,,,,
Female,65-79,Black,263500,108522,98986,61428,,,,,
Female,65-79,Hispanic,791829,340660,292401,172758,,,,,
Female,65-79,Other,867949,335074,313033,230051,,,,,
Female,65-79,Unknown,124032,64778,46592,15779,,,,,
Female,65-79,White,1522997,635781,577986,345736,,,,,
Female,80+,Asian,21132,9137,7765,4661,,,,,
Female,80+,Black,57356,24182,21649,13011,,,,,
Female,80+,Hispanic,192908,84340,71508,40637,,,,,
Female,80+,Other,285458,111607,103194,73114,,,,,
Female,80+,Unknown,45342,24109,17021,5113,,,,,
Female,80+,White,453401,188415,170503,104833,,,,,
Female,Unknown,Asian,125,93,37,,,,,,
Female,Unknown,Black,182,147,43,,,,,,
Female,Unknown,Hispanic,1223,1033,252,6,,,,,
Female,Unknown,Other,220,178,45,0,,,,,
Female,Unknown,Unknown,808,701,119,,,,,,
Female,Unknown,White,735,578,193,9,,,,,
Male,2022-05-11 00:00:00,Asian,54314,29911,24353,50,,,,,
Male,2022-05-11 00:00:00,Black,40098,22988,17082,28,,,,,
Male,2022-05-11 00:00:00,Hispanic,376017,231990,143734,313,,,,,
Male,2022-05-11 00:00:00,Other,153722,87029,66517,181,,,,,
Male,2022-05-11 00:00:00,Unknown,30539,19673,10853,15,,,,,
Male,2022-05-11 00:00:00,White,130539,73587,56841,118,,,,,
Male,2022-12-15 00:00:00,Asian,52085,25408,22410,4270,,,,,
Male,2022-12-15 00:00:00,Black,70332,37065,30478,2796,,,,,
Male,2022-12-15 00:00:00,Hispanic,525458,286392,217300,21874,,,,,
Male,2022-12-15 00:00:00,Other,238093,119983,102892,15243,,,,,
Male,2022-12-15 00:00:00,Unknown,22853,13926,8475,460,,,,,
Male,2022-12-15 00:00:00,White,195152,100352,83658,11171,,,,,
Male,16-49,Asian,684203,325847,281741,111947,,,,,
Male,16-49,Black,729556,374337,310622,72473,,,,,
Male,16-49,Hispanic,3696934,1950095,1575219,346692,,,,,
Male,16-49,Other,1516642,738353,632081,213713,,,,,
Male,16-49,Unknown,392371,232538,162550,21718,,,,,
Male,16-49,White,2718347,1360195,1167624,337404,,,,,
Male,50-64,Asian,215106,94418,83806,44665,,,,,
Male,50-64,Black,399700,182757,160869,71390,,,,,
Male,50-64,Hispanic,1376945,641685,550440,230298,,,,,
Male,50-64,Other,773699,331789,300696,165130,,,,,
Male,50-64,Unknown,174525,96517,69804,16949,,,,,
Male,50-64,White,1661859,767393,683503,291064,,,,,
Male,65-79,Asian,96198,40785,34858,22024,,,,,
Male,65-79,Black,181043,76485,67727,41639,,,,,
Male,65-79,Hispanic,627050,269606,232231,138255,,,,,
Male,65-79,Other,684220,266273,246329,180623,,,,,
Male,65-79,Unknown,111468,58645,41785,14209,,,,,
Male,65-79,White,1328844,561741,504376,298222,,,,,
Male,80+,Asian,16819,7075,6123,3925,,,,,
Male,80+,Black,26385,11343,9746,6009,,,,,
Male,80+,Hispanic,116488,50570,42708,25519,,,,,
Male,80+,Other,171317,66437,60786,45703,,,,,
Male,80+,Unknown,30266,16273,11034,3545,,,,,
Male,80+,White,322844,134253,119275,76427,,,,,
Male,Unknown,Asian,138,99,42,,,,,,
Male,Unknown,Black,140,112,36,,,,,,
Male,Unknown,Hispanic,1180,988,259,10,,,,,
Male,Unknown,Other,203,160,56,,,,,,
