Gender ,Agegrp,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with Booster Doses,,,,,
Female,2022-05-11 00:00:00,Asian,53687,29322,24309,56,,,,,
Female,2022-05-11 00:00:00,Black,41998,23767,18195,37,,,,,
Female,2022-05-11 00:00:00,Hispanic,422094,261254,160392,468,,,,,
Female,2022-05-11 00:00:00,Other,157644,88267,69179,204,,,,,
Female,2022-05-11 00:00:00,Unknown,30482,19286,11184,14,,,,,
Female,2022-05-11 00:00:00,White,129987,72860,56990,144,,,,,
Female,2022-12-15 00:00:00,Asian,51602,24822,21922,4866,,,,,
Female,2022-12-15 00:00:00,Black,72615,37896,31437,3286,,,,,
Female,2022-12-15 00:00:00,Hispanic,553612,299672,227222,26847,,,,,
Female,2022-12-15 00:00:00,Other,241107,120150,103767,17206,,,,,
Female,2022-12-15 00:00:00,Unknown,22431,13481,8359,593,,,,,
Female,2022-12-15 00:00:00,White,195536,99243,83668,12654,,,,,
Female,16-49,Asian,710129,320505,277891,126019,,,,,
Female,16-49,Black,929644,459125,389024,104311,,,,,
Female,16-49,Hispanic,4239381,2135245,1761984,488320,,,,,
Female,16-49,Other,1728208,802764,702541,273940,,,,,
Female,16-49,Unknown,447619,250109,180011,33156,,,,,
Female,16-49,White,3013380,1456511,1262789,410059,,,,,
Female,50-64,Asian,234550,102155,89150,48669,,,,,
Female,50-64,Black,483482,211329,190474,94414,,,,,
Female,50-64,Hispanic,1546417,702441,600038,284686,,,,,
Female,50-64,Other,948343,394113,361174,215428,,,,,
Female,50-64,Unknown,197568,104874,76516,22997,,,,,
Female,50-64,White,1795814,804845,724673,335977,,,,,
Female,65-79,Asian,113736,48440,41329,25827,,,,,
Female,65-79,Black,265626,108617,99210,63233,,,,,
Female,65-79,Hispanic,801125,343177,294079,177989,,,,,
Female,65-79,Other,880224,338162,316391,235983,,,,,
Female,65-79,Unknown,122351,63889,45703,15837,,,,,
Female,65-79,White,1531724,636558,579264,352438,,,,,
Female,80+,Asian,21278,9165,7786,4760,,,,,
Female,80+,Black,57790,24207,21696,13368,,,,,
Female,80+,Hispanic,195317,84991,71978,41961,,,,,
Female,80+,Other,288366,112236,103930,74691,,,,,
Female,80+,Unknown,44894,23846,16786,5150,,,,,
Female,80+,White,455839,188641,170807,106748,,,,,
Female,Unknown,Asian,126,94,37,,,,,,
Female,Unknown,Black,188,151,44,6,,,,,
Female,Unknown,Hispanic,1341,1136,267,7,,,,,
Female,Unknown,Other,224,181,46,0,,,,,
Female,Unknown,Unknown,807,702,118,,,,,,
Female,Unknown,White,740,580,195,10,,,,,
Male,2022-05-11 00:00:00,Asian,56350,30852,25441,58,,,,,
Male,2022-05-11 00:00:00,Black,42479,24107,18336,36,,,,,
Male,2022-05-11 00:00:00,Hispanic,424861,263084,161352,449,,,,,
Male,2022-05-11 00:00:00,Other,160726,90137,70351,244,,,,,
Male,2022-05-11 00:00:00,Unknown,31701,20089,11594,20,,,,,
Male,2022-05-11 00:00:00,White,135288,75704,59450,141,,,,,
Male,2022-12-15 00:00:00,Asian,52774,25494,22507,4776,,,,,
Male,2022-12-15 00:00:00,Black,71507,37382,30831,3301,,,,,
Male,2022-12-15 00:00:00,Hispanic,548132,299677,222984,25579,,,,,
Male,2022-12-15 00:00:00,Other,241497,120762,103816,16945,,,,,
Male,2022-12-15 00:00:00,Unknown,23185,14059,8607,528,,,,,
Male,2022-12-15 00:00:00,White,197175,100789,84182,12235,,,,,
Male,16-49,Asian,691016,328147,282844,115934,,,,,
Male,16-49,Black,740495,377621,313896,77079,,,,,
Male,16-49,Hispanic,3757086,1977332,1590238,366715,,,,,
Male,16-49,Other,1537331,745296,637858,222310,,,,,
Male,16-49,Unknown,394807,234311,162163,22935,,,,,
Male,16-49,White,2740067,1366494,1173059,348213,,,,,
Male,50-64,Asian,216789,94743,83933,45951,,,,,
Male,50-64,Black,403678,183179,161475,74351,,,,,
