Gender ,Agegrp,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with Booster Doses,,,,,
Unknown,50-64,Black,717,380,314,65,,,,,
Unknown,50-64,Hispanic,6547,3454,3032,426,,,,,
Unknown,50-64,Other,6830,3919,2986,346,,,,,
Unknown,50-64,Unknown,1951,1127,803,149,,,,,
Unknown,50-64,White,4288,2301,1959,179,,,,,
Unknown,65-79,Asian,473,228,190,60,,,,,
Unknown,65-79,Black,419,219,177,44,,,,,
Unknown,65-79,Hispanic,3246,1685,1418,258,,,,,
Unknown,65-79,Other,4184,2368,1725,269,,,,,
Unknown,65-79,Unknown,1227,673,472,103,,,,,
Unknown,65-79,White,3251,1732,1431,160,,,,,
Unknown,80+,Asian,114,59,46,9,,,,,
Unknown,80+,Black,98,56,37,11,,,,,
Unknown,80+,Hispanic,742,394,321,51,,,,,
Unknown,80+,Other,1028,640,376,47,,,,,
Unknown,80+,Unknown,394,244,134,21,,,,,
Unknown,80+,White,874,481,365,52,,,,,
Unknown,Unknown,Asian,1,1,0,0,,,,,
Unknown,Unknown,Hispanic,7,7,1,0,,,,,
Unknown,Unknown,Other,78,72,7,0,,,,,
Unknown,Unknown,Unknown,15,14,2,0,,,,,
Unknown,Unknown,White,18,17,1,0,,,,,
Grand Total,Total,Total,43194203,20634296,17419881,6502643,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
Grand Total,,,,,,,,,,,
