Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,People with Booster Doses,,,,,
Female,2022-05-11 00:00:00,Asian,42854,25430,17406,18,,,,,
Female,2022-05-11 00:00:00,Black,28151,18354,9788,10,,,,,
Female,2022-05-11 00:00:00,Hispanic,238678,157147,81462,93,,,,,
Female,2022-05-11 00:00:00,Other,113308,69896,43337,87,,,,,
Female,2022-05-11 00:00:00,Unknown,21744,15196,6543,6,,,,,
Female,2022-05-11 00:00:00,White,100512,60669,39797,61,,,,,
Female,2022-12-15 00:00:00,Asian,46613,24285,21274,1062,,,,,
Female,2022-12-15 00:00:00,Black,66245,36259,29269,721,,,,,
Female,2022-12-15 00:00:00,Hispanic,468025,259691,202660,5751,,,,,
Female,2022-12-15 00:00:00,Other,217050,114873,97406,4786,,,,,
Female,2022-12-15 00:00:00,Unknown,21152,12879,8059,215,,,,,
Female,2022-12-15 00:00:00,White,181593,96991,80695,3933,,,,,
Female,16-49,Asian,679130,315078,275492,102771,,,,,
Female,16-49,Black,867080,441829,370654,76830,,,,,
Female,16-49,Hispanic,3905166,2011534,1684495,348695,,,,,
Female,16-49,Other,1611007,767339,670845,221807,,,,,
Female,16-49,Unknown,449098,250959,186797,27101,,,,,
Female,16-49,White,2888014,1426640,1235120,340160,,,,,
Female,50-64,Asian,226186,100515,88772,42324,,,,,
Female,50-64,Black,462042,209062,187396,78280,,,,,
Female,50-64,Hispanic,1443155,671524,583158,228025,,,,,
Female,50-64,Other,893274,379208,347635,187942,,,,,
Female,50-64,Unknown,201675,107492,81144,20105,,,,,
Female,50-64,White,1739848,797413,717220,294257,,,,,
Female,65-79,Asian,110317,47583,41078,23519,,,,,
Female,65-79,Black,256914,108156,98468,55740,,,,,
Female,65-79,Hispanic,758875,331749,287352,153535,,,,,
Female,65-79,Other,842808,328802,307081,216812,,,,,
Female,65-79,Unknown,126997,66503,48831,14921,,,,,
Female,65-79,White,1496312,633285,575869,323516,,,,,
Female,80+,Asian,20738,9073,7757,4341,,,,,
