Gender,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated
Female,16-49 years,Asian,115121,79512,38412
Female,16-49 years,Black,91038,64588,29588
Female,16-49 years,Hispanic,387916,280152,119448
Female,16-49 years,White,502386,350022,168655
Female,16-49 years,Other,130805,86363,46283
Female,16-49 years,Unknown,369023,220963,150085
Female,50-64 years,Asian,62886,43523,20796
Female,50-64 years,Black,92806,67648,27619
Female,50-64 years,Hispanic,256302,184929,78072
Female,50-64 years,White,442419,314093,140024
Female,50-64 years,Other,87241,57535,30593
Female,50-64 years,Unknown,242383,146414,97603
Female,65-79 years,Asian,64114,39935,24775
Female,65-79 years,Black,90214,60078,31331
Female,65-79 years,Hispanic,223481,148860,77834
Female,65-79 years,White,690947,438024,260456
Female,65-79 years,Other,101389,63199,38682
Female,65-79 years,Unknown,254750,152500,103471
Female,80+ years,Asian,13027,8068,5090
Female,80+ years,Black,19393,13047,6660
Female,80+ years,Hispanic,55803,37399,19188
Female,80+ years,White,195953,125402,72737
Female,80+ years,Other,64770,40547,24341
Female,80+ years,Unknown,90479,55651,35198
Female,Unknown,Asian,42,37,5
Female,Unknown,Black,71,60,13
Female,Unknown,Hispanic,364,311,63
Female,Unknown,White,399,340,66
Female,Unknown,Other,67,56,12
Female,Unknown,Unknown,933,809,125
Male,16-49 years,Asian,88772,63463,27846
Male,16-49 years,Black,50031,37267,14790
Male,16-49 years,Hispanic,255037,188758,74637
Male,16-49 years,White,324269,234345,101240
Male,16-49 years,Other,76321,52434,25327
Male,16-49 years,Unknown,229122,138520,92055
Male,50-64 years,Asian,52483,37119,16637
Male,50-64 years,Black,60038,44728,17259
Male,50-64 years,Hispanic,187220,137357,55144
Male,50-64 years,White,336077,244139,101180
Male,50-64 years,Other,55585,37498,18799
Male,50-64 years,Unknown,168057,102889,66418
Male,65-79 years,Asian,55821,34605,21685
Male,65-79 years,Black,58699,39062,20486
Male,65-79 years,Hispanic,167367,111565,58346
Male,65-79 years,White,589458,372168,223239
Male,65-79 years,Other,77520,48228,29672
Male,65-79 years,Unknown,212155,126439,86687
Male,80+ years,Asian,10986,6674,4436
Male,80+ years,Black,9316,6174,3269
Male,80+ years,Hispanic,33857,22495,11864
Male,80+ years,White,148611,93008,57129
Male,80+ years,Other,29908,18676,11301
Male,80+ years,Unknown,58137,35470,22931
Male,Unknown,Asian,59,46,14
Male,Unknown,Black,45,40,5
Male,Unknown,Hispanic,281,243,47
Male,Unknown,White,336,292,48
Male,Unknown,Other,61,52,9
Male,Unknown,Unknown,630,554,76
Unknown,16-49 years,Asian,1135,679,476
Unknown,16-49 years,Black,673,410,267
Unknown,16-49 years,Hispanic,2000,1345,852
Unknown,16-49 years,White,4597,3322,1286
Unknown,16-49 years,Other,6698,5622,1608
Unknown,16-49 years,Unknown,3272,2446,904
Unknown,50-64 years,Asian,736,436,304
Unknown,50-64 years,Black,745,457,288
Unknown,50-64 years,Hispanic,1171,857,403
Unknown,50-64 years,White,5415,4323,1100
Unknown,50-64 years,Other,9240,8533,1044
Unknown,50-64 years,Unknown,2577,2166,458
Unknown,65-79 years,Asian,1912,1033,881
Unknown,65-79 years,Black,1382,791,592
Unknown,65-79 years,Hispanic,1926,1201,751
Unknown,65-79 years,White,13891,8143,5752
Unknown,65-79 years,Other,10964,8360,2727
Unknown,65-79 years,Unknown,3002,2494,516
Unknown,80+ years,Asian,323,179,144
Unknown,80+ years,Black,221,125,96
Unknown,80+ years,Hispanic,384,251,139
Unknown,80+ years,White,2730,1607,1124
Unknown,80+ years,Other,2071,1606,485
Unknown,80+ years,Unknown,833,677,158
Unknown,Unknown,Asian,1,1,0
Unknown,Unknown,Hispanic,6,6,0
Unknown,Unknown,White,10,10,0
Unknown,Unknown,Other,13,13,0
Unknown,Unknown,Unknown,15,13,2
Texas,Total,Total,8060724,5371479,2832158
