Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,,,,,,
Female,12-15 years,Asian,45050,24106,20928,,,,,,
Female,12-15 years,Black,57441,32389,25025,,,,,,
Female,12-15 years,Hispanic,375555,211896,163476,,,,,,
Female,12-15 years,Other,175153,96407,78617,,,,,,
Female,12-15 years,Unknown,17478,10550,6927,,,,,,
Female,12-15 years,White,165907,91838,73966,,,,,,
Female,16-49 years,Asian,577732,309031,278808,,,,,,
Female,16-49 years,Black,697015,392178,321522,,,,,,
Female,16-49 years,Hispanic,3188183,1792635,1502402,,,,,,
Female,16-49 years,Other,986280,548964,461120,,,,,,
Female,16-49 years,Unknown,523027,296724,238655,,,,,,
Female,16-49 years,White,2422808,1346315,1163046,,,,,,
Female,50-64 years,Asian,191780,101379,92783,,,,,,
Female,50-64 years,Black,371236,200821,177623,,,,,,
Female,50-64 years,Hispanic,1142128,615486,545024,,,,,,
Female,50-64 years,Other,452307,238511,212723,,,,,,
Female,50-64 years,Unknown,266687,147647,123937,,,,,,
Female,50-64 years,White,1453505,788353,707420,,,,,,
Female,65-79 years,Asian,93970,48213,44015,,,,,,
Female,65-79 years,Black,206837,108471,98166,,,,,,
Female,65-79 years,Hispanic,578014,300760,271381,,,,,,
Female,65-79 years,Other,403493,199905,182594,,,,,,
Female,65-79 years,Unknown,204644,110667,95103,,,,,,
Female,65-79 years,White,1236879,640342,587388,,,,,,
Female,80+ years,Asian,17578,9126,8214,,,,,,
Female,80+ years,Black,44395,23703,21133,,,,,,
Female,80+ years,Hispanic,139489,73876,64846,,,,,,
Female,80+ years,Other,152525,77791,69063,,,,,,
Female,80+ years,Unknown,79299,43478,36239,,,,,,
Female,80+ years,White,351388,183282,167184,,,,,,
Female,Unknown,Asian,130,98,38,,,,,,
Female,Unknown,Black,207,163,55,,,,,,
Female,Unknown,Hispanic,1238,965,327,,,,,,
Female,Unknown,Other,382,273,114,,,,,,
Female,Unknown,Unknown,883,753,142,,,,,,
Female,Unknown,White,886,679,250,,,,,,
Male,12-15 years,Asian,46344,24824,21507,,,,,,
Male,12-15 years,Black,56455,31920,24504,,,,,,
Male,12-15 years,Hispanic,369652,210277,159204,,,,,,
Male,12-15 years,Other,176248,97253,78847,,,,,,
Male,12-15 years,Unknown,18205,11099,7102,,,,,,
Male,12-15 years,White,167838,93404,74326,,,,,,
Male,16-49 years,Asian,558407,307907,277054,,,,,,
Male,16-49 years,Black,561466,323312,260341,,,,,,
Male,16-49 years,Hispanic,2846190,1645055,1336624,,,,,,
Male,16-49 years,Other,917111,525392,431724,,,,,,
Male,16-49 years,Unknown,413061,244298,189350,,,,,,
Male,16-49 years,White,2200708,1248550,1069697,,,,,,
Male,50-64 years,Asian,176044,94178,86358,,,,,,
Male,50-64 years,Black,309150,171199,149047,,,,,,
Male,50-64 years,Hispanic,1036938,567281,497671,,,,,,
Male,50-64 years,Other,387626,208278,183959,,,,,,
Male,50-64 years,Unknown,215798,122365,100640,,,,,,
Male,50-64 years,White,1340532,737772,659042,,,,,,
Male,65-79 years,Asian,79898,40644,37156,,,,,,
Male,65-79 years,Black,139774,74108,66393,,,,,,
Male,65-79 years,Hispanic,452939,236964,213396,,,,,,
Male,65-79 years,Other,319173,158194,144212,,,,,,
Male,65-79 years,Unknown,174713,94858,81212,,,,,,
Male,65-79 years,White,1067363,554449,508345,,,,,,
Male,80+ years,Asian,13944,7080,6428,,,,,,
Male,80+ years,Black,20345,10885,9586,,,,,,
Male,80+ years,Hispanic,84011,44321,38987,,,,,,
Male,80+ years,Other,87079,43484,38714,,,,,,
Male,80+ years,Unknown,48120,26464,21821,,,,,,
Male,80+ years,White,251820,130061,118591,,,,,,
Male,Unknown,Asian,117,89,31,,,,,,
Male,Unknown,Black,162,128,46,,,,,,
Male,Unknown,Hispanic,1265,987,357,,,,,,
Male,Unknown,Other,339,251,101,,,,,,
Male,Unknown,Unknown,640,542,110,,,,,,
Male,Unknown,White,765,603,202,,,,,,
Unknown,12-15 years,Asian,65,35,30,,,,,,
Unknown,12-15 years,Black,30,19,11,,,,,,
Unknown,12-15 years,Hispanic,149,104,47,,,,,,
Unknown,12-15 years,Other,85,58,27,,,,,,
Unknown,12-15 years,Unknown,84,54,30,,,,,,
Unknown,12-15 years,White,144,88,57,,,,,,
Unknown,16-49 years,Asian,2313,1291,1123,,,,,,
Unknown,16-49 years,Black,1957,1137,938,,,,,,
Unknown,16-49 years,Hispanic,18855,11022,9951,,,,,,
Unknown,16-49 years,Other,20725,11874,9990,,,,,,
Unknown,16-49 years,Unknown,7277,4498,3172,,,,,,
Unknown,16-49 years,White,13946,7514,6821,,,,,,
Unknown,50-64 years,Asian,1057,576,496,,,,,,
Unknown,50-64 years,Black,1235,698,594,,,,,,
Unknown,50-64 years,Hispanic,13019,7007,6459,,,,,,
Unknown,50-64 years,Other,17220,9536,8428,,,,,,
Unknown,50-64 years,Unknown,3076,1833,1379,,,,,,
Unknown,50-64 years,White,11318,5994,5546,,,,,,
Unknown,65-79 years,Asian,1307,666,613,,,,,,
Unknown,65-79 years,Black,1265,688,603,,,,,,
Unknown,65-79 years,Hispanic,7032,3790,3362,,,,,,
Unknown,65-79 years,Other,11717,6433,5580,,,,,,
Unknown,65-79 years,Unknown,2267,1315,968,,,,,,
Unknown,65-79 years,White,11551,6055,5562,,,,,,
Unknown,80+ years,Asian,256,130,115,,,,,,
Unknown,80+ years,Black,220,125,103,,,,,,
Unknown,80+ years,Hispanic,1333,727,631,,,,,,
Unknown,80+ years,Other,2478,1408,1122,,,,,,
Unknown,80+ years,Unknown,619,377,244,,,,,,
