Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,,,,,,
Female,16-49 years,Asian,352428,230769,132828,,,,,,
Female,16-49 years,Black,282083,187827,107547,,,,,,
Female,16-49 years,Hispanic,1333130,900812,492466,,,,,,
Female,16-49 years,Other,336936,216733,132305,,,,,,
Female,16-49 years,Unknown,443667,269140,184422,,,,,,
Female,16-49 years,White,1334156,857440,537858,,,,,,
Female,50-64 years,Asian,147538,88615,63546,,,,,,
Female,50-64 years,Black,234816,143234,100597,,,,,,
Female,50-64 years,Hispanic,708397,437072,298127,,,,,,
Female,50-64 years,Other,192867,113242,85408,,,,,,
Female,50-64 years,Unknown,272203,158898,118977,,,,,,
Female,50-64 years,White,1046082,624774,464869,,,,,,
Female,65-79 years,Asian,89121,49621,41102,,,,,,
Female,65-79 years,Black,158655,91471,71420,,,,,,
Female,65-79 years,Hispanic,418064,240905,187650,,,,,,
Female,65-79 years,Other,178491,100856,80111,,,,,,
Female,65-79 years,Unknown,251925,140835,114464,,,,,,
Female,65-79 years,White,1036965,577175,485104,,,,,,
Female,80+ years,Asian,17171,9668,7885,,,,,,
Female,80+ years,Black,33818,19711,15251,,,,,,
Female,80+ years,Hispanic,102433,59504,45708,,,,,,
Female,80+ years,Other,89484,52295,37818,,,,,,
Female,80+ years,Unknown,90385,51620,39745,,,,,,
Female,80+ years,White,293234,164304,136452,,,,,,
Female,Unknown,Asian,117,99,27,,,,,,
Female,Unknown,Black,139,115,35,,,,,,
Female,Unknown,Hispanic,828,689,181,,,,,,
Female,Unknown,Other,172,130,46,,,,,,
Female,Unknown,Unknown,912,792,132,,,,,,
Female,Unknown,White,672,558,153,,,,,,
Male,16-49 years,Asian,316949,213096,115337,,,,,,
Male,16-49 years,Black,192571,134428,69092,,,,,,
Male,16-49 years,Hispanic,1030119,723061,361027,,,,,,
Male,16-49 years,Other,258929,173631,97257,,,,,,
Male,16-49 years,Unknown,302220,191419,120141,,,,,,
Male,16-49 years,White,1084123,730625,409094,,,,,,
Male,50-64 years,Asian,132497,80257,56615,,,,,,
Male,50-64 years,Black,171853,108307,71890,,,,,,
Male,50-64 years,Hispanic,579938,368747,236896,,,,,,
Male,50-64 years,Other,145978,87793,63497,,,,,,
Male,50-64 years,Unknown,200568,120348,85396,,,,,,
Male,50-64 years,White,899211,547791,391212,,,,,,
Male,65-79 years,Asian,76157,42342,35083,,,,,,
Male,65-79 years,Black,103183,59920,46368,,,,,,
Male,65-79 years,Hispanic,318458,185038,142206,,,,,,
Male,65-79 years,Other,139994,79164,62866,,,,,,
Male,65-79 years,Unknown,210315,117539,95646,,,,,,
Male,65-79 years,White,883006,491518,412904,,,,,,
Male,80+ years,Asian,13820,7659,6436,,,,,,
Male,80+ years,Black,15602,9099,7019,,,,,,
Male,80+ years,Hispanic,61532,35637,27563,,,,,,
Male,80+ years,Other,45983,26678,19688,,,,,,
Male,80+ years,Unknown,57133,32481,25300,,,,,,
Male,80+ years,White,212499,117906,99543,,,,,,
Male,Unknown,Asian,127,95,33,,,,,,
Male,Unknown,Black,94,77,24,,,,,,
Male,Unknown,Hispanic,736,627,156,,,,,,
Male,Unknown,Other,155,123,37,,,,,,
Male,Unknown,Unknown,638,552,95,,,,,,
Male,Unknown,White,573,483,127,,,,,,
Unknown,16-49 years,Asian,1810,1097,795,,,,,,
Unknown,16-49 years,Black,1233,749,542,,,,,,
Unknown,16-49 years,Hispanic,5184,3538,2424,,,,,,
Unknown,16-49 years,Other,29822,16715,14155,,,,,,
Unknown,16-49 years,Unknown,6387,4255,2389,,,,,,
Unknown,16-49 years,White,12996,7150,6067,,,,,,
Unknown,50-64 years,Asian,985,566,443,,,,,,
Unknown,50-64 years,Black,1121,657,510,,,,,,
Unknown,50-64 years,Hispanic,4398,2748,2051,,,,,,
Unknown,50-64 years,Other,28132,15322,13616,,,,,,
Unknown,50-64 years,Unknown,4158,2581,1694,,,,,,
Unknown,50-64 years,White,13350,7089,6453,,,,,,
Unknown,65-79 years,Asian,1940,1017,927,,,,,,
Unknown,65-79 years,Black,1600,876,754,,,,,,
Unknown,65-79 years,Hispanic,4419,2601,1971,,,,,,
Unknown,65-79 years,Other,18945,10284,9029,,,,,,
Unknown,65-79 years,Unknown,3413,2053,1389,,,,,,
Unknown,65-79 years,White,16394,8598,7892,,,,,,
Unknown,80+ years,Asian,332,179,154,,,,,,
Unknown,80+ years,Black,256,143,121,,,,,,
Unknown,80+ years,Hispanic,961,560,431,,,,,,
Unknown,80+ years,Other,3660,2056,1673,,,,,,
Unknown,80+ years,Unknown,724,446,287,,,,,,
Unknown,80+ years,White,3245,1718,1558,,,,,,
Unknown,Unknown,Asian,1,1,0,,,,,,
Unknown,Unknown,Hispanic,6,6,0,,,,,,
Unknown,Unknown,Other,79,73,7,,,,,,
Unknown,Unknown,Unknown,19,17,3,,,,,,
Unknown,Unknown,White,15,15,1,,,,,,
Grand Total,Total,Total,17067435,10568455,7118118,,,,,,
