Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated
Female,16-49 years,Asian,103545,69242,35670
Female,16-49 years,Black,79148,54049,26496
Female,16-49 years,Hispanic,336229,235551,105333
Female,16-49 years,White,443136,299522,151330
Female,16-49 years,Other,121858,79060,43708
Female,16-49 years,Unknown,358768,212208,147019
Female,50-64 years,Asian,57418,38864,19267
Female,50-64 years,Black,81161,57613,24592
Female,50-64 years,Hispanic,223725,158483,67939
Female,50-64 years,White,390626,271690,124051
Female,50-64 years,Other,82231,53899,28767
Female,50-64 years,Unknown,235727,140913,95222
Female,65-79 years,Asian,61129,37797,23574
Female,65-79 years,Black,82754,54474,28686
Female,65-79 years,Hispanic,202101,135238,68102
Female,65-79 years,White,641382,406491,237785
Female,65-79 years,Other,96896,60713,36375
Female,65-79 years,Unknown,250267,150039,100604
Female,80+ years,Asian,12509,7667,4891
Female,80+ years,Black,17700,11745,6050
Female,80+ years,Hispanic,50532,34181,16633
Female,80+ years,White,182064,116510,66406
Female,80+ years,Other,63606,39917,23732
Female,80+ years,Unknown,89636,55307,34464
Female,Unknown,Asian,39,34,5
Female,Unknown,Black,63,52,11
Female,Unknown,Hispanic,317,270,47
Female,Unknown,White,365,313,53
Female,Unknown,Other,63,52,12
Female,Unknown,Unknown,930,807,124
Male,16-49 years,Asian,78705,54475,25554
Male,16-49 years,Black,42580,30597,12934
Male,16-49 years,Hispanic,218938,157446,64951
Male,16-49 years,White,280656,196907,89349
Male,16-49 years,Other,69421,46673,23460
Male,16-49 years,Unknown,221399,132017,89682
Male,50-64 years,Asian,47700,33047,15327
Male,50-64 years,Black,51821,37705,14927
Male,50-64 years,Hispanic,161929,116723,47219
Male,50-64 years,White,294518,209797,88897
Male,50-64 years,Other,51629,34600,17395
Male,50-64 years,Unknown,162651,98415,64550
Male,65-79 years,Asian,53295,32863,20641
Male,65-79 years,Black,53772,35417,18658
Male,65-79 years,Hispanic,151309,101256,51038
Male,65-79 years,White,547708,346117,203799
Male,65-79 years,Other,74001,46326,27843
Male,65-79 years,Unknown,208318,124406,84178
Male,80+ years,Asian,10570,6376,4251
Male,80+ years,Black,8594,5625,3008
Male,80+ years,Hispanic,30719,20650,10256
Male,80+ years,White,138855,87078,52368
Male,80+ years,Other,29126,18272,10882
Male,80+ years,Unknown,57564,35251,22402
Male,Unknown,Asian,57,45,13
Male,Unknown,Black,45,39,6
Male,Unknown,Hispanic,242,207,38
Male,Unknown,White,309,268,43
Male,Unknown,Other,55,46,9
Male,Unknown,Unknown,634,557,77
Unknown,16-49 years,Asian,1150,709,444
Unknown,16-49 years,Black,674,416,260
Unknown,16-49 years,Hispanic,1965,1321,786
Unknown,16-49 years,White,4645,3389,1258
Unknown,16-49 years,Other,6322,5271,1413
Unknown,16-49 years,Unknown,3020,2202,834
Unknown,50-64 years,Asian,731,431,302
Unknown,50-64 years,Black,734,447,287
Unknown,50-64 years,Hispanic,1087,781,368
Unknown,50-64 years,White,5432,4343,1091
Unknown,50-64 years,Other,8968,8291,885
Unknown,50-64 years,Unknown,2322,1922,407
Unknown,65-79 years,Asian,1916,1034,882
Unknown,65-79 years,Black,1376,787,589
Unknown,65-79 years,Hispanic,1881,1170,729
Unknown,65-79 years,White,13979,8217,5763
Unknown,65-79 years,Other,10767,8192,2654
Unknown,65-79 years,Unknown,3390,2883,510
Unknown,80+ years,Asian,325,180,145
Unknown,80+ years,Black,218,123,95
Unknown,80+ years,Hispanic,373,245,132
Unknown,80+ years,White,2741,1620,1121
Unknown,80+ years,Other,1992,1547,462
Unknown,80+ years,Unknown,843,688,156
Unknown,Unknown,Asian,1,1,0
Unknown,Unknown,Hispanic,5,5,0
Unknown,Unknown,White,10,10,0
Unknown,Unknown,Other,10,10,0
Unknown,Unknown,Unknown,15,13,2
Grand Total,Total,Total,7389937,4848150,2602278
