Gender ,Age Group,Race/Ethnicity,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated ,,,,,,
Female,12-15 years,Asian,34642,19406,15243,,,,,,
Female,12-15 years,Black,26028,15470,10560,,,,,,
Female,12-15 years,Hispanic,179067,105626,73482,,,,,,
Female,12-15 years,Other,81639,47266,34383,,,,,,
Female,12-15 years,Unknown,10420,6506,3916,,,,,,
Female,12-15 years,White,95207,54480,40732,,,,,,
Female,16-49 years,Asian,537686,291391,260295,,,,,,
Female,16-49 years,Black,510877,287719,241669,,,,,,
Female,16-49 years,Hispanic,2482411,1403436,1178494,,,,,,
Female,16-49 years,Other,630472,356809,301568,,,,,,
Female,16-49 years,Unknown,502022,285402,231927,,,,,,
Female,16-49 years,White,1992861,1109751,976065,,,,,,
Female,50-64 years,Asian,184494,99556,90496,,,,,,
Female,50-64 years,Black,324738,178678,157955,,,,,,
Female,50-64 years,Hispanic,1011949,557019,490053,,,,,,
Female,50-64 years,Other,289898,159270,140600,,,,,,
Female,50-64 years,Unknown,280240,156466,131649,,,,,,
Female,50-64 years,White,1315755,723696,652801,,,,,,
Female,65-79 years,Asian,91097,48603,44428,,,,,,
Female,65-79 years,Black,193624,104635,94383,,,,,,
Female,65-79 years,Hispanic,519307,280167,251839,,,,,,
Female,65-79 years,Other,239582,128577,114930,,,,,,
Female,65-79 years,Unknown,240499,131087,113599,,,,,,
Female,65-79 years,White,1173200,628824,578536,,,,,,
Female,80+ years,Asian,16686,9046,8089,,,,,,
Female,80+ years,Black,41238,22590,20105,,,,,,
Female,80+ years,Hispanic,125312,68600,59976,,,,,,
Female,80+ years,Other,115091,62176,53843,,,,,,
Female,80+ years,Unknown,89204,49181,41219,,,,,,
Female,80+ years,White,332345,178956,163381,,,,,,
Female,Unknown,Asian,101,79,28,,,,,,
Female,Unknown,Black,155,123,42,,,,,,
Female,Unknown,Hispanic,893,707,232,,,,,,
Female,Unknown,Other,186,140,49,,,,,,
Female,Unknown,Unknown,843,726,128,,,,,,
Female,Unknown,White,636,509,166,,,,,,
Male,12-15 years,Asian,35220,19790,15431,,,,,,
